character,line
Bakshi,"Good morning! I'm Sunil Bakshi, and today, we are talking about justice. Yesterday, we witnessed a harrowing and unprovoked attack on HYDRA's Enlightenment Cultivation Center. The perpetrator the Inhuman terrorist and Resistance leader who called himself “The Patriot” again acted with flagrant disregard for human life. But we are pleased to report the Patriot has been killed. That man will no longer stand as a symbol of evil and villainy. And while this is a cause for celebration, it is also a reminder to remain ever vigilant. One must never forget that danger can lurk around any corner."
May,You're looking better.
Skye,Yeah. Thanks for that.
May,Try to keep up while you recover.
Skye,Where to next?
May,Elevator to the garage. Cover me.
May,Come on.
Man,Drop your weapons! Now!
Ophelia,"Agent May, interesting. No matter the circumstance, none of you can escape your true nature. You, the warrior. Mack, the protector. And Fitz, well he's a romantic."
Skye,"And me, what I don't make the list? Let's move."
Ivanov,I did not think it possible for a machine to be on edge.
AIDA,It is not. I am simply recalibrating after a setback within the Framework.
Ivanov,Has one of your playthings rebelled?
AIDA,Agent May has begun to question the narrative she was programmed with.
Ivanov,How very human of her.
AIDA,It is no more than a slight complication.
Ivanov,Then I will un-complicate it for you. What have you done to me? Why can I not kill her?
AIDA,Because I built you. The same parameters that limit me must also limit you. My primary directive requires me to protect these people.
Ivanov,Then we are both powerless.
AIDA,"Not entirely. If they become a direct threat to the Framework, then they no longer require protection. And there are already two agents that fall into this category. Jemma Simmons and Daisy Johnson."
Ivanov,The Inhuman.
AIDA,"She's hacked into the Framework. The two are inside with memories intact, trying to dismantle it. So now their deaths are required and easily achievable. I simply need you to find them."
Ivanov,With pleasure.
Bakshi,Jeffrey Mace hated our freedoms and sought to turn our country...
Mack,Tainting the name of a good man. Anyone else getting sick of this propaganda crap?
Ward,"It's like sipping poison. Little bit every day, you don't even notice till it kills you. We need to start thinking retaliation."
Mack,"Retaliation? No, we got to put human lives before revenge. Look, those people were promised a better life. Now, the man who made that promise is gone, so you got to talk to them and let them know..."
Ward,"We'll make good on it, I know."
Triplette,"Or how about we review those plans I stole from Hydra's lab? You know, since I almost died to get them. Look, if she's building some some crazy doomsday device..."
Ward,Can we not use that word to describe it? It's not helping me think.
Coulson,This is how movements die.
Simmons,"Don't say that, sir."
Coulson,"Well, if history's taught me anything, it's that good intentions don't translate into action without a steady hand to guide them. The Patriot brought all these people together. His death might tear them apart."
Simmons,I still can't believe he's gone. We need to get out of the Framework before we lose anyone else.
Mack,"Hey, check this out."
Bakshi,"We've received word of a terrorist attack at the Triskelion. Sources say that an Inhuman made an attempt on Madame Hydra's life. Fortunately, our beloved leader emerged unscathed, but the vile assailant remains at large."
Simmons,Daisy?
Skye,"So, why exactly did you help me? Last time I checked, you weren't really rooting for team Inhuman."
May,"When an enemy sacrifices his life for yours, you have to question if you're fighting for the wrong side. Seeing that building collapse on The Patriot, I..."
Skye,"Wait, the Patriot's dead?"
May,I know what he meant to the Resistance.
Skye,No. It's not just that. He... We lost one.
May,"Mourn later. Right now, I need your head in the game."
Skye,I'm trying. Still feeling the after-effects of the Terrigen. It's like a hangover made of bees.
May,I've seen what Terrigenesis does to people. What I don't get is how you can control your powers so quickly.
Skye,I've had practice.
May,What the hell does that mean?
Skye,It means... You know what? I'm not gonna go there. Just... Just keep moving.
May,The Resistance must have a base of operation. Where is it?
Skye,No idea. All I know is a time and place to make contact. We just have to get there.
Man,"We're confident that she'll regain consciousness, sir. There is, however, cause for concern regarding her spine."
Alistair,Will she walk?
Man,"The trauma shattered her T4 and T5 vertebrae. And we're still determining the extent of the nerve damage, but, uh, there are exciting..."
Doctor,Leave.
Man,... new treatments.
Doctor,Now.
Alistair,"We'll find a way to help her. There's no doubt. But for now, your focus should be on the traitors who did this. They've made us look weak."
Doctor,I can't have that.
Alistair,No. So what are you going to do about it?
Doctor,Send a message to the people.
Alistair,Exactly.
Doctor,Betrayal will not be tolerated.
Alistair,"That's my son. We're all hoping for Ophelia's recovery, but in the meantime, you have an obligation to lead. You're the new head of HYDRA."
Agent,Mr. Bakshi here to see you.
Bakshi,"Leopold, I came as soon as I could. What kind of monsters would do this?"
Doctor,Inhumans. The ever-present threat.
Bakshi,And Ophelia? Is she...
Doctor,She's fine.
Bakshi,Good. I would love to see her on the show tonight. Her charming visage could really drum up sympathies for the cause.
Doctor,No interviews.
Bakshi,People like to see their leader's unshaken after an attack.
Doctor,I said “no.”
Bakshi,"Of course. We can use archival footage, placate the public. They'll never know the difference."
Doctor,"Well, no, I don't want the public placated. I want them afraid."
Bakshi,"Well, what do you need from me?"
Bakshi,"We can now exclusively confirm the identities of the terrorists responsible for this morning's horrific attack on the Triskelion. This woman, known by the alias “Skye,” is a member of the Inhumans First movement. Her goal destabilize Hydra from within. We warn our audience that this Inhuman has the potential to cause mass destruction, and she has been known to target civilians. Her accomplice, Melinda May, colluded with the Patriot to destroy the Enlightenment Center. We are asking you, the public, to do your civic duty and help bring these killers to justice. Those who provide any information that could lead us t..."
Mack,Hey! Calm down. At least Skye's not a prisoner anymore.
Ward,"Yeah, but if HYDRA finds her before I do, they'll march her into a public square and put a bullet in her head."
Mack,Hey. Not in front of my daughter.
Ward,"Like it or not, this is the reality we live in. I have to find her."
Hope,Would they really kill Skye?
Mack,"No, just, uh he's just getting worked up. She's gonna be fine."
Hope,The guy on the TV said she was dangerous. She seemed nice.
Mack,"Sweetheart, the news is controlled by Hydra. Just try not to pay any attention to that, okay? Everything's gonna be all right."
Ward,I'm gathering a team to search for Skye. Could use a few extra bodies.
Coulson,Do we have a lead?
Ward,"No lead. But if we don't leave now, we're gonna be searching for a corpse."
Coulson,Let's... Let's think this through. Skye could be anywhere. Running blind puts our people at risk.
Ward,"She is at risk. HYDRA is hunting her, full force!"
Coulson,"Call me crazy, but I think she can take care of herself. The smart move is to wait for her to reach out."
Ward,"Look, this isn't your wheelhouse. I'm sure you're a good schoolteacher, but, uh you're a schoolteacher."
Coulson,"Maybe, but someone once thought I could be more than that. I had a chance to join S.H.I.E.L.D. A man showed up when I was fresh out of school..."
Ward,I don't have time for a history lesson.
Coulson,I said no because I was afraid the way you're afraid right now. Don't let emotion cloud your judgment.
Ward,That's not what's going on here.
Coulson,I could've changed my life that day. But it seemed like too much responsibility. I didn't want to shoulder it. But now I think maybe I should have.
Ward,"Well, when I got that offer, I took it. I was serving time. Arson, first degree. Pretty sure my life was over. That's when someone came to me."
Coulson,A S.H.I.E.L.D. agent? What was his name?
Ward,"She'd laugh that you assumed it was a guy. Her name was Victoria Hand. She was the first person to tell me I could be a good man. Skye was the one who made me believe it. Now, she is in danger. I can't just sit around and do nothing."
Coulson,"Try not to get killed, okay?"
Skye,We need to be more cautious. It's too risky on foot. We need wheels.
May,We already committed treason.
Skye,What's a little grand theft auto?
May,You see that look?
Skye,Maybe she's just racist.
May,Or starstruck.
Simmons,It must've been difficult to recover these.
Triplette,"Hey, it's what I do. I'm just bummed I lost my granddad's camera."
Simmons,"Howling Commandos, right? I always meant to ask you about that."
Triplette,"What do you mean, “always?”"
Simmons,"Uh, I I just I'd heard. You're quite popular within the Resistance."
Triplette,You know it.
Simmons,"No. No, no, no This is quantum-energy manipulation. Darkhold tech."
Triplette,Dark-who now?
Simmons,"I've seen this machinery before. It was designed to build elements from thin air. This... This looks like it's creating something even more complex. That machine required an immense amount of energy. It was powered by a hydroelectric dam. No doubt, this device would need a more substantial energy source. Did you hear anything like that mentioned when you were undercover?"
Triplette,"Nothing about a dam, but I heard someone talking about shipping parts East to some oil-drilling platform."
Simmons,"Ivanov's base in the Baltic Sea. Of course AIDA's using his assets here. She's probably working with him on this side, too."
Triplette,Wait. What are you talking about?
Simmons,I think I know where the machine is being built. Can we take the Quinjet on a recon mission?
Triplette,Nobody here to tell us “no.” I'll grab a team.
Skye,Are you sure the Patriot's dead?
May,I saw the building collapse on him. I have the body-cam footage to prove it.
May,This is our window.
Man,Get out of here.
Skye,Hey! Hey. We are friends of the Resistance.
Man,I know who you are. There's chatter all over the police band.
Skye,We weren't followed. We were careful.
May,Not careful enough.
Man,"Milkman, I have contact! Aah!"
May,Come on!
Skye,Incoming!
Burrows,Where's Ward?
Coulson,He went looking for Skye.
Burrows,Agent Triplett?
Mack,Took the Quinjet on some kind of recon mission with Simmons.
Coulson,Take a breath. What's going on?
Burrows,One of our field agents just called in. Said he had made contact with someone.
Coulson,Was it Skye?
Burrows,"I don't know. There was gunshots. The line went dead. Could be her, could be a trap. Mace was always the one to make these calls."
Coulson,Let's go check it out.
Burrows,W-What about backup? What about transport? W-We're spread too thin.
Mack,I'll drive. The HYDRA bus should get us there in one piece.
Coulson,You sure?
Mack,"Yeah, somebody's got to step up. I'll catch up with you, okay? Mrs. Lee."
Lee,Yeah.
Mack,Can you watch Hope for a couple of hours?
Lee,"Sure, whatever you need."
Mack,"Thank you. Hey. Hey, Sparkplug, uh I have to take off for a little bit to help S.H.I.E.L.D."
Hope,Can I help?
Mack,"Okay. Uh, there's some busted walkie-talkies by the bunks over there. Maybe you can show the other kids how to fix a radio."
Hope,"That might take a while, but okay."
May,"He's still breathing, but we're gonna need to find another way to get out of here."
Skye,How long before HYDRA busts down that door?
May,Not long. They'll be following S.O.P. for a hostile Inhuman. Six teams to sweep the area. And if the hostile's taken cover they'll call in an air strike and sort through the rubble later.
Skye,Like what they did with the Patriot?
May,What I did. That air strike was on my order.
Skye,You didn't know.
May,Doesn't change what I did.
Skye,"You can't blame yourself for their lies. Once you learned the truth, you fought back. That is what we need. If more people see what you saw, maybe they'll fight back, too."
Alistair,How is she?
Doctor,No change.
Alistair,Bakshi's exposé worked.
Doctor,You've found them?
Alistair,Tips from the public are pouring in. One of them looks legitimate. I have men closing in on their location now.
Doctor,I want to monitor this situation personally. Ophelia? You're awake.
Ophelia,"Leopold, finish it."
Doctor,I will. I will. We've just gotten word on their location.
Ophelia,"No. Finish the machine. If Project Looking Glass is completed, it won't matter. This body won't matter."
Doctor,Of course. Anything for you. Father?
Alistair,"Focus on what she needs, son. I'll put these traitors down for good."
Skye,Two down.
Man,Stop right there.
Skye,Mack? Mack...
Mack,"I'm here to help you, not the woman who held my daughter hostage."
Skye,"May is the only reason I'm alive. She helped me escape. HYDRA messed with her head, but she's fighting back now."
Mack,How do you know she's not lying?
Coulson,Not a good time to be holding guns on our allies.
Agent,Alpha One. Report in. What's the situation down there?
Coulson,"We have to go now. Mack, I get it. These wounds don't heal overnight. But for reasons I can't fully explain, I trust this woman. And so should you."
Burrows,This place was originally built during Prohibition. We have a secret tunnel out of here.
Skye,Lead the way.
Simmons,"Agent Triplett, come and look at this."
Triplett,"Looks like a drilling platform, like all of them."
Simmons,"No, but this one here. Our overhead scans are showing a structure far more convoluted."
Triplett,So you're saying it's denser?
Simmons,Not denser. Deeper.
Simmons,Maybe here.
Simmons,We need to be ready for anything.
Triplett,On my mark.
Simmons,I was so certain.
Triplett,I guess this isn't where she's building the damn thing.
Simmons,"No, this is where she's building it, just not in this world. And now I know what it will do."
Simmons,"I knew the machine could create matter, but AIDA's gone beyond that. She's found a way to generate living matter human tissue. She wants to make herself into a real person."
Ivanov,"When that machine is built, she will be free. And I'll be free to make you bleed."
Triplett,"A real girl, as opposed to?"
Simmons,"A simulated consciousness. She She wants to circumvent her programming. Every step has been towards that goal the the Framework, Radcliffe, Fitz. We have to stop her."
Triplett,"Hey, I'm not gonna pretend to get all this, but I'm here to help."
Simmons,You believe me? About another world?
Triplett,"Come on, girl. That's way too crazy a story to make up."
Simmons,Thank God.
Triplett,"But whatever we do, we need to do it fast. When I took those pictures, talk was they were about a week out from finishing the project."
Simmons,And when was that?
Triplett,About a week ago.
Alistair,The traitors escaped.
Doctor,What?
Alistair,We believe they got out underground. We lost seven agents.
Doctor,I don't care if you have to send 100 agents to their deaths. They broke her spine. I want them dead!
Alistair,"Don't you snap at me, boy. If I wanted you hysterical at every setback, I would have left you with your mother."
Doctor,"So, what now?"
Alistair,I have yet to turn over every stone. Someone knows where they're going. I'll find them.
Doctor,You were right. I can't show any weakness. Which means I can't tolerate failure even from my own father.
Coulson,Welcome to S.H.I.E.L.D.
Skye,So the secret base is the base. Probably should've guessed that.
May,Been looking for this place for years.
Mack,I got to go find my little girl.
Coulson,Thanks for your help.
Ward,Thank God you're all right. We've been combing the streets looking for you.
Skye,I can take care of myself.
Coulson,Let's go take a look at that body-cam footage. Could really help the cause.
Skye,I'm gonna go talk to Simmons.
Ward,"She and, uh, Agent Triplett are on a a recon mission."
Skye,Trip?
Ward,Mm-hmm.
Skye,That's the best news I've heard in weeks.
Ward,What'd you need to talk to her about?
Skye,It's not exactly...
Ward,She told me about the other world.
Skye,Ah. Right.
Ward,Is that what you believe?
Skye,Yeah. And I need you to trust me. I know a way for us to get back home.
Ward,"By “us,” you don't mean me. I guess I was holding out hope that Simmons was wrong and that you'd still be the girl I knew. I'm glad you're safe, Daisy."
Alistair,Where are the traitors going? Why would Agent May betray HYDRA for Skye? Why help the Inhuman escape?
Radcliffe,Agent May. So that's who I heard through the vent.
Alistair,What are they planning?
Radcliffe,"Clearly, I wasn't in on any plan, or I wouldn't still be in this bloody cell."
Alistair,"Do you think I don't know who you are? Where you're from? You come from that other world, just like them. You're just as tainted."
Radcliffe,"You want to talk about that “other world,” as you call it? It's the real world. Here, you're just a snippet of code that AIDA changed slightly so you'd stick around for Fitz. You may be part of his life here, but there Alistair Fitz is so thick, he doesn't recognize his own son's genius. He's a pathetic drunk. Even here, you're nothing without him. So do what you will. I've got nothing left to give. You'll be a disappointment to your son yet again."
Alistair,You know nothing about me or my son.
May,"Getting this footage out isn't enough to make up for what I did in HYDRA, but it's a start."
Skye,"Changing people's hearts and minds is great. But I know a way to destroy HYDRA for good. Remember the place Simmons and I were trying to find? Radcliffe told me where to go, how to find it."
Coulson,The way out of this?
Skye,"Yes, yes. If we can get there, all of our problems go away. We just We need all the help we can get."
May,I don't know what you mean. There's no magic bullet against HYDRA.
Ward,"Yeah. This footage is as close as it comes. I mean, people will finally wake up."
Skye,"You don't understand. None of this will matter in the long run. It's... It's... Coulson, this is the only chance to actually wake people up."
Coulson,Maybe the only way to solve our problem is to solve their problem.
Skye,What does that mean?
Coulson,Getting to Radcliffe's coordinates right now is next to impossible. We need a way to divide HYDRA's forces. To save ourselves we need to save the world.
Reporter,"That's very kind of you, Mr. Bakshi, but I couldn't possibly impose..."
Bakshi,"I'm just saying, if you need to shop for furniture, I'll take you. I know just the place."
Coulson,Heard you were looking for some enemies of the state.
Ward,Stay quiet and we won't have a problem.
Skye,May and Coulson are getting everything set.
Ward,We're good to go out here. No one's putting up a fight.
Bakshi,"Yes, but we will. If you think you can force me, Sunil Bakshi, to go on air and slander HYDRA, then you're delusional. I am the most trusted voice in journalism. Just, uh, put it in the teleprompter, then."
Skye,We don't need you to say a damn thing. The facts will speak for themselves.
Doctor,"It's done, Ophelia. I've completed the design. You won't have to live like this for much longer. I had my doubts about the project, but I finally see it. Your new body will be stronger. That's who you were meant to be. I just have one request. Take me with you."
Ophelia,I hoped you'd say that.
Coulson,What? Do I have something in my teeth?
May,"No, it's just, I feel like we've, uh done this before."
Coulson,Déjà vu? Happens to me all the time. I like to think it means I'm on the right track.
May,You might be on to something.
Coulson,"Or it's just a coping mechanism. Not gonna lie, I'm a little nervous. I've never done anything like this."
May,Just tell the truth. You'll be fine.
Ward,There's no sign that HYDRA's aware of us yet.
Skye,"That'll change as soon as we start broadcasting. I'm trying to lock the system, make it impossible for HYDRA to cut the feed, but it's not working. We're just gonna have to flip the switch and hope for the best."
Ward,We can do better than that.
Skye,What do you mean?
Ward,"I'll keep the signal going, hold the fort as long as I can."
Skye,"No, Ward, you... you don't have to do that. That's..."
Ward,"I know I'm not going with you when you leave, but I can still help out from this side. I would hate for you to think that I am anything like the Grant Ward you knew over there. Simmons said he was a real son of a bitch. Guessing things didn't end well. He get locked up?"
Skye,Uh...
Ward,Ah. The other thing.
Skye,"Ward, I don't know what to say."
