character,line
Simmons,"And remember, even if our vitals are going haywire, do not..."
Elena,"Do not pull you out or wake you up, I know. It will cook your brains like huevos rotos."
Simmons,"Cause permanent damage to the cerebral cortex, yes."
Elena,"Just promise me you'll get our guys back, okay?"
Simmons,I promise.
Piper,"So, what's next?"
Elena,We wait.
Davis,Zephyr's got 24 hours till it runs out of power. We can't wait anymore. We need to touch down and refuel.
Piper,"Let's not have this conversation again. Okay, we don't know who we can trust at S.H.I.E.L.D., and the government..."
Prince,Talbot's been trying to reach us. Maybe it's time we talk to him.
Elena,You've seen what they're saying in the news. We're lucky they haven't shot us out of the sky. And if they turn off the Framework...
Davis,That thing's draining all our power. Might be time we figure out a way to wake up Daisy and Simmons.
Elena,That's not an option. We must find something else to turn off.
Davis,We already shut off all non-essential functions. Including the heat.
Piper,Wait. What about the cloaking?
Prince,Bad idea.
Davis,Cloaking is the only thing that's keeping us safe up here.
Elena,Do it.
Piper,"Hurry up, you two. We're running out of time."
Reporter,"With forces still fighting for control of the broadcast center, Madame Hydra has dispatched all available units to clean up the streets. Madame Hydra's executive order is in response to..."
Skye,"She's not subtle, that Madame Hydra."
Burrows,"Yeah, just look at her uniform. It's so crazy hot. I-I mean, if you're into the whole “bad girl” vibe. Not... not me. I'm just making an observation."
Skye,"Trip! Oh, my God. It's so good to see you!"
Triplett,Hey person I don't know.
Skye,"Right. Yeah, sorry. I-I heard about your mission. Awesome job."
Triplett,Thanks.
Simmons,Do you mind if Daisy and me have a quick word?
Triplett,Sure. You can finish hugging me later.
Simmons,AIDA's building a body for herself in the real world. A human body.
Skye,She wants free will.
Simmons,"Which would allow her to unplug the Framework, killing us all."
Skye,Okay. We can still stop her. Radcliffe gave me the coordinates to the Framework's back door.
Simmons,Will it work?
Skye,"According to him, all we have to do is pass through the exit point, and then your mind disconnects from the Framework."
Simmons,So we just need to get everyone there.
Skye,"Which won't be easy, what with May and Mack having no idea what's really happening."
Simmons,"Well, and Fitz has HYDRA guards around him at all times. What?"
Skye,Simmons we can't rescue Fitz right now. There's no time.
Simmons,We can't just leave him behind. He's part of our team.
