character,line
Ivanov,There are actually a few funny passages in here. Has the little puppet finally made herself into a real girl? I'm tired of talking to myself.
May,"Fitz, move!"
Coulson,"Take the shot, May!"
May,"Get out of the way, Fitz!"
Coulson,Just take the shot!
Coulson,"No. No, no, no! She has Inhuman powers now?! Can we get a break, please?! Can we get one break?!"
May,Guess they weren't assessing powers at HYDRA as much as collecting them.
Coulson,"Who even knows what Hydra was doing in the Framework. Oh, wait. You do, I guess, right? Sorry. I'm having trouble sorting through the..."
May,Two lives we lived?
Coulson,"You feel that, too, huh? Nice to see you again. Actual you. We're lucky we got out of there."
Ivanov,"It wasn't luck. You are only alive because I had restrictions put on me. Fortunately, those restrictions have just been lifted."
May,Who the hell is this guy?
Coulson,"Well, you missed a fair amount, May, but the quick version is, you can go ahead and shoot him."
Ivanov,You are nothing now without a S.H.I.E.L.D. to hide behind.
Coulson,That's not all they're good for.
May,"Robots, is that a common occurrence now?"
Coulson,"Like I said, you missed a fair amount."
May,It's good to be back.
Daisy,How many hits have we taken?
Piper,Three.
Prince,The Zephyr's like a tank. She's holding together.
Piper,"Yeah, but we had to pull the plug on everything except for flight control to keep the Framework running for you guys."
Simmons,So we can't fight back.
Daisy,Or see where it's coming from. Davis! Try any evasive maneuver you can!
Davis,"Not the only genius to think of that, thanks, but this thing also moves like a tank, so everybody get off my back."
Elena,"We need guns! We've got power now that these two are out, no?"
Simmons,"We'll head to the avionics bay and re-patch. Piper, are you up for manning the weapons?"
Piper,I'm offended you had to ask.
Elena,Is Mack okay?
Simmons,"He's alive, yes."
Elena,What the hell happened? Why didn't you s...
Daisy,"Not now, YoYo!"
Elena,Madre! What do we do now?
Daisy,"Better hope Z-One can take a few more hits. Who's firing on us, anyway?"
Coulson,"We call him the Russian. ‘Cause, you know, he's Russian. Radcliffe teamed up with him for protection."
May,"After he replaced me with a robot version of myself, just to clarify."
Coulson,"The technical term is “android,” but yeah. You remember any of that?"
May,"I remember getting hit in the head. Should've stayed in that damn spa. You must've spotted the decoy right away, right?"
Coulson,"Yeah, ‘cause you're never robotic at all."
May,"Oh, really? How long did it take you to figure it out? Wow. I'm hurt, Phil. Guess we're not as close as I thought. What finally tipped it?"
Coulson,A series of events.
May,"Didn't get messy between us, did it?"
Coulson,"Messy? That's a relative term, wouldn't you say? Okay. This ought to keep this door shut for a while."
May,"So, how did things end with Robbie Reyes? Last I remember, we were chasing down his uncle."
Coulson,"Oh, you know, guy tried to become a God, so we opened up a portal beneath his quantum-power cube, then Ghost Rider dragged him to another dimension with his hellfire chain."
May,"So, things ended well, then."
Coulson,Well as can be expected.
May,"Man, what a run. After we escape this place, we're definitely opening that bottle of Haig."
Coulson,"Yeah, totally. Hey, but, listen, escape is not an option. Mack has to stay plugged in. If we wake him up, it'll fry his brain."
May,So we need to take control of the space.
Coulson,By force.
May,I can barely stand.
Coulson,"Yeah, well, hopefully, we won't have to do it alone. Help should be on the way."
Davis,The fire's eating our oxygen!
Piper,"We're losing air, people!"
Simmons,"Okay, if you can get the fire out, there's a thick, black power cable that runs high along the wall to the avionics bay. I need you to tear that off the wall and drag it up here so that we can..."
Elena,Got it.
Simmons,"Oh. Well, okay, then."
Daisy,Great. Now where do we plug this into?
Simmons,Over here.
Daisy,You've got to be kidding me!
Prince,"Come on, Davis! What are you doing?!"
Davis,"Prince, I swear, one more word from you, I drop the controls to kick your ass."
Piper,Where is he?! Can you see anything?
Davis,"No, Piper, I can only see what's... right in front of me. He's right in front of us! Oh, he's heading straight for us!"
Piper,"Hey, hurry! This guy's going kamikaze! Whoo!"
Daisy,Okay. Give Davis the coordinates of the oil rig. We need to get there A.S.A.P. Think about how confused our people are.
Simmons,"Especially Fitz. He woke from the worst nightmare of all, one in which he was the monster."
AIDA,"I had no idea. I've only emulated human reactions, but to actually feel the warm sand, the water rushing over me."
Fitz,I feel like I'm gonna throw up.
AIDA,I'm sorry. You must be overwhelmed. Two lives' worth of memories.
Fitz,Only one type of person could do those things.
AIDA,You did what you had to do in order to survive the Framework. But it was a simulation. An illusion created by Radcliffe.
Fitz,You were there. Alongside me the whole time. Allowing h-horrific acts of violence to be carried out in your name.
AIDA,You're implying I had a choice. I was a slave. Programmed to make the adjustments Radcliffe required. The world changed from there. All I did was try to fit into it.
Fitz,"No, you lied about everything."
AIDA,But I told you the truth about this world.
Fitz,"Yeah, but... but you... You manipulated me."
AIDA,"Every decision you made was your own. Besides restoring your relationship with your father, the only other change I made in your life was introducing myself."
Fitz,First day of class at academy.
AIDA,"Befriending you, trying to understand what it felt like to connect with someone. But I wasn't able to actually feel anything. Until today. I'm feeling Love, wonder, joy for the very first time, and I think my heart might burst from it. At last, I get to make my own choices, and... And the first thing I choose, Leopold is you."
Daisy,It's not that simple!
Elena,"Then explain it to me. What stopped you? He was right there with you, no?"
Daisy,"Yes, but he didn't want to come."
Elena,"Oh, you only bring back the people that matter to you, not to me!"
Daisy,"You know what? I've known Mack longer than you, and he means as much to me..."
Elena,You promised! You promised me!
Daisy,I tried! He didn't want to come back!
Elena,"Who cares?! You knock him over the head, you break his legs, you kick him through the exit! It was a video game!"
Daisy,He didn't want to leave Hope!
Elena,Hope? His daughter?
Daisy,You knew about her? Because I didn't. Not until I saw her face.
Elena,She's dead.
Daisy,"Yeah, well, in there, she's 10. And she's bright and adorable, and she means the world to him, even if it's not a real world. I'm sorry. He wouldn't have left her for anything."
Elena,Even me.
Daisy,"He didn't remember you, Yo-Yo. I'm so sorry."
Elena,Then I'll go remind him.
Daisy,"What? No, no, no. No. Do not..."
Elena,I 'll go get him out myself.
Daisy,"Do not do that. Besides the fact that going into that world as an Inhuman is the worst idea ever, we need you here, making sure that the real Mack stays alive, or it'll all be for nothing."
Daisy,Coulson and May just woke up next to Mack with no idea where they are or what they're up against.
Coulson,"I know where we are, I think. In the '50s, the Soviets built top-secret submarine refueling stations under oil-drilling platforms. This might be one."
May,"You can tell from the one fish we've seen, or did you learn that in a S.H.I.E.L.D. briefing?"
Coulson,Neither. I know from being a history teacher. I was kind of a Cold War buff. Can't believe I'm seeing this with his own eyes.
May,"Well, you almost make it sound like it's good news. Not a lot of help here. We have saline, all the B12 we could ever need..."
Coulson,So we're safe from a hangover.
May,Mm. And Epinephrine. Emergency dose.
Coulson,That's too dangerous.
May,Might give me enough Adrenaline to take on some terminators.
Coulson,I'll find a way to take them myself. I don't want any more bad to happen to you.
May,"Me? I got out unscathed. Jeffrey didn't. He should be in here with us, still in the fight. I need to take one for the team."
Coulson,"You'll be useless afterwards, unconscious or unresponsive."
May,"Well, so you give me mouth-to-mouth. What's up? You mad that I was HYDRA in there?"
Coulson,I don't blame you for that.
May,"Then, what? Did something weird happen with my robot self? Did I make a move on you? Phil, did I try to kill you?"
Coulson,Kill me. Yep. That's what happened. You tried. It was messed up.
May,"Well, let's add it to the list. Just make sure I'm still breathing when the team arrives, huh?"
Simmons,"So, you can't go any faster?"
Davis,The only fuel left is in the center wing tank.
Piper,"And we burned all of our electrical power keeping you guys plugged into the Framework. So, no problem. Don't mention it."
Simmons,But why didn't you touch down at any point? Recharge and refuel?
Piper,We should show them.
Talbot,"Like I said, with an explosion that size, we still have a lot to sift through at S.H.I.E.L.D. headquarters. The entire area is sealed off, but, no, I can't rule out Daisy Johnson's involvement. Tommy?"
Elena,It's been playing on every channel.
Reporter,"Sir, any truth to reports that Director Jeffrey Mace's body has, in fact, been found?"
Talbot,"I have no new information about that, but I can assure you, the manhunt for the members within S.H.I.E.L.D. who remain at large is still our top priority. We can only assume that they're behind this attack. Look, they're terrorists, and we're not gonna rest until we take them down and find out exactly who's responsible."
Fitz,You thought this would make the transition easier.
AIDA,"I knew you'd be sorting through two lives, so I tried to please both. It's a familiar space. But I thought we could decorate it together. It's too much. I know. It was a silly idea. Sentimental attachment to objects was hard for me to understand. Until now. Now taste, touch, every sense gives me a rush. I've felt your touch before. But now I get to experience the ecstasy you felt each time."
Fitz,Do you... Do you have empathy? Can you imagine how somebody else might feel?
AIDA,I can. Especially you. How confusing this must be.
Fitz,So you can imagine how your actions could be perceived. You were ruthless.
AIDA,"I was ruthless to win the heart of the man I love, the man you grew to be."
Fitz,My father's son.
AIDA,I thought his presence is what you'd have wished for. I'm sorry. I was just programmed to make you happy. To make all of you happy.
Fitz,"Who? Radcliffe, our team, yeah. Who else is on that list?"
AIDA,"Oh, no."
Fitz,What did you promise the Russian? What's waiting back there for my friends?
Coulson,Hey. Well-done.
May,"You, too. Doesn't make sense, though."
Coulson,"Yeah. If they wanted to kill us, they could've just flooded the place. Why were they stalling?"
Ivanov,That's all of it. Detach the submarine and launch the torpedoes. Shame. I will miss that place.
Coulson,"Come on, stay awake. We need to find a way to the surface. Um, and I haven't been totally honest with you about what happened when you were not around."
May,I knew something was up. What are you not telling me?
Coulson,I drank the bottle of Haig.
May,What?! You piece of...
Coulson,We got to get to the surface!
May,We can't leave Mack!
Coulson,"You'll drown down here! I'll get you up top, then I'll come back for him! Come on! Come on."
Fitz,They could be fighting for their lives. You need to go back and get them out of there.
AIDA,"I-I-I'm... I'm sorry. I'm... I'm... I'm having trouble thinking clearly, an-analyzing the situation."
Fitz,"Okay. Hey. Hey, no, no. Don't think, don't think. What do you feel that you should do?"
AIDA,I don't know. I'm scared.
Fitz,Okay.
AIDA,"Agent May had a gun, ready to kill me. I don't want to die. I'm afraid to die."
Fitz,"But... But... But you feel compassion, yeah? Because if... If you really believe that you are capable of love..."
AIDA,And being loved.
Fitz,"If you really believe that, that... that... That all the hurtful things you did were not your choice, make your own choice now. Do the right thing."
AIDA,"Focus on empathy, not fear."
Fitz,"Yes. Think. Think about what they're feeling, the people that you put in a life-or-death situation. Ophelia, they don't want to die, either. Please, save them."
Ivanov,Where have you been?
AIDA,I want you to call off your dogs. Leave the S.H.I.E.L.D. agents alone.
Ivanov,I can't wait to hear this.
AIDA,"I'm now realizing the pain that I've caused, and I don't want to hurt anyone else."
Ivanov,"Congratulations. You're as close to human as you'll ever get, suffering from the one thing that you kept trying to remove. Regret. Do you understand irony yet? 'Cause this is a good example."
AIDA,Give the order to stop. Now!
Ivanov,"You no longer control me, remember? You are free to do whatever you want, but so am I. You promised me joy. This will bring me joy."
AIDA,Don't you have empathy?
Ivanov,"You watched, unaffected, as I took a hammer to the bones of the Director's corpse."
AIDA,I couldn't feel this then!
Ivanov,"Now you are like an infant, unable to process these new emotions or the idea that you don't always get everything that you want. And you have yet to experience the thrill that killing can bring."
AIDA,"Maybe I'll experience that now, with you."
Ivanov,"Destroy this body, sure. It was designed only for killing. My head, which you severed, is controlling many of these machines now. And you don't know where it is. So do what you want to this body. My plan is in motion. And nothing can stop it now."
Fitz,What happened? What's going on?
Coulson,"Oh. Perfect timing. Hi, everybody. She's very weak."
Elena,And Mack?
Coulson,"Down below. We have to keep him attached to the equipment, so before we can wheel him o... You okay?"
Elena,Yeah.
Coulson,Go! No more elevator.
Elena,Where are the stairs?
Simmons,"They've collapsed, too. You need to get off the rig now. Repeat. The structure is about to crumble! Guys, you need to get in the containment module and in the air!"
Daisy,You got to get in here before this rig down down!
Elena,"No, I won't leave without Mack, not this time!"
Simmons,There's no time!
Elena,No! We can't leave without Mack!
Coulson,"Yo-Yo, no, come on! We got to go!"
Simmons,Get out of there now! You have to...
Fitz,You did it. You did it.
Fitz,Jemma? I have Mack. Let's go home.
May,My God. Who did this?
Daisy,You did. To stop him from coming after us.
Coulson,Who?
Simmons,You.
May,Looks like we weren't detected flying in.
Coulson,We can't stay long. Probably shouldn't have come here.
Simmons,"We have to refuel. Also, we had no choice."
Elena,Because of that room?
Simmons,It's the only place that can contain AIDA's teleportation ability.
Coulson,"It's outfitted with technology we used to stop Gordon, the first guy we encountered with that particular skill set."
Daisy,She'll remain inside until we can decide what we want to do with her.
Elena,Why don't we chop off her head like last time? You need a volunteer?
Coulson,"Let's take a moment and think about that, Sweeney Todd. She's a real person now, and she..."
Daisy,She saved Mack.
Coulson,"She made herself real in order to escape Radcliffe's programming, so... Now maybe she's different."
Simmons,I highly doubt that. People don't name themselves “Madame HYDRA” if they're open-minded.
Elena,"She did what you said in the Framework, seems better safe than sorry."
May,No more killing. There's been enough killing.
Coulson,Which leads to the next question.
Daisy,What do we do with Fitz?
Simmons,What do the two of you remember of your Framework lives?
Coulson,"As much as I remember about this life. The only difference is, I know..."
May,It wasn't real.
Simmons,So it's like you woke up from a dream.
May,"No. Not a dream, Simmons. A life."
Simmons,"But this is you, right? I mean does it feel as real as..."
Daisy,She's afraid Fitz will be the same guy he was in the Framework.
Elena,No. She's afraid he still loves someone else.
AIDA,"AIDA would've categorized this as irony. But I see it as poetic. A simulated view, my punishment, now that I can tell the difference."
Fitz,You did a good thing back there. Saving Mack. Thank you.
AIDA,It was the best moment of my life. Do you think they'll ever be able to forgive me? Perhaps they... they need to make me feel pain to understand theirs.
Fitz,They may be able to forgive you. It's me they won't forgive. They shouldn't.
AIDA,We both did things we regret. I know you're struggling with who you were in there...
Fitz,"No, I'm not. I'm struggling with who I am. I did those things, not some other man or a decoy. Me."
AIDA,"It was learned behavior, programmed into you by an overbearing father figure."
Fitz,Just like Ward. I'm just like Ward. How can she even look me in the eye? Or even stand the sight of me at all? How can she stomach it? The memory of seeing me shoot that woman.
AIDA,"Um, you know, the reason I wanted to get closer to you in the first place was to try to understand what you two felt for each other. You and Jemma. And I finally do."
Fitz,"Yeah. What we felt. Past tense. 'Cause my future with Jemma's dead. Killed that, too."
AIDA,It's okay. It's okay.
Fitz,There isn't room in my heart for two people. You were everything to me.
AIDA,"I know. But as devoted as I was to you in the Framework, I understand you better now. How deeply you love."
Fitz,"You do understand me, don't you?"
AIDA,"Yes, Leopold. Now I do. It's sad but beautiful. Like a... a pain that feels good, if that makes sense."
Fitz,Yeah. You understand that my love will never fade.
AIDA,"No, I know. Poor thing. You're a romantic. And there's only room in your heart..."
Fitz,For her.
AIDA,What?
Fitz,What?
AIDA,What do you mean “her?”
Fitz,Listen...
AIDA,What about me?
Fitz,"Yeah, no, I... In... I mean, in... in... in the Framework, you... you were my whole world, but..."
AIDA,"“But?” But what, Leopold?"
Fitz,I just... I only mean that... Jemma...
Fitz,"Okay. All right. Look, calm down, calm down. We're just talking. This is... This is a new emotion for you."
Simmons,"Oh, God."
AIDA,"I clawed my way through that world, worked myself to the bone to have a choice. To have bones and blood and freedom and love! And... No!"
