character,line
Man,Haven't done one of these in a while. You? My wife thinks that I'm at a friend's house for our fantasy draft. Doesn't even occur to her that we're in the middle of the season. Doesn't even occur her.
Enoch,Yeah. Not on the list.
Enoch,"And the coat pockets. Clean it up, please. Watch the clock. The moment is fast approaching, everybody."
Coulson,Is everyone all right?
Mack,"Yeah, I think so."
Virgil,"Are you out of your skull? What the hell are you doing, blowing the damn window?"
Jones,I... It's called improvisation.
Virgil,You suicidal? Do you want to be a vacancy?
Jones,"I couldn't see another way to kill that thing. We're safe now, okay? Quit howling."
Virgil,The other guy I hired isn't safe. He's frozen in the vacuum of space.
Jones,"Yeah, well, I'll take his cut, too. Relax. You can keep his rations."
Jones,What in the hell?!
Coulson,Don't shoot. Thanks.
Virgil,"Oh, my God. My God, you're here."
Coulson,"That I'm slowly figuring out. Sorry, I-I think I might be a little confused."
Virgil,"Disoriented, of course. It's quite a journey. I didn't know how you traveled here, but I knew it wasn't gonna be first class. You're here. Agent Coulson of S.H.I.E.L.D. You've come to save us."
Coulson,"Yeah, just to clarify, where is here, who is us, and from what?"
Jones,"Move! Let's go! Is this the whole shipment, Viril?"
Virgil,"Wait, wait, wait, wait, wait!"
Virgil,"Where are the others?! Wait! Where are the others? You weren't the only one to travel through, were you?"
Coulson,"I don't think so. Um, I'm sorry, what was that?"
Virgil,"The gravitational flux must've messed with your entry. We got to wait for the rest of them, okay?"
Jones,"You'll have to triple my tokens to get me to stay a minute longer. One of those Roaches gets us, you'll pay me to shoot you in the head."
Virgil,Get back. Stay back. Shh!
Coulson,"All right, all right, that's enough. Can we... I'd like to know, if you don't mind, what is happening here, please."
Virgil,Okay. Yeah. Sorry. I-I didn't know how much you would know about our current situation coming in.
Coulson,"Zero. Walk me through it like I'm a child, like I'm a foreign child. What was that thing?"
Virgil,Right. Right. That was a Vrellnexian. We call them Roaches. They can surf gravity storms so they'd be able to breach a few years back. This level's been sealed up ever since then. It's my first time here.
Coulson,And who are you?
Virgil,"Right, sorry. Stupid me. My name is Virgil. I'm the greeting party and a fan."
Coulson,"Great to have a name, Virgil, but looking for big picture, here. I mean, who are you?"
Virgil,I'm one of the true believers.
Coulson,Believers in what?
Virgil,In you.
Coulson,Mack.
Mack,You okay? What the hell is going on?
Coulson,I was about to find out.
Mack,"Oh, my bad. I see a dirty-looking dude hovering over you with a crazy-looking gun. I acted on impulse. Where'd that rock send us?"
Coulson,"Well, I don't have many details, but I do know we're in space."
Mack,"Yeah, that makes sense. That's the one thing we haven't done yet. All right, so, where's everyone else?"
Simmons,"Wait. Yo-Yo. No, Yo-Yo, wait! It's me."
Elena,Simmons?
Simmons,What on Earth... I'm lucky there were no knives.
Elena,"What the hell were you doing with that mask, trying to give me a heart attack?"
Simmons,"Well, I wasn't sure the air was safe in here. They were trying to get out. I thought maybe it was for air when I saw this mask on the ground, but I guess not."
Elena,Do you really... Is that the smartest thing?
Simmons,They're already dead. There's nothing to be scared of.
