character,line
Kasius,The print is considered quite fashionable in the capitol. Sinara. Ah. I knew our esteemed guest couldn't bear to wait any longer.
Emissary,"Kasius, how kind of you to arrange such a warm welcome."
Kasius,Just an everyday affair. Would you like a drink? The Terrans call it martini. Fermented sugars and the like.
Emissary,I'm here on behalf of the Lady Basha. She sends her regrets.
Kasius,"Mm. Well, perhaps if she knew how we prepared the best of Earth's cuisine..."
Emissary,She prefers dining on her own ship. She means no disrespect.
Kasius,"No. Surely, none taken."
Emissary,"Of course, Lady Basha very much looks forward to the ceremony. She has high expectations."
Kasius,"To be exceeded. Tye, you now have the opportunity to give me good news about our ceremony."
Kasius,"Jemma, we have a problem. And for your sake, I pray you can fix it."
Grill,"The Renewal lost me time and tokens! So if things don't start picking up around here, I'm gonna be doing some renewing of my own! Is that understood?!"
Coulson,Thinking I may have been wrong to trust Grill.
Elena,"This is what we call an understatement, no?"
Mack,"Well, the alternative was getting shot."
Elena,At least Daisy's not trapped in here.
Grill,"Coulson, be careful. They're always watching."
Coulson,"I know, but Virgil hid this thing. I got to figure out why."
Elena,He did it because this tin-can place makes people crazy!
Zev,New girl! Work faster!
Elena,"I'll show you fast, you..."
Coulson,Yo-Yo.
Elena,He zapped me!
Grill,The door's rigged. Did you really think that was gonna work?
Mack,Thought I'd give it a shot.
Grill,"Well, that don't fly with me. You see, I don't tolerate skimmers or laggers or agitators. Hear that?! As long as you owe me, I own you."
Daisy,Where are they? We were supposed to meet up at the Exchange. Something's wrong.
Deke,Or they finally took my advice to evaporate into this place.
Daisy,They were looking for a way to find Simmons. I got to track them down.
Deke,So you said. Don't you think you're kind of deflecting from what I told you about...
Daisy,I'm not deflecting ‘cause I didn't do it.
Deke,"Yeah, that's what deflecting is."
Daisy,How could I split the world apart? My powers aren't that strong. I am not that strong.
Deke,"Maybe not yet, but you will be."
Daisy,And how do you know that?
Deke,"Because planet Earth went from smooth to chunky, and Quake is the one who did it."
Daisy,And you don't think I'd remember that?
Deke,"Well, actually, not according to the multiverse theory. You probably never heard of it, but in quantum physics, there's a theory that, for every universe, there are infinite parallel universes. So in my universe, you destroyed the planet. Maybe that just hasn't happened in..."
Daisy,So what universe did that just happen in? Mine or yours?
Deke,"Oh, no."
Daisy,Talk to me.
Deke,There's been a Renewal.
Daisy,A what?
Deke,"Three people are dead. Just hold your freak-out. It wasn't your friends, okay? They're probably hiding, which is what I advised them to do from the get-go."
Daisy,"Okay, okay. So where would they be hiding?"
Deke,I don't know. They're your friends.
Daisy,"And this is your home, where you know everyone and everything that's in here."
Deke,One of the vacancies came from Grill's salvage. That means there's an opening. He might take in strays. I'd start there.
Daisy,You got all that the from shoe guy?
Deke,"Well, shoe guy knows all."
Daisy,Guess I should have asked him in the first place.
Deke,"Don't do anything dumb, please."
Coulson,That thing might get us into the levels where they're keeping Simmons.
Mack,"Well, he's got a handgun in there, too."
Elena,Humans aren't allowed to have guns.
Coulson,"Except for murder sports, apparently."
Mack,"Well, the point being, we need to tread lightly. Now, Yo-Yo, if you can get in there, maybe we can get that Scroll back."
Coulson,"Nice work, Mack."
Mack,You see? Not stupid. Recon.
Coulson,Recon. Trawler run. Good. That's good.
May,"Yeah, ‘cause I barely survived the last one."
Coulson,: Take me with you.
May,What? No.
Coulson,Hey. Take me with you.
Grill,"Tess, you and your friend here did us a kindness, taking a life."
Tess,Yeah.
Grill,But you still owe me a double haul.
Tess,Do I? You never mentioned it. I'll need a few crushers if you want me to pack the belly full on that thing. Got anyone expendable?
Grill,Take the agitator and his friend. No big loss if one of these jokers gets caught in the nets.
Tess,"If you say so. Come on, you two."
Abby,Please...
Tye,No! You need to learn.
Simmons,What did you do to her?
Tye,She's doing it to herself. It's your problem now. Fix it.
Simmons,"Yeah, they're gone. It's okay. What's your name?"
Abby,Abby.
Simmons,"How long have you had seizures, Abby? You can talk to me. I'm a doctor. Oh. Have you always..."
Abby,Only since Terrigenesis.
Simmons,You're Inhuman.
Abby,"Yes. And if I'm not ready for the ceremony, I don't know what's gonna happen to me."
Daisy,"So, wait, you're an indentured servant to the junkyard king?"
Elena,And everyone else is on a space walk. But there's no time to explain. They're tracking me. You shouldn't be seen here. You should go.
Daisy,That's a great idea. Let's go.
Elena,"I can't. I need to stay. The thing I stole from the Kree guard, boss man has it in his office, but I think I found a way to get it."
Daisy,"That's good. If you can get it to me, maybe I can get to Simmons."
Elena,"Exacto. So go, but stay close."
Zev,"Hey! New Girl! You get any slower, you're going in the crusher. I don't trust them."
Grill,"I always thought Virgil was skimming. Somebody has been stealing from me, so he dies, and now these guys show up?"
Zev,You think they're taking over his old racket? So why send them on Virgil's run? 'Cause you want to find proof.
Grill,"No, I want you to find proof."
Tess,"Flint! Clear out, kid."
Flint,I thought you said I could crash here.
Tess,Yeah. Not during operation. Come on.
May,"So, less than 24 hours, and you've already been taken prisoner. That a record?"
Coulson,Not even close. But let's focus on the positives.
Tess,So what's going on?
Mack,"Yeah, you find anything in there, Sherlock?"
Coulson,"I think Virgil was doing recon. You said he was in the trawler all the time? I think he was searching for something. These numbers, they're objects in space, right?"
Tess,Yeah. He kept track of them.
Coulson,"Well, this one kept showing up over and over, this one specific part of Earth."
Tess,616. Sure. One of the larger segments. But I've been there. It's just a chunk of dead rock.
Coulson,"Well, maybe he hid something out that way. I don't know. But we have to check it out. The answer to why we're here might be out there."
May,Then we go.
Mack,"I'd rather not go where no one can hear you scream, but okay."
Tess,"Uh, I want to help you guys, but I'm already on the hook for a double haul. There's no way I can do a side mission."
Coulson,This isn't a side mission. It's the mission. This is what Virgil died for. I know you don't think he was just expendable.
Tess,"Look. We got to be careful. We got to cover our tracks, and if there's so much as a hiccup..."
Zev,See how you all just got quiet? That's why I'm coming on this run.
Abby,"I mean, you know how it works here."
Simmons,Of course. I was just curious about your specific experience.
Abby,"It's nothing special. All the 18-year-olds go through it. When the mist hit me, I was one of the lucky ones."
Simmons,Lucky. Yeah. I've heard Terrigenesis can be a traumatic experience.
Abby,"I just thought of my family. It was hard to leave them, but knowing that they'd be rewarded helped."
Simmons,That man...
Abby,Tye?
Simmons,Is he hurting you?
Abby,"Oh, no. No, Tye's been trying to help me, teach me to control my gift. I just haven't been able to do it yet. I don't know what will happen to them if I can't complete the ceremony."
Simmons,That's why you demonstrate your abilities.
Abby,"And then after, I get to go off-planet, travel the galaxy as an ambassador. It's a dream. It's why I have to learn."
Simmons,I might be able to help. Can you describe what it is you can do?
Abby,"Yeah, well, um... sometimes I'm so light, my hand can just pass right through things. And then, sometimes, I'm as solid as lead."
Simmons,You can control your molecular density.
Abby,"Yeah, but I can't control it. Everything in me, it just... it tenses up, and it hurts. Sometimes the only way I can get it to stop is if Tye turns on my blocker."
Simmons,That thing inhibits your powers?
Abby,It helps me. They help me. I'm just not worthy of it.
Simmons,"Abby. You are worthy. I've known many Inhumans, and every one of them took time to master their abilities."
Abby,"I've had time. And if I can't perform at the ceremony, Tye says that my family will be punished. So I don't... I don't even care what happens to me. I need to do this for them. Please."
Simmons,I'll help you.
May,Mack keeping him distracted down there?
Coulson,Zev's enjoying giving him a hard time. I think this might be our last shot. Say what you will about our future dystopian horror show. It has a nice view.
May,Dazzling.
Coulson,How's the leg?
May,I'm not gonna lie.
May,You think we're gonna find something out there? Maybe a way back?
Coulson,I don't know. Maybe there is no way back.
May,That doesn't sound like you.
Coulson,Just managing expectations.
May,You're being fatalistic.
Coulson,"Look, you know I'm not big on destiny, but maybe our destiny's here. In this time, helping these people."
May,"It's not like I don't want to help. I do. But after that, I'm going home. I spent weeks in the Framework, strapped to a board, thinking I was HYDRA. I've earned a night in my own bed."
Grill,Mmm. Mm. New people. Hmm. What? New girl!
Elena,I'm going as fast as I can.
Grill,Get over here. Your Metric's on the fritz. Arm out.
Grill,There. That oughta do it. No more dilly-dallying.
Tess,"Zev's so busy teaching your friend a lesson, he hasn't noticed we're off course yet. We should hurry."
Coulson,My God. It's a miracle anybody survived at all.
