character,line
Kasius,"I rescued humanity. Did you know that? What you may not know is how much I've sacrificed to do it. Before I arrived, this place was nothing but a wreckage, the rotted shell of a dead organism. But I saw it for what it could be. I had vision. And now, thanks to you, that vision has finally come to fruition."
Daisy,You've taken my blood. What more do you need from me?
Kasius,"Despite all I did for these humans, I found them clinging to their gods, their fairy tales, one of which was Quake. The Old Ones, rest their souls, they used to tell the story of how S.H.I.E.L.D. would return one day from the past to save them. Now here you are."
Daisy,Not my choice.
Kasius,"Yet you show up at the exact same time as another human, with no marks on her wrist and a skill set beyond her station. Jemma."
Daisy,"I know you're trying to say something, but I'm just not sure what."
Kasius,Perhaps you are more than a fairy tale. How many of you are here?
Daisy,No one else.
Kasius,"I want to believe you, Daisy. May I call you “Daisy?” It's a lot less formal than “Destroyer of Worlds.” You see, I have my own interpretation of the fairy tale. I think you're here to help me."
Daisy,That seems unlikely.
Kasius,"Does it? Word of your presence has piqued much interest. In fact, bidders are on their way. And with the price I'll fetch for you, I'll finally have the means to leave this horrendous place once and for all."
Daisy,What makes you think I'd go along with that?
Kasius,"Because, of course, your friend's face is so beautiful. Don't you want to make sure it stays that way?"
Coulson,What are you doing here?
May,They shut down all the Trawler flights. No idea why.
Coulson,"So now they even have the pilots working as crushers, I guess. That's a little slang I picked up here. “Crusher.” It's when you..."
May,Phil. I get “crusher.” Anything on Daisy?
Coulson,"Nothing. Just when we have a chance of getting answers on the surface, two of our people go missing."
Mack,Hey.
Coulson,Anything?
Mack,"Been checking with the guys working the docking bays to see if maybe Daisy hopped a ship to move between levels, but I don't know."
May,I assume she didn't.
Mack,Is it time to panic yet?
Elena,Possibly. I've covered every square inch of this floor. No sign of Daisy.
Coulson,I don't like this. She could be captured. She could...
Grill,You're not here to stand around and gossip.
Mack,We were all talking. Why me?
Grill,"‘Cause you're bigger. Makes it funnier. Keep working! Big man downstairs is entertaining. An intergalactic auction means that we have to provide more iron for Kasius to sell off. So we are working triple shifts. Hey, I answer to the fat cat Blues, same as you. Only I have to go and explain to them why we are not meeting our quotas. So make sure we do by the end of today. Except you. You're with me."
Grill,Guy's name is Gunner. Thinks he's a tough guy. Owes me a lot of tokens. I need you to rough him up.
Mack,Oh. You need me to do what?
Grill,"Beat his ass. Look, I got it on good authority that Gunner is waiting on a package from Level 35. Now, that is a high-security, Kreepers-only technology floor. He's in debt to me and getting tech from the Blues? I don't like that."
Mack,But you already got enforcers. Why do you need me to do it?
Grill,"Well, I had Zev. He was a snake. Now he's roach food. And have you looked in a mirror? You're a beast. Go be one."
Ben,Excuse me. They grow it.
Daisy,Uh... What?
Ben,You're wondering where the meat comes from. There's some kind of lab where they grow it or something.
Daisy,"Was that just a lucky guess, or did you just read my thoughts?"
Ben,"I heard them, really. That's what I got after Terrigenesis."
Daisy,"You're Inhuman. That's how you anticipated the moves, which is not cool, by the way reading people's minds without permission."
Ben,"I hear what I hear. Believe me, it's kind of a relief when they turn it off. And there we go."
Tye,"All right, everyone out. Not you. No, you're something special. You get a private viewing."
Coulson,"Yeah, I don't think you have a choice, Mack, if we want to keep Grill off our backs."
Mack,So we gotta go rough up this guy Gunner. Yeah. Makes as much sense as anything else in this place.
