character,line
Simmons,You're not eating.
Fitz,"Yeah, no. Not really hungry."
Coulson,"You know, I think this is the first time we've all been together in a really long time."
Woman,"Anybody have room for some pie? Okay, so we have apple, strawberry, rhubarb, and chocolate banana cream."
May,Here we go.
Enoch,Phillip J. Coulson.
Coulson,"Yep, that's me. You got us. Nice work. And congrats on the whole power-outage thing. That was very ominous."
Fitz,This is my fault. I'm gonna take full responsibility. Jemma?
Man,Hands in the air! Don't move!
Evans,Where are the other six?
Lucas,Where are they? Where'd they go?!
Fitz,I don't know.
Evans,Take him.
Fitz,"Wait. No. Hey, hey, hey. Hey, let go. Wait! Just wait! I didn't do anything! Something happened here! It wasn't me! I need to find them!"
Evans,Footage from the damaged security camera confirms you all walked in together at 8:54 p.m.
Lucas,"But at 9:47, when we arrived, you were the only one there. How'd they get out? Where'd they go?"
Fitz,"I don't know. Okay. So, you're saying it wasn't on the security camera?"
Lucas,They conveniently blacked out just over two minutes before we arrived.
Evans,What happened during those two minutes?
Fitz,"I swear I'm telling you the truth, I don't know."
Lucas,Do you like Bendeery English Ale?
Fitz,What?
Lucas,"Security cameras captured a Bendeery truck parked just in front of the diner before we arrived. Then it just disappeared, like your friends."
Evans,"We've... We've read your dossier, Fitz. It's impressive."
Lucas,The Big Bad Brain of S.H.I.E.L.D.
Evans,Did you help them escape with some kind of new S.H.I.E.L.D. technology? How did you know we were coming?
Fitz,"I didn't! There was no crystal ball or... or, “Beam me up, Scotty.” I don't know how they got away. I have a theory. You did it. You drugged our food or, uh, used some kind of gas, and now you have them in rooms just like this one, and you're messing with their mind like you're messing with mine. So why don't you tell me where the hell are they? Oh, come on. Who the hell is in charge here?!"
Hale,"Well, it's not General Talbot, since Agent Johnson put a bullet in his head."
Fitz,That wasn't her. That was... That was an LMD.
Hale,"Oh, right. Alibis by Asimov, huh? Blame it on the robot."
Fitz,"No, that's true."
Hale,"If it is, it was built and programmed by S.H.I.E.L.D."
Fitz,"It was built by an android called AIDA, and it answered to her, it."
Hale,Is that the one that killed Dr. Holden Radcliffe?
Fitz,Yes.
Hale,And Jeffrey Mace?
Fitz,"No, I'm responsible for that death. Okay? I'm telling you the truth, I'm responsible."
Hale,"Is that why they left you behind? For you to take the blame, huh?"
Fitz,"No, they wouldn't leave me. They wouldn't... I'm done."
Hale,"You're done when I say you're done. And if you don't cooperate, you're gonna be here for a very long time. Do you understand?"
Fitz,Aah.
Man,Time to get up. On your feet! Get up.
Lucas,Where is Phil Coulson?
Fitz,I don't know.
Lucas,Where is Daisy Johnson?
Fitz,I don't know.
Lucas,Where is Jemma Simmons?
Fitz,"I wish I knew. I wish I knew, ‘cause as much as you want to find them and bring them to justice, I want to find them so I know that they're okay. I am more than happy to pay for my sins, but I honestly do not know where they are or what happened to them. I swear I will do anything I can to help you find them. If you let me."
Evans,He's telling the truth.
Hale,Or he beat the machine.
Lucas,"I don't think so. I want him to fry as much as anyone, but he's the smartest guy we've ever had in here. Maybe we should let his brain work for us, help us solve this thing."
Hale,What does he need?
Evans,"Papers, pens, books."
Lucas,And a TV. To watch soccer.
Hale,Make sure that's all he watches.
Fitz,What are you doing?!
Evans,"So, what do you have for us this morning?"
Fitz,I told you about my experience in the Framework.
Evans,Yes. It seems very traumatic.
Fitz,"And I did suffer previous brain trauma, which may have been exacerbated. I may have suffered from Prodromal Schizophrenia. So it's possible I did something to them, or, uh, I helped them escape, or something worse and blocked the memory."
Evans,"We interviewed everyone there, Fitz. They all had the same two-minute lapse in memory. It wasn't you."
Fitz,"Okay. Yeah, that makes sense."
Evans,Are you okay?
Fitz,"Yeah. There was something else, actually. There was, um, a high-pitched, uh... Books. I'm gonna need more books. Books on, uh, sonic frequencies, sound waves."
Evans,Get us a list. We'll get them.
Fitz,And there's something else. Would you be able to post this? Worst keeper I've ever seen in my life.
Evans,It's a letter to a soccer fanzine. The least offensive part is when he calls the goalkeeper a Cro-Magnon Twit.
Lucas,"Redact his name. Have it analyzed by our code-breakers. It'll keep him happy. His intel on Radcliffe's base panned out, so he's helping us. And he's our only chance at finding the others."
Fitz,What are you doing? What are you doing?! It's a free kick!
Evans,"In six months, you haven't brought us a single plausible theory."
Fitz,"I know. I know. And I've been racking my brains, but I think..."
Lucas,No more thinking. You're out of time. We want an answer.
Fitz,Okay. I have one. I know what happened.
Lucas,By all means. Enlighten us.
Fitz,They were abducted by aliens.
Hale,"All right, that's it. We're done with you. No more books, no more television. You've wasted our time. You're gonna grow old and die alone in that cell. What? Here? How?"
Man,"Hey, you can't go in there without authorization."
Hale,Your attorney is here.
Hunter,Get those cuffs off my client and get the hell out of here.
Fitz,They printed my letters in the last six issues of Ballbuster Hooligans.
Hunter,"And how many copies do you think are available in Bangladesh? None. As in zero. Soon as I heard you were missing, I got hold of some. Where do you get off on calling Liverpool a bunch of wankers?"
Fitz,"Well, if you never win anything, then how do..."
Hunter,"Well, at least we're not trying to buy our way back to glory."
Fitz,Hey. Do not talk crap about Man U.
Hunter,Me talking crap? Your letters were nothing but crap. All that stuff about the... How many European Cups have you won?
Fitz,"Well, got your attention, didn't it? Finally. After six months!"
Hunter,"Well, maybe I should've just thrown them out and left you here."
Fitz,I missed you.
Hunter,"You, too, mate."
Fitz,It's good to see you. Mm-hmm.
Hunter,Okay. Okay. There... There'll be times for more hugs later. Okay. Okay.
Fitz,"Hey, uh, where are we?"
Hunter,"You're in a secure military installation. One of those “doesn't exist” places. But the law's the law, so they had to let me in."
Fitz,"Okay. Well, at least you gave me enough time to come up with a good escape plan. So, it's a mechanism that, um, I can slowly assemble, but I'm gonna need you to smuggle it in piece by piece. Um, so, if... if you could visit three times a week for a month, then, uh, then I should have everything I need. What are you doing?"
Hunter,I'm gonna need you to move two meters to your left. Mm-hmm. And come forward. There we go.
Fitz,What the bloody hell?!
Hunter,"Your coded message didn't have an escape plan, so I had to come up with one of my own. Come on. Let's go. There's our way out!"
Fitz,Who's flying it?
Hunter,"Rusty. The best getaway pilot money can buy. Well, the best getaway pilot my money could buy."
Fitz,Please tell me your escape plan involves an actual escape.
Hunter,"He was supposed to draw their attention, lead them on a wild goose chase up in the air, while we were getting away on the ground."
Fitz,"Well, he's definitely got their attention."
Hunter,Come on.
Fitz,Wait. That piece of junk is our ride?
Hunter,"Yeah, it's Rusty's, God bless his cold, black soul. And it's the last thing they'll be looking for. The last thing they'll be thinking is that two ex-S.H.I.E.L.D. agents would be stupid enough to try and escape in this whale."
Fitz,"Apparently, we are."
Hunter,"There you go. Your phone. You're welcome. Now, Rusty kitted this thing out with all sorts of bells and whistles."
Fitz,Is one of those bells an engine?
Hunter,There we go. See? It's even got cloaking.
