character,line
Flint,"Hey, Gretch. Got your tin right here."
Gretch,I'll give you a token.
Flint,A token? I was hoping for at least three.
Gretch,Token's all I can spare.
Flint,"Only for my favorite customer. Hey, Citrus, look, I don't have enough today, but maybe tomorrow, you can..."
Grill,"Sorry, junior. No gimmes today."
Flint,"Look, I don't need charity, all right? Only your best offer."
Grill,Hmm.
Kree,We've been looking for you.
Coulson,Kasius is breeding Inhumans to sell. Guy's got his own Cronenberg science division and everything.
Elena,This would explain all the ships arriving.
Mack,You think they're here for Daisy?
Coulson,Afraid so.
Elena,And still no sign of May?
Coulson,"Normally, she could hold her own against the Kree. But her leg, it's in bad shape."
Tess,There you are.
Coulson,"Tess, what is it?"
Tess,It's the Blues. They've come to harvest the children.
Enoch,That is Lady Karaba. She is a demented brute. Her affection a curse to anyone who receives it. And there is Senator Gaius Ponarian. I am repulsed by the sight. Even the man's closest friends find his temperament to be that of a diseased child monster.
Fitz,Seems Kasius has assembled the worst of the worst.
Enoch,Do not fear. You are far more reprehensible than any other creature in this room.
Fitz,"Thanks for that, Enoch."
Enoch,"You're quite welcome. It was a rather fun pursuit, constructing your alias. No longer are you Leopold Fitz, but instead, Boshtok, a vile space Marauder of unlimited wealth."
Fitz,Was the brooch really necessary?
Enoch,Indeed. That medal signifies the number of enemy lives you've taken.
Fitz,Just seems a little odd wearing a medal with little rhinestones on it.
Enoch,That is quite amusing. You no doubt realize those are Geg-ku larvae.
Fitz,"Okay, you know what? Let's drop the charade, find the others, and we'll shoot our way out."
Enoch,Mm. The chances of survival would be less than 2% for each individual. That is Jemma Simmons. Would you like me to broker an introduction?
Fitz,Why would I need you to introduce me to Jemma Simmons?
Enoch,It's Marauder protocol.
Kasius,"Look at the sniveling horde. These same ingrates mocked me all these years, yet now they hover about, clamoring for my favor. I, too, am unfamiliar with the Marauder, though his fortune is rumored to be vast. You want me to keep an eye on him. Ponarian, how great to see you again, dear friend."
Ponarian,Kasius.
Fitz,"Jemma, it's me. Don't turn around. Just play it cool. I've missed you so much. You know, I spent six months locked up in an off-the-books military prison, not to mention 80 years frozen in space, all just hoping to find you and here you are. You know, I realized something. The universe can't stop us. ‘Cause we've crossed galaxies. We've traveled through time. We've survived the bottom of the Atlantic just so we could be together. Now, a love like that... that's stronger than any curse. And you and I, we are unstoppable together. I... I don't want to live another day without you. So, Jemma Simmons, will you marry me? I know, I mean, I know I said, “Play it cool,” but I didn't mean play it this cool. Jemma..."
Kasius,Is there a problem?
Fitz,"I asked your servant a question, which she ignored."
Kasius,My apologies. My servitors are only allowed to hear the voice of their master.
Fitz,"Oh. Are they? Well, why don't you tell me how your guests' needs are met when your slaves can't hear them?"
Kasius,There.
Fitz,Thank you.
Kasius,"This one is quite exemplary. In fact, she also traveled through time with the Destroyer of Worlds."
Fitz,Hmm?
Kasius,Which probably explains her flawless complexion.
Fitz,Is she for sale?
Kasius,"Not independently. She comes as a companion, for she is quite adept at motivating the Destroyer."
Fitz,"Huh. Well, I find the only motivation people ever really need is pain. And its proper application."
Kasius,A wonderful sentiment. I should have expected no less from a man with such an impressive brooch.
Kasius,I need you to go see what has been reaped from today's harvest.
Fitz,What? Terran food awaits?
Kasius,"A bounty, though the harvest is something else. Earlier today, my men were carrying out the process of Terrigenesis, hoping to produce new Inhumans for my guests. If any were so inclined."
Fitz,Depends on how many units I have left after I purchase the Destroyer.
Kasius,It is said you are a man of expensive tastes. We shall soon see if you have the resources to support such desires.
Tess,"Every year, Kasius puts all the 18-year-olds through Terrigenesis."
Coulson,And that day's today?
Tess,"No, that was months ago."
Mack,Most of these kids are barely teenagers.
Tess,That's the one in charge. Been working his way up from the lower floors.
Coulson,I'm guessing this has something to do with Kasius' big party.
Elena,"More products, more profit."
Tess,That's Flint.
Coulson,He doesn't have anyone talking him through this?
Tess,"His parents were killed in a Renewal. Virgil had a soft spot for the kid, was even teaching him to fly. Gave him odds and ends to help him get by."
Coulson,You should go say something.
Flint,"Tess, this is crazy. I wasn't supposed to get misted for another two years."
Tess,Just means you don't have to wait.
Flint,Is this gonna mess me up?
Tess,"Look, everything is gonna be fine. Going through the mist, it's no big deal."
Elena,Terrigenesis is scary enough without a bunch of hyenas watching.
Mack,It's not their fault. These people have all been fed the same lie.
Elena,People believe what they want to believe. It's obvious they're lambs being led to the slaughter.
Mack,Let's just hope none of these kids crust over.
Flint,"If I do turn, least you won't have me coming around, begging for scraps."
Tess,I like having you come around.
The Vicar,"Children, it is time."
Flint,It's all right.
The Vicar,We seek a great bounty. Hoping that one of the young gathered here today ascends to something greater. Prepare to receive your gift from Kasius.
Tess,Flint!
Ponarian,"Mmm! So, how are you faring with that Vrellnexian litter I sold you?"
Kasius,It has been trying. The savage beasts have proven quite difficult to wrangle.
Ponarian,"Well, they're certainly not bred to cuddle. They're creatures of war, the not the shaggy dog of men. But I had hoped that the Vrells would provide you a small triumph. Last time we spoke, the strain of your exile seemed to wear heavy on your soul."
Kasius,I was never exiled. Mm. My father simply wanted me to oversee his Earth project personally.
Ponarian,While your brother oversees the family empire.
Ben,Kasius never offered me as a fighter till today. Guess that's what I get for saving your life.
Daisy,I didn't ask you to help me.
Ben,You were hoping for it. In your brain. Which is basically the same thing for a mind-reader.
Daisy,"Things are starting to turn in our favor, so just trust me on this, okay?"
Ben,I'm really glad my Inhibitor's on right now so I can't hear whatever dumb idea's in your head.
Daisy,We just need to work together.
Ben,Stop thinking that you have a choice. We're slaves.
Daisy,I am sorry for getting you mixed up in all this.
Ben,Let's just hope one of us doesn't have to kill the other.
Ponarian,"Dear friends, in honor of Kasius presenting the Destroyer of Worlds, I, too, have brought a rare delicacy for everyone's enjoyment, fresh Xandarian snail!"
Kasius,"Oh! You are far too generous, Ponarian."
Ponarian,Please keep that in mind when the bidding begins.
Karaba,How do you keep your human population so well under heel?
Fitz,"He has them kill each other. Well, that's what I would do. Humans clearly have the numbers, so fear is essential. And getting them to do it, that is the trick. Ritualization helps, making it sort of a game. It's all very efficient, really, at least in my experience."
Kasius,"Seems we have similar minds. It has done wonders tamping down the humans' more rebellious impulses. Mm. Oh. Well, I hope everyone's meal has been to their liking. As for your more primal appetites, a fight to the death is moments away. So, take a final look. One of these Inhumans will soon be withdrawn from the marketplace."
Ponarian,"Marauder, you have yet to taste your snail. Perhaps unrefined men don't have the stomach for such indulgences."
Fitz,"I find moist creatures distasteful, much like the fat mouths slurping them down."
Kasius,"This Boshtok makes for a lively dinner companion. Let us leave these snails to shrivel, huh? Much greater pursuits await our attention."
Kree,Maybe the boy's ability is to disappear.
The Vicar,"No, this is something else."
Tess,Is he dead? How does someone just disappear like that?
Coulson,"I'm really not sure, though I may have a theory."
Flint,We got to get back to The Exchange.
Elena,It's not safe for you.
Flint,But the Guards will be looking for me.
Elena,Only to sell you.
Flint,But I get a better life and the rest of the level profits.
Elena,You get no better life. People who buy other people are not good people. They'll only hurt you.
Flint,You don't know that. How did you do that?
Flint,Tess...
Tess,Are you okay?
Flint,No. I was just kidnapped by a crazy woman.
Mack,"Yeah, the kid ain't wrong about that."
Tess,"Don't worry. She's with me. Flint, this is Yo-Yo. She's Inhuman, too."
Flint,"Yeah, I kind of figured that already. Why aren't you living down on the Kree levels?"
Elena,I'm not really from here.
Coulson,None of us are. And she's not the only Inhuman with us.
Flint,You mean this guy?
Elena,"No, he's just cool."
Coulson,"Look, we can't hide in here forever. Kasius' men will be looking for Flint even as we speak."
Mack,And Grill's reporting to his station boss. He'll be back end of day.
Elena,We need to disappear long before that.
Tess,"Look, I could put in for a Trawler run. We hide Flint in the brig and head out. Could buy us a couple days."
Mack,"Yeah, but without May, we don't have a pilot."
Tess,Least of our worries.
Coulson,Want any help?
Tess,"More people, more questions. Best I go on my own. Stay right here. Be back in a few."
Kasius,It is refreshing to have a man of your caliber join our ranks. Would you care to join me for the upcoming display?
Fitz,I'm eager to see everyone you have to offer.
Kasius,"Then I shall make every effort not to disappoint. Our first contestant possesses extraordinary skill, a telepath, able to read his opponent's plan of attack before it is carried out."
Kasius,"Normally, I'd pit Ben against another Inhuman. Yet, for this select crowd, I've decided for a more unique opponent. One not of this time. This deadly assassin was trained by one of the galaxy's most despised organizations. But most intriguing, she is also a friend to the Destroyer of Worlds. Dear guests, may I present to you, Melinda May, Agent of S.H.I.E.L.D."
May,Aah! You're cheating.
Ben,And you're dying.
Fitz,How many traveled in time with the Destroyer?
Kasius,"My servant and Melinda May are the only ones I've discovered, though Sinara remains convinced there are more."
Fitz,The mind reader's a skilled fighter. Speaks well of his training.
Kasius,Ben is quite talented for an Inhuman. But he wouldn't last a day in my father's army.
Fitz,You speak highly of your father.
Kasius,He's the greatest warrior I know.
Fitz,Ponarian made it seem as if you'd been banished from your home world.
Kasius,Ponarian knows not of what he speaks.
Fitz,"My father was disapproving. The things I did to earn his respect, they left scars."
Kasius,"My own situation, it is a tragic misunderstanding."
Ben,No one can help you now. Not even a guest of Kasius.
May,Aah!
Ben,You're doubting yourself.
May,Stay out of my head.
Fitz,My guess is you're selling the Destroyer as a way to redeem yourself.
Kasius,I believe a great fortune can smooth over any transgression.
Fitz,I'm prepared to help you with that.
Ben,Don't make me the bad guy. Kasius only tossed me in here because I helped your friends.
May,Okay. Then I won't kill you.
Ben,Thanks for promising not to do something you can't...
May,"Didn't think, just did. Aah! Aah! We have to work together."
Ben,"What is it with you guys and teamwork?! This fight needs to end now, or else they'll feed us both to the Roaches on the surface."
May,Aah!
Ben,No way. Kasius isn't gonna change the rules now.
May,You just have to know who to ask.
Fitz,This fight bores me.
Kasius,"I assure you it will end in a most thrilling fashion. Sinara, have the guards throw in more weapons."
Fitz,"Lack of weapons is not the problem. I came to see the Destroyer fight, not some ancient has-been."
Kasius,I'm afraid a life is owed.
Fitz,Send the Agent of S.H.I.E.L.D. to the surface. The Vrellnexians will have much more use for her than your weary audience.
Kasius,Guards! Escort the human woman to the surface lift.
May,Thank you.
Ben,"Unfortunately, your friend just delayed the inevitable. No one can escape the Roaches."
May,Aah! Aah.
The Vicar,Have you seen the boy?
Tess,Flint? Mm. Can't say I have. He's a total floor rat. He could be anywhere.
The Vicar,Or you could be hiding him.
Tess,Why would I do that?
The Vicar,"I saw you together at the ceremony, offering the boy last words."
Tess,"Listen, Flint, he gets me things no one else can. Giving the kid a pep talk? That was me just keeping my business relationship on the steady."
The Vicar,"If I find you're keeping things from me, there will be consequences."
Tess,Understood. We done here?
Flint,"Well, how come I don't have my powers yet?"
Elena,You have your power. It just hasn't revealed itself.
Flint,How long did yours take?
Elena,"Oh, it was a total disaster. I crusted over three weeks earlier, after eating fish soup and tacos."
Flint,What are tacos?
Mack,What the hell kind of future is this?
Elena,"Tacos are a food. Anyways, I had told myself this was just a dream. And then my cousin Francisco calls with bad news about his mom. I was upset, so I went to get a beer, and whoosh! I'm back on my couch, beer in one hand. I realize I need a bottle opener, and whoosh again, I'm back on my couch, bottle opener in the other hand."
Flint,What did you think was happening?
Elena,"My heart was beating so fast, I thought someone had put cocaine in my beer."
Mack,"Whoa. Dial it back, Escobar."
Elena,"I got so worried, I told my cousin Francisco to come over. He spent countless hours talking me out of an exorcism."
Grill,That is a great story. Pretty sure Kasius is gonna want to hear that for himself.
Kasius,"10,000 for the telepath!"
Karaba,"Kasius doesn't need money, he wants weapons. Five Culverian Blasters."
Ponarian,"This is an auction, Lady Karaba, not a flea market. Take your useless toys back to the mudpits you crawled out of."
Kasius,"My apologies to you both, but I cannot in good faith sell this Inhuman."
Ponarian,"What dense thought rattles in your brain, Kasius? If I wanted a tease, I would have visited the brothels of Kitson."
Kasius,Your pent-up desires do not concern me. As to my reasoning. Perhaps you would care to illuminate our guests.
Ben,No. Please. It won't happen again. I was wrong. Please!
Kasius,"You see, Ben was present when I asked the Destroyer if others had traveled through time with her. She insisted that my servant was the only one, which turned out to be untrue."
Daisy,"Kasius, th... it's not his fault. Kasius!"
Kasius,"He lied. Normally, that would not preclude him from being sold. Only in this instance, that lie was told to me."
Fitz,Is this really necessary? Make one of the buyers discipline him.
Kasius,You of all people must understand. No man of honor can allow the tongues of his slaves to lie so boldly.
Daisy,I'm the one. I am the one to blame! Not Ben!
Kasius,Perhaps. But he's far less valuable.
Ben,Don't blame yourself.
Daisy,"No! Ben! No! No, no, no."
Kasius,"Hopefully, you found this display more to your liking."
Coulson,You're home early.
Grill,"Thought I was getting called up for another damn report. But turns out, my manager just wanted to let me know that a Trawler pilot was fighting in The Crater."
Coulson,May?
Elena,Is she all right?
Grill,"All right's not a word I would use for someone who was chucked out as Roach food. Morsel, maybe. Now it's time you tell me why the three of you didn't have any Metrics."
Coulson,We came from the past to save the world.
Grill,"Are you... you speaking of... the Prophecy? Hey, look, I may be a rube, but only dumb rubes believe in that prophecy nonsense. Though I will be a rich rube once I turn you four in to Kasius."
Mack,"You turn us in, we're all dead."
Grill,"Listen. Once that creepy son of a bitch pays me off, he can do whatever he wants. Now, being dead might be your best option."
Simmons,I'm so sorry.
Daisy,"Ben saved my life, he saved both of our lives, and Kasius just murdered him while I stood there."
Simmons,There was nothing you could do.
Daisy,I'm gonna kill him.
Simmons,"Mm. Well, you'll have to get in line."
Daisy,So you can hear now?
Simmons,Fitz tricked Kasius into turning my hearing back on.
Daisy,How is Fitz even here?
Simmons,I don't know! He just showed up out of nowhere with his own spaceship.
Daisy,It's a baller move. Not to mention the whole bounty-hunter look he's rocking.
Simmons,I still prefer him in cardigans.
Daisy,Do you have any idea what he's planning?
Simmons,"Yeah, I'm not sure, actually. We haven't had a moment to speak, though it would seem he's here to purchase us."
Daisy,What if it doesn't work?
Simmons,I have a knife.
Daisy,We can do better.
Simmons,"Well, there was limited cutlery to choose from."
Daisy,"No, with our plan. We have to figure out a way to work together. Kasius has to turn my Inhibitor off before the fight starts. We can make our move then."
Simmons,Who are you facing?
Daisy,Someone disposable.
Simmons,I'm sure Fitz will be ready. Here we are again.
Daisy,Us against the world.
Ava,You must hurry. There's a situation.
Enoch,We have a problem.
Fitz,What is it now?
Enoch,Someone new has arrived to acquire the Destroyer of Worlds from Kasius.
Fitz,Someone more wealthy than me?
Enoch,And more feared. His brother.
Flint,"Why does Kasius have people fighting downstairs, Grill?"
Grill,All part of the fun and games. Let's just hope he doesn't choose you.
Mack,Hey! He's just a kid!
Grill,"I'm starting to think that Zev didn't deserve to die. That maybe your girlfriend set him up! Nothing says that I gotta turn you in cherry. So, you know, maybe I will just watch you sizzle. Hey, knock it off, junior."
Flint,I don't know how.
Grill,"Well, you figure it out!"
Elena,"Flint, look at me. This is your gift. You can control it."
Grill,"You stop it, or I will stop you."
Fitz,Kasius?
Kasius,Mhm?
Fitz,What is this about your brother coming for the Destroyer?
Kasius,"If you'd excuse me. Isn't it wonderful? The journey from my home world is significant, so Father must be quite serious if he sent Faulnak in person."
Fitz,"I'm also serious, and I guarantee you I have traveled a much longer journey."
Kasius,And it has been a privilege having you.
Fitz,No. Not if I don't get the Destroyer. You promised me a chance to make an offer.
Kasius,Which I look forward to entertaining. Though I would encourage you to consider one of my other Inhumans.
Enoch,That did not appear to go well. Let's hope the rest does.
Fitz,"Okay, then. There's one last thing I need you to do."
Kasius,"Our fate is soon at hand, Sinara. Ah. It is an honor to have you join us, brother."
Faulnak,There is no honor to be found in this human cesspool.
Kasius,Yet here you stand. There must be something of worth for you to travel such a great distance.
Faulnak,I'm only here because of Father's orders.
Kasius,"Oh. It pleases to hear Father sent you, his most trusted messenger."
Faulnak,"This Destroyer had better be what you say, or I'll gladly remind you of the many shapes my anger takes."
Kasius,Yes. You were always quick to offer a demonstration. Perhaps now I can present one of my own. The Destroyer is set to battle one of my most prized Inhumans.
Faulnak,I have no desire to see one of your homegrown experiments fight. The Destroyer must face a Kree warrior. Your stray shall suffice.
Kasius,But Sinara is not prepared for battle.
Faulnak,Is she not your greatest warrior? You cower behind her as though she is. Perhaps I have misjudged and you no longer seek Father's approval.
Kasius,"Of course. Sinara would be honored to fight. Well, I understand this is sudden, but it presents a tremendous opportunity. Everything I have been striving for is but one fight away."
Sinara,To the death.
Kasius,Yes. That is what has been promised. I have every confidence that you will provide us all a great spectacle.
Flint,No. I can't be here anymore.
Mack,Hold on. It's too dangerous out there.
Flint,It's better than staring at the guy I just killed! I knew him! He was one of my best customers! Even gave me spare tokens from time to time.
Elena,What happened to Grill is not your fault.
Coulson,"You had no choice. He was gonna kill us. Now, Mack and I, we're gonna go find Tess, and we're gonna get you on a Trawler, okay?"
Coulson,Kid should be playing ball or running for student council.
Mack,Or class treasurer.
Coulson,That's pretty specific.
Mack,"Ah, served three terms. I'm a pretty financially responsible dude."
Coulson,Tess. They killed her because she wouldn't give up Flint.
Mack,She's already dead. The only thing we can do now is try to keep Flint from meeting that same end. Come on.
Kasius,"Now, one of the galaxy's deadliest forces. Yet tonight, she fights for your enjoyment. Dear friends, may I present to you, Quake, the Destroyer of Worlds."
Faulnak,This puny girl is your Destroyer?
Kasius,"Your rush to judgment has always been a shortcoming, brother. Allow me to switch off the Destroyer's Inhibitor. Then you shall see her true nature. Of course, before I unleash her, we must take precaution. Would you care to give the opening commencement?"
Faulnak,Seems your stray is done taking orders.
Daisy,"All right, you freaky blue bitch. Let's do this."
Daisy,This is for Ben.
Kasius,"Guards! Guards, stop them."
Fitz,I'm never leaving you again.
Simmons,"Then marry me, Fitz."
Fitz,Absolutely.
Simmons,"Okay, come on."
Fitz,"Also, um, just to say, I did propose earlier when Kasius had your hearing turned off."
Simmons,"Oh, of course you did."
Fitz,"No, I... Seriously, I did."
Enoch,"Hello, friend."
Kree,Who are you?
Enoch,"I am a Kree. As I have always been, brother."
Kree,Do you know where you're going? People don't come back from there.
Enoch,I am not a person.
