character,line
Simmons,Find me some clothes.
Daisy,"What's the plan, Fitz?"
Fitz,"Uh, I have a ship. We get there, then comes the plan."
Fitz,"Hey, how's your head?"
Daisy,"I'll tell you when the ringing stops. By the way, “fight to the death?” Really?"
Fitz,"Yeah, well, I had to make a splashy entrance."
Daisy,"Yeah, well, you could have jumped in the octagon yourself, then."
Fitz,"Well, wouldn't be fair. I do push-ups now. Double digits. So..."
Simmons,You have no idea how good it is to see you. You're here with a spaceship. Seems impossible.
Fitz,Nothing is impossible anymore.
Simmons,Full story later.
Fitz,"Yeah, there will be pints."
Simmons,"There will be gin. Oh! Oh, my God!"
Fitz,Whoa.
Daisy,Her implant. They must be messing with it.
Fitz,"Well, what... what... what do we do?"
Daisy,Get it out.
Fitz,"Okay. Hey, hey, hey. Jemma. Jemma. This is gonna hurt. I've got it. I've got it."
Simmons,Aah! Aaaah!
Daisy,We got to go! Come on.
Fitz,There's the ship. Just got to get past...
Daisy,Don't tell me that was...
Fitz,Our way out.
Kasius,Is it noticeable?
Faulnak,"It should be. Scars are badges of honor for the victor. But as expected, your priorities are misplaced. What news of the Destroyer?"
Kasius,"She has no power, no ship, and nowhere to run. Have patience, dear brother."
Faulnak,Patience is a feeble cover for inaction. Double the guard. Have them sweep floor by floor...
Kasius,"While your expertise is appreciated, I have the matter under control. There's a system in place, and it has served me well. Sinara will end this inconvenience. As you saw by her display in the Crater, she is the most capable warrior in my employ."
Faulnak,"Your best has proven inadequate. You remember my man, Maston-Dar, here. He'll make quick work of this."
Maston-Dar,A Terran weapon.
Faulnak,"Of course. Bring any human weaponry you possess. Maston finds it unfair hunting primitives with anything but their own primitive armaments. Show them how we spill blood. And, uh, find the girl in the process."
Vicar,"This is the price of hiding Inhumans. Continue to keep your mouths shut, and you'll end up dead, too."
Coulson,This is bigger than a renewal. It's a direct threat.
Mack,These people will give us up in a heartbeat if it'll save their own lives.
Coulson,"These Kree may be cruel, but they're not stupid. It's only a matter of time till this trail of bodies leads them right to us. It's time for us to make a move."
Kasius,"Finally. There's work to be done. Faulnak loves to play general. Let him. I need him to be satiated. He's the gatekeeper to my father, to our freedom."
Sinara,“Our?”
Kasius,Don't be dramatic.
Sinara,"He gives the orders now, no?"
Kasius,"I see. You're resentful because I allowed him to throw you in the Crater. Well, look at you, no worse for wear. You held your own against the Destroyer of Worlds, as I knew you would. Your strength has never let me down. And now I ask for you to lend it to me once again. We're so close, Sinara, to freedom from this place. Restored to glory together."
Sinara,You're begging. It's repulsive.
Kasius,"I'm imploring you to think. To use reason. I must appease my brother, and I cannot allow him to steal my reward. I will keep him entertained. We'll let his man chase her tail while you figure out what's in her head. Where will she go?"
Daisy,"So, the last time I saw Yo-Yo and the others, they were at a salvage yard on one of the upper floors."
Fitz,"How you feeling, Jemma?"
Simmons,"Oh, somewhere between motion-sick and... Ohh! That's not helping."
Daisy,"Damn it. Wait. Fitz, give me a boost."
Simmons,I'm just happy not to be standing still. Feels good to be on the run.
Fitz,Together.
Enoch,"Hello! That is the third Vrellnexian I have eliminated in pursuit of you! Not to toot my own horn, as you would say."
May,I would never say that. Who the hell are you?
Enoch,My name is Enoch. Fitz sent me.
May,Fitz? How were you not eaten by those things?
Enoch,"They have no interest in me, as I have no tender insides for them to extract."
May,I thought Fitz was done building robots.
Enoch,"I am not a robot. I am a sentient Chronicom from the constellation you know as Cygnus. I am here to aid you, you who will save humanity, Melinda May, Jemma Simmons, Phillip J. Coulson."
May,Say that name again?
Enoch,Phillip J. Coulson.
May,You're the son of a bitch from that diner who got us into this whole mess! You... Aah!
Enoch,I am here to get you out of this whole mess. It would appear I got here just in time.
May,I'm managing.
Enoch,Have you properly diagnosed the extent of your injuries?
May,Bilateral tear of the quadricep.
Enoch,"By all accounts, you should not be standing. Are you a doctor?"
May,No. I'm a fighter.
Enoch,Still? It may be time for a career change. There's a gravity storm approaching.
May,They're moving away. Are they afraid of gravity storms or you?
Enoch,"The Vrellnexians ride the gravity storms, but I don't think it's me. I think they're afraid of something else."
May,Aah! Aah! Aah! No! No!
Maston-Dar,Halt.
Man,Aah. Aah!
