character,line
Simmons,Three more cities just went dark. It's spreading too fast.
May,The Lighthouse is still 200 miles out!
Agent,Hey! You're not supposed to be here. Where the hell is this girl's mother?
Simmons,Polly didn't make it this far.
May,"Robin, go back downstairs with the others. It's not safe up here."
Robin,It's okay. We survive the crash.
May,What cra...
Simmons,There's a gravity storm heading right for us!
May,Sit down! Buckle up!
Robin,There's something else I need...
Robin,... to remember. Sorry. W-What did you ask?
May,How are you even here?
Robin,I told you we'd survive the crash.
May,The crash? I'm not sure I know what you're...
Voss,"Don't be put out if you can't follow Robin's train of thought. It's like her life is a deck of cards shuffled out of order. She's a seer, all right, but nowadays, she can't separate past, present, and future. Samuel Voss. My apologies for the rough rescue, but you got to act fast when gravity storms start kicking up."
May,You're going back out?
Voss,"Yeah, my crew's gonna go out and collect your friends."
May,Wait. They made it to the surface? How do you know?
Voss,"She told me. A decade ago. Sounds like them now. Don't worry. Robin told me they survive this crash, too."
Coulson,Love what they've done with the place.
May,"Looks like, uh, you had a rough landing."
Coulson,"Yeah, can't recommend the airline. Inexperienced pilot, lot of turbulence, ran out of pretzels in coach."
Daisy,May.
May,Daisy.
Daisy,"Oh, my God."
May,Daisy.
Daisy,"Oh, it's good to see you. What? It's crazy the Zephyr ended up on the last remaining chunk of Earth."
May,Yeah. Must've been en route to the Lighthouse before it crashed.
Coulson,Wonder if that means some of us survived the end of the world?
Daisy,I doubt I made it.
Coulson,Ooh.
May,"Medical, same place."
Daisy,Okay. It's good to see you.
Coulson,"Glad we finally found some allies. You get any answers about who they are, why they brought us here?"
May,Just more questions. I have a lot to catch you up on.
Deke,"No, you don't understand. Not just dead. As far as everyone in the Lighthouse was concerned, everybody that came up here was torn to scraps. But they're all still alive and living in an actual airplane."
Simmons,"Fitz, your design really withstood the test of time."
Deke,"Woah, you designed this? Damn. Can't imagine what it must've been like to fly."
Fitz,"Technically, I'm the engineer, I'm not the pilot."
Deke,"Oh. Yeah, well, that's still cool, I guess."
Voss,Holy hell. Is that Deke Shaw? Ha! I'll be damned! Thought I was looking at your old man 20 years ago! Welcome.
Deke,"Oh, my God, Voss. I should've known that even the roaches wouldn't touch you."
Voss,Ha! Never thought I'd see you tagging along with these folks.
Deke,It's a long story.
Voss,"Well, let's hear all about it, huh? You can tell me whether these guys are the real deal or not. I'm surprised you're the only one of ours to make the trip. And Virgil?"
Deke,The Roaches got him. I'm sorry. I've been playing catch-up ever since. I feel like he could've told me that he was exchanging messages with my dead dad.
Voss,We didn't know who to trust.
Deke,"Clearly. So, where is he?"
Voss,"Your dad was transmitting from a radio tower a few days out. He's on his way back now, but he is gonna be so happy to see you."
Deke,Is he?
Voss,"Oh, come on."
Deke,"Just, the way we left things, it wasn't really..."
Voss,"No, no, no, no, listen. He never held any of that against you, all right? If anything is to blame, it's the Lighthouse. That place did a number on all of us."
Kasius,"Are there any signs of life on the downed trawler? There must be some indication. If they fled to the surface, they may have the means to survive there. The Destroyer of Worlds has proven quite resourceful. You want to go after her? If she's alive, reclaim our property. If not, at least we'll have a trophy. All resources are at your disposal. While you're away, I'll focus on the human traitors who aided the escape. We've been far too lenient with those who serve us. Hmm. It's clear they require a firmer hand. Their disobedience must be punished."
Sinara,A renewal?
Kasius,No. Retribution. This ends today.
Elena,"Well, it's not that someone forgot to pay the electric bill."
Flint,The Kreepers are playing games again.
Mack,"It feels more like an endgame. We need to move quickly, get to level 3, where Fitz hid those weapons."
Elena,"Had to leave them on the level with the giant space bugs, huh? Have you seen those things?"
Flint,Nope. Still don't want to. The service tunnel's up ahead. It's our way up.
Gretchen,"Hey, Flint. This is your fault, so you know!"
Elenea,"Hey, he didn't ask for any of this."
Gretchen,They already cut the water. Now the lights? They're punishing us for what you did.
Man,"You should be down with the other Inhumans, where you belong!"
Gretchen,Turn yourself in!
Man,You can't be here!
Mack,Hey! You don't want to go down this road.
Coulson,It all makes sense. Robin is the reason we're here. She's the connection between the two points in time. This is our answer.
May,"The problem is, for her, those two times are indistinguishable."
Fitz,"Well, the decades haven't made her any easier to understand."
Simmons,It's like she's still a little girl. Best not to crowd her.
Fitz,Yeah.
Coulson,"Hello, Robin. We've had quite a journey to get to you. I was hoping you might tell us why you brought us here. What are we supposed to do?"
Robin,I already told my mother.
Coulson,Told her what?
Robin,Everything.
May,She's been in and out since I got here. I asked her why we were taken from the diner.
Coulson,And?
May,She said it was the last time we were all seen together.
Coulson,That doesn't bode well.
Robin,Phillip J. Coulson. He can bring all the pieces together.
Coulson,Pieces of what?
Robin,This is the day it all ends.
Daisy,"So, the lady who sees the future says that there isn't one. Super."
Coulson,"Unfortunately, Robin's not much for specifics. Anyone who has the answers is either unreliable, dead, or wants us dead."
May,"So, status quo."
Daisy,Yep. The homicidal blue bastards are the most pressing issue. We made a pretty big splash when we broke out of the Lighthouse.
Coulson,"Hope Mack and Yo-Yo are holding their own. We're gonna come to blows with Kasius soon. Only question is, who strikes first? Be nice to have Quake back with us when that happens."
Daisy,Won't be quaking anything with this thing on.
Coulson,"Have Fitz and Simmons take a look. We'll keep working with Robin, see what else shakes loose."
Daisy,Copy. I thought that I had a lot to process. This must be blowing your mind.
Deke,"Yeah, a little. When you're a kid, you... you learn fast not to cross the Kreepers because they'll send you to the surface, and up there, you die. But, hey, turns out that everything's a lie and people can survive up here, and even that batty old lady made it."
Daisy,The one who sees through time? Probably should've mentioned that.
Deke,"Yeah, well, I thought she was crazy, all right? And as I mentioned, dead. Back in the Lighthouse, Virgil used to bring her tea every day and listen to her stories. That is, until Kasius sent her and my dad topside."
Daisy,Must have been sad to lose him. I'm sorry.
