character,line
Mack,Hold your fire! Nice work.
Gunner,Yeah? Why does the guy named Gunner get stuck throwing rocks?
Mack,‘Cause you're damn good at it.
Elena,Enemy of my enemy.
Mack,"Yeah, puts things in perspective. He's fighting for a good reason."
Elena,"For the record, I like Rebel Peacemaker Mack, too. He's sexy."
Mack,Is that right?
Flint,Whoa. Two more Kreepers. This is our floor now. No Blues allowed.
Mack,"Hey, slow down, slow down. We got a long way to go still."
Elena,"Smile, Turtle Man. We did good."
Mack,We got lucky. But now Kasius knows we're still here. They'll be back.
Kasius,The humans are alive? Impossible.
Kree,They killed the Vrellnexians. And we lost eight soldiers.
Kasius,How can that be?
Kree,The humans have guns.
Kasius,"Where on this cursed rock did they find weapons?! If even one item doesn't make it onto my ship whole, then I fear neither will you! Am I clear? An uprising. Just as I'm on the verge of leaving this place, Destroyer in hand. No matter. Have the doctor awaken our latest acquisition. It's time to remind the humans I am not their enemy. I am their God."
Enoch,"This Inhuman boy, Flint, you say his geokinesis is the key to building a new monolith, to your returning home?"
Coulson,"Technically, Robin said it to May, but yeah, that's the idea."
Enoch,And how exactly will that work?
Coulson,We have a monolith shard that Simmons said has a unique crystalline structure that he can... It's a rock. Flint controls rocks. I don't know. Won't matter if we can't make it back to the Lighthouse.
Enoch,Then we must hope he remains safe while we wait out the intensifying gravity storm. By my calculations...
Coulson,"It'll last for weeks, and we need to evacuate. Right, you've been saying that. Kind of on repeat. Whatever you're doing, do it faster. How we lookin'?"
Fitz,"Terrible. Zephyr One's been a crash site for going on 80 years, so it's a mess."
Daisy,It's gonna be a while till comms are up and running. ‘Cause I'm pretty sure generations of space rats have lived and died in here.
Simmons,"Not to ruin the mood, but avionics are online."
Enoch,"Agent Coulson, we are evacuating to the caves for shelter, are we not?"
May,"Zephyr flies again, metal man."
Enoch,I am mostly plastic alloy. And Chronicoms do not have gender.
Coulson,"We don't have weeks. We're gonna outrun the storm. Pull the ground anchors, fly past as many roaches as we can, and land at the Lighthouse."
Enoch,"You are confident, despite knowing this will surely end in your deaths."
Daisy,We're not gonna bury our heads in the sand while our friends are in danger.
Fitz,"Well, so much for avionics."
Simmons,Rerouting must have overloaded the MPDU.
Fitz,Need to try and bypass the subsystems.
May,"Hey, Plastic, make yourself useful. Secure this in the back."
Enoch,"Plastics are quite useful, if not often appreciated."
Coulson,I'm sorry she had to go like that. You want to talk about it?
May,"I, um, don't know where to start."
Coulson,"An old woman tells you that she was your daughter and that you'll save the planet from cracking apart, doesn't happen every day."
May,It's hard to believe.
Coulson,That we can do it?
May,That I was a mom. I just... I can't see it.
Coulson,I can.
Daisy,"Yeah. You'd be that no phone, no TV, 7:30 curfew kind of mom. You're kind of proving my point with the face."
Coulson,"For Robin's sake, we need to make sure this world never comes to be."
Daisy,Yeah. No matter what.
May,What are we gonna do with Voss?
Coulson,I left that up to Deke.
Voss,You're upset. I don't blame you. Think about what you're doing here.
Deke,You killed him.
Voss,"Me and Owen were lockstep in almost everything. Always agreed to pull these people out of the past, but once they got here, we never saw eyetoeye on that. He thought they'd come with some grand solution. I thought killing them was the solution. You know how stubborn your old man could be."
Deke,You were his best friend.
Voss,"Yeah. Up until the day he tried to end that argument for good. Came at me with a knife, and the knife ended up in his throat. You know he was capable of it. Not how I wanted it to go down, but I did what I had to do."
Deke,It was all for nothing. You haven't done a damn thing.
