character,line
Hek-Sel,Tear the ship apart. Find them!
Daisy,All clear.
Fitz,"Hopefully, we can say the same for Enoch."
Hek-Sel,No lifeforms detected.
Enoch,The diversion seems to have worked. They're still searching the ship.
Coulson,Good. You're secure?
Enoch,Yes. The machine will be online by the time Flint builds the Monolith.
Coulson,Easier said than done.
Deke,"So, one more time, the machine uses the little piece to trigger the bigger piece through space?"
Fitz,"Yeah, or time."
Simmons,"It mirrors the harmonic resonant frequency of photons, which can exist out of spacetime."
Deke,"Yeah, I... I hear you saying words, but what... what do they..."
Daisy,"If Flint can't construct the Monolith, none of this matters."
May,"Robin said he can, so I believe it."
Simmons,We'll talk him through it once we meet up with them.
Tess,We can't go yet. There are still people in danger.
Mack,Coulson's on it. He's rescuing the Inhumans right now.
Tess,"But not the dead ones. Look. When I was brought back, I heard someone else going through the same pain, the same process."
Mack,Being revived? Who?
Flint,Some Inhuman. Has to be.
Elena,They're the only thing Kasius values.
Tess,"Look, if we don't find them, nobody will. It's a whole other section..."
Mack,"Yeah, but right now, you need to get on that trawler. People are depending on you to fly them up to safety."
Elena,"Show me where to go, I'll go. Tess is needed at the trawler. You guys meet FitzSimmons. I'll save whoever I can and meet you at the rendezvous. Easy."
Mack,Nothing about that sounds easy.
Coulson,You two get that thing to Flint. We'll worry about survivors.
Deke,And kill Kasius.
Coulson,Get them to safety.
Deke,And then we kill Kasius? When does that happen? Because some of us aren't getting out of here on a magic rock.
Coulson,"We won't leave until humanity's in control of its future. But in the meantime, everyone do your job, meet at the rendezvous point."
Elena,"Mack, it's an Inhuman in pain. I have to go."
Tess,"Look at you. A few days ago, you were begging for spare mushrooms. Now you're the kid who's saving the world."
Flint,Don't say that. I liked it better when I was flying under the radar.
Tess,"Kid without hair, you were never under the radar. You'll do great. Get back safe, okay?"
Elena,Take care of the big guy. He worries.
Kasius,I'm here. I'm here to care for you as you've cared for me. Fix her.
Kree doctor,This damage is beyond repair.
Kasius,"You do it all the time for Inhumans, the trash girl I sent as my messenger. Fix her."
Kree doctor,Terran biology is simple. Sinara is Kree. It won't work. You know this.
Kasius,Stop defying me and fix her.
Kree doctor,"With respect, she's dead. I don't know how to remedy that for our kind."
Kasius,"Then I suggest you study the condition more closely. Fetch the Inhuman trainer. Look at me, clawing at the walls of my own mind. I envy your sleep. You rest while S.H.I.E.L.D. stalks my every move. Scavengers. No, you're right. They plot to destroy my enterprise as they did the world my father lusted after. Tell me these scraps are not all that was recovered from the ship."
Hek-Sel,"From the old woman you sent to the surface  years ago, who spoke of the prophecy."
Kasius,I remember. She who predicted they'd come through time.
Hek-Sel,Yes. I think she intended them...
Kasius,"To go back. Of course. Every word from my seer's mouth confirms they would. And if they're here, they have yet to crack the world apart. Well, picture it, Sinara. To them, it's still lush, still whole. Tye. You've never seen the Earth as it was. My father who had better vision than his race who shunned him, called it a hidden blue gem. He and his entire confederacy wanted it for their own. Gather my Inhumans, a fighting force to crush S.H.I.E.L.D. With them out of the past, my father will then encounter no resistance. Earth waiting for his embrace."
Tye,"Yes, but the remaining Inhumans are barely trained."
Kasius,"My family has a tradition. When all is lost, you die with honor. Drink the Odium. It burns through the body. All strength, no pain. A fearsome last stand. A brilliant flash of light and splendor. Go fight. Until the last moment when your heart bursts with rage."
Mack,"If we ever get out of here, I'm gonna tour my bike down a very scenic highway till the wheels melt off."
Flint,Isn't that the thing that kids ride?
Mack,It's a motorcycle. Imagine a... a rocket on two wheels with a place to hold on.
Flint,Sounds crazy.
Mack,"Yeah, you'd dig it. You know, Earth isn't a bad place to grow up. If you want to come, you'd always have a home with me and Yo-Yo."
Flint,"Yeah, well, still don't know how I'm supposed to build a time machine."
Fitz,"It's a portal, not a time machine."
Simmons,And you'll build it with this.
Coulson,"Let's go! Go, go, go! Get the Inhumans to the trawler!"
Deke,"Guns, man! It's like cheating! They shouldn't give these to anyone that's not a really, really good person."
May,You think there'd be a law.
Coulson,Daisy!
Daisy,What happened to you?
Tye,Kasius freed me. I feel no pain. Aah!
Daisy,Feel that? You okay?
Coulson,Just a wardrobe malfunction. You?
Daisy,Yeah. Turns out they have PCP in space.
Deke,"I heard you were dead. You look good for dead. I mean, I... You don't look great, but you... I mean, you've been through something, but..."
Tess,"It's good to see you, too, Deke."
Coulson,I've been where you are right now. Something like this changes you.
Tess,"Yeah? I keep questioning what happened, what's real."
Coulson,"That's real, and it's worth the cost."
Daisy,Okay. This trawler's almost ready. We should get to the rendezvous.
May,You okay flying them up to the human levels?
Tess,"I've been watching enough to manage on my own. I'll be back for Flint, anyone else coming up."
Coulson,Good. Now get out of here.
Tess,You were right. We can fight back.
Hek-Sel,The ambush cost us the last of our Inhumans. But there's nowhere to go. They will be caught. Trust me.
Kasius,"“Trust,” he says, over and again. Tye, the doctor, my royal guards, failures, all. - Even you, if I'm being honest."
Hek-Sel,"Sir. Sir, we need a plan."
Kasius,"Silence! Can't you see we're discussing one? I, too, have failed. Lost Inhumans. Lost you. The glory we sought evades us. But if I pledge myself, I could still give my father everything he desired, help elevate the Kasius family name. I know there's a path back to glory. A path back to you. My seer's knowledge has run dry, that, or she has misled us. Either way, it's time I used her to send one last message of my own."
Elena,Hello? I'm here to help. What's your name?
Elena,This is a trick.
Elena,This isn't real.
Elena,How? I...
Elena,How are you alive?
Elena,What? HHow? How many times?
Elena,No. This is wrong.
Elena,What happens to Mack? What happens?
Elena,You've been here this whole time?
Elena,The loop?
Elena,I... I don't believe that.
Elena,"Well, you can tell me how to stop it, right? How do we change it?"
Enoch,"Hello, again. They have located me. Repeat, they have located me."
Coulson,We copy. You sure they found you?
Enoch,The evidence is highly suggestive.
Coulson,We never should have left him alone.
May,We're here forever if he loses control of that machine.
Coulson,"Enoch, how long can you hold out?"
Enoch,I calculate 12 minutes.
Daisy,What? That is not enough time. That machine activates a Monolith we haven't even built yet.
May,We have to go secure the Zephyr.
Deke,Damn it. Really? We had to leave the machine in the hands of some automaton? I knew the moment that I laid eyes on all of you that it was gonna spell my downfall. I'll go. I'll secure the machine and save the weird robot.
Daisy,"Well, I'll come. It'd be better if we take the plane together."
Deke,"Yeah. No duh. But none of the time travelers can go, because you all need to be at the rendezvous when it's turned on, so do the math."
Coulson,You're one guy against the Kree. You'll be massively outgunned.
Deke,"I'm kind of trying to do the whole hero thing here, man. Is that your pep talk? You guys get killed, and who saves the world then? I told my parents not to believe in this roachcrap fairy tale, and they went and they died for it anyway. And I'm probably next in line. But there is no way in hell that I am gonna let some blue Kreeper destroy that machine before I get to see whether or not that damn thing was worth any of this."
Daisy,"Look, I'm sure you put up a good fight, but if my ride home depends on that machine, I'm gonna secure it myself."
Deke,"You... You drive me out of my skull, this part of you, this impetuous, bullheaded squabb..."
Daisy,"I was offering backup, genius."
Deke,"No, when the other side of you is a friggin' hero who can't help herself but do good, then be great. The world needs that person to make it home. Just try not to destroy it when you get there."
Daisy,It was almost nice knowing you.
Deke,And you're a pain in my ass.
Flint,I'm not sure I'm ready for this.
Simmons,Okay. Close your eyes and concentrate on the stone. Can you feel it?
Flint,Yes. And I can move it.
Simmons,"Not yet. So, every part of the universe, from the stars to this stone, are basically made from the same things. And you're in touch with its mineral composition. You can manipulate it, yeah? So now I want you to feel how this stone is different from others you've felt before, but its internal structure. Can you?"
Flint,I...I know it's a stone.
Simmons,"But inside, it's intricate, complex. You know, parts hardened by pressure, hollowed by loss."
Flint,"I feel gaps. Like, uh, like someone carved patterns at a micro level. It's beautiful."
Simmons,Yeah. That's right. He's good at this.
Mack,"Yeah. So are you. It's a composite, we think. Mostly limestone."
Flint,I can't generate rock.
Simmons,"Oh, no, that's okay. We know where to find plenty of limestone."
Mack,"Okay. But if it's a composite, what about the rest?"
Simmons,We have a plan for that.
Fitz,They're coming. We got to move.
Mack,Let's go!
Fitz,"Hey, how are you with confined spaces?"
Flint,I grew up in a tin can.
Fitz,"Okay, good. What about vast ones?"
Fitz,Hey.
Hek-Sel,Submit and avoid pain!
Fitz,"We got to run, now."
Mack,"Yeah, let's go."
Simmons,This was your way out?
Fitz,Can't fight them all. The rest need to be afraid to follow us.
Elena,"Whatever's coming, I'm not afraid to hear it. Tell me how to fight."
Elena,It's okay. Take it slow. Just tell me what you remember.
Elena,Mack?
Coulson,How we looking?
Daisy,"Almost done. All set. Express train to the bottom of the Lighthouse, no stops."
May,Right to the belly of the beast.
Coulson,"Daisy, can't waste time."
Daisy,I'm not coming.
Coulson,I know you're scared about going home.
Daisy,"No, I'm terrified. Look around. Billions of people gone. If there's a chance I'm the cause, I can't go."
May,We can get through this together. You don't even have your powers anymore.
Daisy,"It's only a matter of time, and you know it. If there's an emergency or if one of you are in danger, I will need them, and we will find a way. If I go through that portal, you know it's the beginning of the end."
Coulson,I don't.
Elena,We have to fight.
Coulson,We don't even know you did this.
Daisy,I was right in the epicenter.
Coulson,I won't let you sacrifice yourself because you're scared of what's to come.
Daisy,What's to come is the end of everything.
May,"If you can change the future here, you can change it from back home."
Daisy,But we know this solution works. We can stop this today.
Coulson,"No, it's not about today. It's about tomorrow. Even if we solve this problem, the world is never safe. The job goes on. We go on."
Elena,A choice to do what?
Elena,What do you mean?
Coulson,Please.
Daisy,"Maybe I don't go with you. You know it's the right move. Coulson, as an Agent of S.H.I.E.L.D., you trained me to fight. Now I'm making my stand, here."
Coulson,May trained you to fight. I need you to lead.
Elena,Coulson? How? How does he die?
Elena,"You heard all this, and still you couldn't change anything."
Elena,"Are you telling me to go back and change the world, or are you warning me that I can't?"
Elena,No. Not yet.
Elena,Not until you come with me!
Hek-Sel,"They have nowhere to run. We have their ship. Next, we secure all of the trawlers and squeeze the Terrans until they drop at our feet."
Simmons,Let's go. You okay?
Flint,"Well, that worked."
Enoch,My last experience will be a new one.
Deke,"Where has this been all my life, right?"
Enoch,"Level three, hidden in a wall cavity."
Deke,"Yeah, now you tell me. Well, that's not good. What's it gonna take to fix you up?"
Enoch,"I think, at this point, our efforts would be best spent repairing that."
Mack,You got this. Just concentrate.
Fitz,He's a bright kid. Sorry I killed the guards in front of him.
