character,line
Ruby,Sure. Why wait for me to answer your knock when you can just walk right on in?
Hale,"And why put your phone down when you can just be a brainless, drooling moron?"
Ruby,I always look forward to our chats.
Hale,"Ears, please. They're saying you skipped class yesterday."
Ruby,I wasn't in the mood.
Hale,"Oh, Ruby. I expect better from you, okay? This behavior's not acceptable."
Ruby,"Well, you're always telling me to stay true to myself, so what if I said my true self couldn't care less?"
Hale,"Then I'd say get your ass to class. Otherwise, you're gonna lose your damn screen time."
Ruby,"Sorry, Mom."
Hale,"How about I bring us some breakfast, huh? We haven't done that in a long time."
Ruby,"No, thanks, but if I do turn 11 again, you got it. Hey, Mom. Are you a good guy?"
Hale,Where'd that come from?
Ruby,"Well, you're off to a strategy meeting, right? How to stop S.H.IE.L.D.? But up until recently, everyone rooted for them and thought that they were the good guys, so are you sure that you're not a bad guy?"
Hale,You're obsessed with Daisy Johnson. Quake. My orders are to capture her.
Ruby,Not kill?
Hale,"Ruby, this is my assignment, okay? And in the adult realm, we all have to answer to someone. Even me. I do what I must..."
Ruby,What I must to build a better world for the downtrodden citizens.
Hale,"For you, Ruby. I do this for you, okay? So try to remember that. When they resurface, I'll put an end to all of this. This entire S.H.I.E.L.D. chapter will be over."
Fitz,"Ah. Well, that was a hell of a thing."
Coulson,I'm so glad you guys made it.
Elena,Why are we still in the Lighthouse?
Mack,Maybe Flint's Monolith didn't work.
May,"So we find them, try again."
Fitz,"No, it worked. It takes you through time, but to the same place. I've been here before with Enoch. We made it."
Simmons,We're home?
Fitz,Yeah.
Simmons,"Oh, we're home."
Fitz,I'm gonna try and find some light.
May,It's hard to believe we're back.
Mack,"Find me a double cheeseburger, I'll believe it."
Stoner,"Welcome to the Lighthouse, the world's last bastion against the encroaching darkness. If you're here, you understand the gravity of the situation. The world as we know it has come to an end. My name is General Rick Stoner."
Coulson,Rick Stoner? I've heard of him.
Stoner,"As you know, certain world events, should they occur, trigger what we in S.H.I.E.L.D. call Project Reclamation. This protocol was created as a black-ops action made only known to the highest-ranking S.H.I.E.L.D. operatives. Once initiated, Project Reclamation is conducted through secure communications we call electronic mail. Our Agents were instructed to gather you, the selected elite, from a host of nations and bring you here..."
Coulson,Must have never been initiated. The 1972 Hydrogen Wave Crisis was averted.
Fitz,"And, what, people just forgot about this place?"
Coulson,"There's nothing in Fury's toolbox about it. Mack, those injuries need to be treated."
Mack,I'm fine.
Simmons,I'll decide that.
Elena,"So will I. Well, I'll be there while she decides."
Simmons,Let's find a medical station.
Elena,"Maybe have Simmons look at you, too, Coulson. That's a bad cut."
Coulson,We can worry about it later.
Simmons,"Actually, I wouldn't mind checking everyone out. We did just experience an unexplored phenomenon."
Coulson,"Worry about it later. You look after Mack. I'll stay here with Daisy. When she wakes up, she'll have questions."
May,"When she wakes up, she's gonna want to kill you."
Stoner,"I see you've all brought belongings. Let's place the non-essentials in the basement storage facility. There, you will also find the latest state-of-the-art technology that S.H.I.E.L.D. can offer."
Coulson,"Good. We need communications. May, why don't you take the tour?"
May,Got it. Follow me. This way.
Stoner,"See? Here I am, over here."
May,"Fitz, you're with me."
Daisy,You ICE'd me.
Coulson,"Yeah, I was kind of hoping you'd forget that part."
Daisy,"Sorry to disappoint. It looks the same, but we're... we're home, aren't we?"
Coulson,"Did you really think after everything we've been through, you and me, that there was any universe in which I left you behind?"
Daisy,Even with all of the risks that...
Coulson,Don't care. I need you here.
Stoner,This S.H.I.E.L.D. technology should make you think the 1980s got here a bit early.
Fitz,Okay. Not really a “dream come true” scenario. There's stuff here we can use with some adjustments.
Stoner,"Now, don't stand there gawking. Please follow me into the next room to deposit your valuables in the provided lock boxes. And you in the back, try to keep up."
Fitz,What is it? Oh. That's quite unsettling.
May,Where did they come from? Unknown.
Noah,Ah. Perhaps I should not have startled you. Hello. I'm Noah. I'm a sentient Chronicom from a planet which revolves around a star in the constellation...
Fitz,Cygnus.
May,Got it.
Fitz,You're a Chronicom?
Noah,I am.
Fitz,Did you know Enoch?
Noah,"I did. He is the one who alerted me to the presence of this place. I'm glad to see you made your return journey safely, Agent Fitz."
May,Why are you here? Why are they here?
Noah,"This bunker was built with extensive fallout shielding. Ergo, a secure place to store unsafe items."
