character,line
Van Kempen,"Have you heard of Thorazine, Alex? I only mentioned it because that's what they're proposing for you, a high dose, much more aggressive treatment than what you're taking in the mornings now. I'm the one holding them back, because I feel for you. I don't think that you are a violent person. A few outbursts don't define you. But you need to open up about the trauma that led you here, starting with your father's abuse, and then torture at the hands of Mr. Ward, and S.H.I.E.L.D."
Von Strucker,I remember everything.
Van Kempen,"That's a start. But we need to drill down on how that makes you feel, show them some improvement so they don't drug you to the point where thoughts are hard to come by, okay? So, we can start anywhere."
Von Strucker,April.
Van Kempen,Okay. What happened in April?
Von Strucker,"April, your daughter. Just turned 3."
Van Kempen,I never spoke about...
Von Strucker,"Six weeks ago, during our Tuesday session, it was raining. You always prop the window open with a pen. Your wife called, and you answered after one ring. Tight leash, huh? You stepped outside to talk, but the door's not as thick as you think. April had a fever, 103.2. All those kids at the parties, a lot of germs. You said you'd be home early. 513 Elm Drive, right?"
Van Kempen,You know where I live?
Von Strucker,"You should really be more careful. You never know what someone might do with that information. I told you, I remember everything. I'd like that Thorazine now, please."
Simmons,"Everything is stabilizing, back in normal range. Bit of good news. How's the pain?"
Elena,Nothing I can't handle. Thank you.
Mack,"Well, how's this? You okay?"
Elena,It's fine.
Mack,"Good. Okay. Well you need to stay warm. Uh, can I get you anything to eat?"
Elena,"Mack, enough. Seriously, if I had arms, I would strangle you right now."
Coulson,How's the patient?
Mack,Cranky.
Simmons,How are you feeling?
Coulson,"The same way I was feeling before you knew anything was wrong with me. Thank you for asking, but, please, stop asking. Fitz is gonna do the best prosthetics work he's ever done for you, but it may take some time. We don't have the materials he needs here, but we're gonna find a way to get them. In the meantime, I need you to focus on resting and healing."
Elena,Sitting still isn't my strong suit.
Coulson,"I know, but he'll make it worth the wait. See? People can't even tell the difference. And, honestly, this one's way more fun. He's always adding..."
Elena,Does it feel the same?
Coulson,"Actually, no. It doesn't feel at all, but you get used to it."
Elena,How are you gonna feel about dating someone with robo parts.
Mack,Those aren't the parts that matter.
Simmons,Mack!
Mack,"What? Oh, no, come on. That's not what I meant. What I meant was that the thing I hate about robots is that they have no heart, no soul, those are the parts that matter."
Elena,Nice save. And sweet. Okay. You can be annoying again.
Simmons,"Well, it's my turn now. Time to break up this party. You need rest."
Elena,I need a beer.
Mack,"I'll see what I can do about that. In the meantime, you listen to the doc, all right?"
Mack,We need to get out of here and get Fitz what he needs to fix her.
Coulson,"I know, Mack, but it's one of many pressing concerns."
Fitz,I was just coming to see you.
Coulson,Tidings of comfort and joy?
Fitz,"Warnings of doom and gloom. The, uh, the Gravitonium device that we used to seal the rift is barely strong enough. It's duct tape on the Hoover Dam. It's not gonna hold."
Coulson,How much time before the dam starts leaking?
Fitz,"Well, uh, it's hard to calculate that precisely, but, based on the increased frequency of transit, electromagnetic waves, I'd say that our days were numbered. Sorry. That was insensitive."
Coulson,"No, it wasn't. It's part of life. We're all gonna die. Right now, we need to make sure it doesn't happen to the entire planet all at once."
Mack,"So, we need more Gravitonium to seal the rift for good, right?"
Fitz,"Yeah, but that's something we haven't seen on this side of the future in a long time. Sir, I really think that we should have everybody on this."
Coulson,Me too.
Mack,Let's not forget about Yo-Yo. She can't help until we help her.
Coulson,Daisy's hoping we can tackle both problems with one solution.
Daisy,"Cybertek. The last time anyone saw Gravitonium in this time line was at Cybertek's lab, which happens to be the same company that built Deathlok's leg."
Mack,Now we're talking.
May,Cybertek was dissolved. Quinn's vanished. Raina's dead. Gravitonium is still M.I.A.
Daisy,"Yeah, but we found the names of the scientists who worked under Ian Quinn, so..."
Deke,Who's Ian Quinn?
Fitz,"Rich guy, bad guy. What are you doing here?"
Deke,"Oh, I'm not part of the club? I'm sorry. I'll just go get my things, and I'll go grab a cheeseburger."
Coulson,"Have a seat, Deke. I invited him. He's seen more Gravitonium than any of us. He may have some insight that we don't."
Daisy,"Okay. So, this is Quinn's Gravitonium guy, Dr. Joseph Getty."
Coulson,Also dead. We chased that lead.
Daisy,"Right, but here's where it gets interesting. All of Cybertek's scientists are now dead, within the past two years, and all of their death certificates were signed by one man, Murray Jacobson."
Fitz,"What? So, you think it's a cover. They're still alive?"
Daisy,"Yeah, it smells like it, but this photo's all I could find on him."
May,You ran facial recognition?
Daisy,"I did, and I found his mug associated with multiple aliases, the most recent being Lewis Casalino, a real-estate agent in Baton Rouge."
Coulson,We need to talk to him.
May,"So, we're going outside?"
Deke,"Yeah, they're kind of sparing no expense looking for you guys."
Coulson,"We'll leave under cover of night. It's a risk we have to take. If he can help us find Dr. Getty, we may get a lead on Gravitonium."
Daisy,Yeah. I'm going with you.
May,Thought you grounded yourself.
Daisy,"Yeah, I can't really destroy the world without my powers, so..."
Coulson,I can take care of myself.
Daisy,I know. I just want some fresh air.
Deke,"Right. Well, fresh air for all of us."
Coulson,"Have a seat, Deke."
Deke,Okay.
Coulson,I need you to stay here. See if you can help Fitz.
Fitz,What? N-No. Come on. I'm... I'm not a babysitter.
Deke,"Do you have any idea how high my I.Q. is? Actually, neither do I. Nobody actually cared about that in the future. Intelligence was measured by how long you could survive."
Daisy,Then be smart and stay here.
