character,line
Fitz,I want Hobnobs.
Simmons,I can search the stock for biscuits.
Fitz,"No. No. I want the real thing. I want proper British junk food. I want Maltesers, and I want Twiglets!"
Simmons,Remember when care packages were the only way you could get through cramming at the Academy?
Fitz,"Yep, but those were problems we could actually solve. The Gravitonium needs to be compressed to work with this. I've no idea how to do that. I don't know how... Why'd it have to be a fear dimension coming to life? Why couldn't it be dreams or wishes?"
Simmons,What would your wish be?
Fitz,An extra day between Saturday and Sunday. You?
Simmons,Speak any language. Or a honeymoon.
Fitz,"Uh, uh, can you grab me the crimpers?"
Simmons,"Yeah. Now, if we had more than one wish, flying wouldn't be bad. Or a pony. Or a flying pony."
Fitz,Jemma!
Mack,"Good. It's good, but don't push yourself."
Elena,"If I'm not pushing myself, then what's the point of this test? Crank it up. Let's see what I can do."
Mack,"Right now, you're at 10 percent feedback to your nerves. If just this level's causing you that much pain, then maybe you should... Okay. I think that's enough for today. This arm is just a prototype. Fitz and I only had so much to work with from the salvaged clangers we brought back, but we'll figure something out. In the meantime, I'll get these diagnostics to Fitz, and then, uh, maybe we could add some additional..."
Elena,"I don't need any bells and whistles, Mack. I just need to be able to punch things."
Mack,Your arms aren't fully healed yet. What you need is time.
Elena,"My arms may not work, but my eyes do. At least let me sit in Control, keep an eye out for anomalies."
Mack,"Maybe, but you have to allow yourself to heal. We'll handle the fighting for now. We've already got an op up and running to find the people who did this to you. We'll protect you, mi amor, even if it's from yourself. That's what family does."
Fitz,The Gravitonium from Deke's gravity gizmo was intensely compressed. Refined in a way that I cannot duplicate with the raw element we got from the Principia.
Simmons,Let alone inserting it into this new device.
Fitz,So I was hoping that... that Deke might be able to have some more insight into exactly how it works. Deke? Deke!
Deke,"Okay. Well, I don't know much about the stuff inside. I just know that it's saved... saved my ass like a thousand times."
Daisy,"Okay, well, the short amount of time that we bought ourselves is up. So, what's the plan?"
Fitz,"Well, I've temporarily plugged the dam, but it could burst at any minute, releasing more of these anomalies into the base."
Simmons,"Or worse, out into the world."
Daisy,"Are you okay, by the way? That could not have been easy."
Simmons,I'm fine. The astronaut isn't even my greatest fear. Goodness knows what else could come crawling out of there.
Fitz,Just trust me. I can figure this out. I just... I need... I'll experiment all night if I have to.
Daisy,"Okay. So, what do we do?"
Fitz,Maybe I can find some of Dr. Franklin Hall's original notes.
Simmons,"Yeah, that could give us some insight into the nature of the element."
Daisy,I'll see what I can find on the database.
Deke,"And please be careful! Just because we keep putting ourselves in increasingly perilous situations, which is worrisome, and I just don't want anything to happen to you. Your... To your brains. ‘Cause they're so smart that, if... we... we need those to survive."
Simmons,"Thanks, Deke. Come on."
Deke,"They're okay, right? Like, they're gon... Like, they're gonna be... they're gonna be fine?"
