character,line
Hale,I see they've shown you to your new accommodations.
Coulson,"Of all the blindfolds I've forcibly worn, that was one of the nicest."
Hale,There's a method to this madness. All of your questions will be answered in the morning.
Coulson,"Not my first rodeo, so I may have already figured out a little bit of what's going on here. You got the gravitonium and the total disregard for human safety. Check. You've got Ivan Drago and Crusher Creel on the payroll. Check. And then, there's you, rogue general operating with zero oversight. Add it all up, just doesn't feel like an Air Force operation."
Hale,It's not. It's HYDRA.
Coulson,I thought we stomped you out.
Hale,"Yes. Just as you were stomped out. And yet, here we are in the same room. I'd like to tell you my story, and then, I think you'll know it's time."
Coulson,Time for what?
Hale,It's time for S.H.I.E.L.D. and HYDRA to finally unite.
Man,Good morning. Rise and seize the future.
Hale,One more day. Are you excited?
Sitwell,Excited to be done with these lectures. I can't stand another one of these old dudes droning on about placement.
Hale,"Well, at least today's guest speaker is cool. You know, I heard that he once used alien DNA to actually reverse the body's aging process... Oh, shut up, Sitwell. You're just jealous."
Sitwell,Of you being a teacher's pet? They've got you better trained than any of our mutts.
Hale,You're jealous because I am going places while you will be stuck in middle management.
Steger,"Calm down, take a seat. I know everyone is excited about graduation tomorrow. As a reminder, there will be a final examination tonight. And now, here to speak to you about another post-grad opportunity, please welcome, Daniel Whitehall."
Whitehall,"Good morning. It's an honour to speak with you, the future of our organisation. Tomorrow, you will leave these halls and venture out into society. And though you may be behind the scenes, there are many ways that you can help HYDRA dismantle the oppressive state. Since World War II, and the success of Steve Rogers, there have been many failed attempts to create a super soldier. But after some ungainly setbacks, we're close. Close to creating the most powerful man on Earth. Now, this is the Particle Infusion Chamber, an apparatus that can force human cells to take on the properties of a raw material. Imagine, a man with the density of lead, with the volatility of cesium and the possibilities are endless. Can someone name another substance suitable for infusion? Yes, Mr Von Strucker."
Von Strucker,Why not use Red Skull's Tesseract? It's greatest power source we've ever had.
Whitehall,Intriguing. Looking to our past for inspiration...
Hale,"Well, that's a waste of time. There's no way that we could take it from S.H.I.E.L.D. unnoticed, we would blow our cover."
Whitehall,"Well, I suppose you have a better substance in mind?"
Hale,"We're not gonna find it by digging up our history. Instead, we should look to where the Tesseract came from, to find new materials."
Whitehall,Meaning?
Hale,Outer space.
Whitehall,Finally! Some forward thinking.
Hale,Hey. You're going to S.H.I.E.L.D. Admin division. Isn't that what you wanted? You okay? That test was tough for everyone.
Sitwell,I'm fine. You hear about your placement yet?
Hale,Nothing. Getting anxious.
Sitwell,"Well, I would be too. Especially if I picked a fight with Strucker."
Hale,You know that he put those two up to that.
Sitwell,"Doesn't matter. You punched the future leader of Hydra in the face. You screwed your chances of getting a good placement, genius."
Hale,Uh...
Steger,Miss Hale. Daniel Whitehall would like a word with you.
Whitehall,You've made quite the impression lately. It seems you're one of the few females to make it to commencement.
Hale,It's a tough school.
Whitehall,"And you completed your final test? Well done. It's a rite of passage. We must eliminate any weakness, no matter how difficult. I imagine it wasn't easy to sleep last night."
Hale,Not with all the boys sobbing through the walls.
Whitehall,"Leadership expected nothing less. In fact, we're confident we see the future of Hydra in you. That's why I've selected you for my program."
Hale,"Sir, I'm honoured. Um, I've dreamed of working with you and I... I really think that the chamber can revolution..."
Whitehall,"No, no. Von Strucker will be working on the chamber."
Hale,Is... is this because he and I got into a fight?
Whitehall,"In a sense, yes. We were actually impressed by your strength, your mettle. We think that you will be essential in engineering the perfect human specimen for the chamber."
