character,line
Coulson,"General Hale. I know you're bummed the whole team-up thing isn't gonna happen. But it still seems kind of petty, taking away my cot, my chair and my Cap'n Crunch. That last one really hurt. And you're gonna destroy the Earth, so..."
Hale,"I told you we'd get Coulson. And he'll pay for General Talbot after he's turned over his Inhumans. But for now, I know you enjoy it, the feel of a new material."
Creel,"I've been looking forward to this one. The question is, what do you want me to do with it?"
Hale,"Whitehall, Strucker, even Talbot, they all wanted your compliance. I'm offering transformation."
Creel,Into what?
Hale,A hero. Show us what you can do.
Ruby,Why hand him this? Talbot already gave up the location of the chamber.
Hale,"Yes, and we're waiting for Strucker to show us how to put it together. His father never made it easy for someone to steal his work."
Ruby,But Creel...
Hale,"Creel will give us answers. No one understood Gravitonium except for Ian Quinn, and he's been in hiding for years."
Ruby,But if Creel touches it...
Hale,"Yes, he'll help us understand what we're dealing with here."
Ruby,Before you give it to me.
Hale,I don't want to infuse your cells with something we know nothing about.
Ruby,"So then why not talk to Coulson about it? He has experience with it. And I think after two days in isolation, maybe an olive branch..."
Hale,"We've done the olive branch. We stick the screws to him now. A week without sleep and food, we'll see what he has to say. Let's begin."
Creel,Hey! Get me out! Aah! Aah! Hey! Get me out of here! Stop! Aah! Aah!
Hale,What happened? What did you feel?
Creel,It's alive.
Mack,"Mm. Hey, Simmons was right. She said you might become stronger than before, but you're murdering that heavy bag."
Elena,Yeah. Feels good to not be laying on a bed for once.
Mack,"Yeah, well, maybe... maybe don't push too hard, though. We just put those things on you."
Elena,I'm fine. I'm just getting used to them.
Mack,"Mm-hmm. Look, I know you like to do things fast, but you don't know your strength yet. So maybe a little caution couldn't hurt for a change."
Elena,I know that speech by heart.
Mack,"Well, you're the one talking about how you're indestructible and saying you can't die. How was I supposed to take that?"
Elena,"I guess it was just, uh, the pain medication talking."
Mack,"Yeah. Well, you can at least hydrate. Okay, Pacquiao? And later on, I can run a diagnostic on those arms. What? Don't look at me like that. What, I'm not babying you. I'm a mechanic. A well-oiled machine needs oil."
Elena,"Okay, yeah."
Fitz,I don't see it. None of you looks like me.
Deke,"Well, I don't know what to tell you, Grandpappy. I guess your daughter found a real man."
Fitz,Of all people. Why couldn't it be Flint? I liked Flint.
Deke,"Well, that's a lovely sentiment. That's almost as loving as when you had a robot point a gun to my head."
Fitz,I didn't want to hurt anybody.
Deke,"It's fine. It's the first move you made that actually made me respect you a little bit. It's my kind of move. And this place, 80 years from now, I'd survived on moves like that. ‘Cause it was kill or be killed. I know Johnson's still mad at me about the whole “selling her into slavery” thing, but you got to play the long game, or else the whole world is gonna be a vacancy, right?"
Fitz,Maybe.
Deke,"And you say you don't see the resemblance? Okay. Well, quality time was fun, but I'm late. I don't know if you noticed, but ever since she's been in charge, Daisy's kind of a hard-ass."
Fitz,I noticed.
Simmons,Can I pick your brain for a minute?
Deke,That's a weird saying.
Simmons,I was hoping you could tell me more about our future.
Deke,"I mean, you saw it. It sucked."
Simmons,"No, I mean Fitz and me. Do you recall any evidence of major injury, any noticeable scarring, perhaps?"
Deke,I don't remember you guys at all. I didn't even know your real names. Everyone in S.H.I.E.L.D. changed them when they were getting hunted down. I just knew you as Nana and Bobo. But you guys made it to the Lighthouse.
Simmons,Good to hear.
Deke,"Mom talked about you a lot but never mentioned any health stuff. I'm pretty sure you were tiptop. You remind me of her. If you want, I could tell you stories about what you..."
Simmons,I think it's best not to know too much. It's enough to know Fitz and I live long enough to create her.
Deke,"Yeah, well, you certainly will, as long as you guys... you know... Uh, but anyway, I-I don't know how much longer I'm gonna make it if I don't get a move on, because I don't know if you noticed, but ever since she's been in charge, Daisy has really just become a hard-ass."
Simmons,I noticed.
May,You sure about this?
Daisy,"I understand the risk of taking her out of hiding, but Robin is our best shot at finding Coulson. I have to talk to her. And look, I... I get that you're afraid to see her again, but she's the most powerful tool we have."
May,She's just a kid.
Deke,"Sorry I'm... I'm late. I was just... just getting all my gear together, but I'm ready to go. Geared up. Mission-ready. I'll just go ahead and get to the command center."
May,Was he late?
Daisy,I have no idea. What's up?
Simmons,I was hoping to have another word with you about Fitz.
Daisy,"We can't have that conversation again, Simmons."
Simmons,"Yes, well, Robin may have answers, but she may not, whereas Fitz has a concrete lead on a HYDRA weapon. We get to that first, we get to Hale. That could lead to Coulson and..."
Daisy,"Fitz is sick. You should be worried about that. Look, you can compile his intel, and we will review it when we get back. But right now, Zephyr One is leaving. And, Simmons, Mack is in charge when I'm gone, and he's under strict orders Fitz stays locked up. Understood?"
Simmons,I understand what you're saying.
Daisy,Good.
May,You might want to dial it back.
Daisy,I think she's wrong.
May,"You made that perfectly clear. But you're leading us now, and it's new to everyone, not just you."
Daisy,I'm just leading us to Coulson. Then he can have his job back.
Simmons,Daisy won't listen. I think it's time we try a new approach.
Elena,To what? Why'd you drag me here?
Simmons,"Because I've realized we have to think differently. Fitz started to, and he's paying for it. But you can't deny it worked. And you. Mack said you believe you can't die."
Elena,"I know it sounds crazy, Jemma..."
Simmons,I don't think it's crazy. I believe it's true.
Elena,I'm glad someone understands.
Simmons,I don't just mean you.
Elena,You guys didn't see yourselves in the future.
Simmons,No. Deke is our proof. His mother was our daughter.
Elena,Deke?
Simmons,Is our grandson.
Elena,Wow. I'm sorry.
Fitz,Thank you.
Simmons,"No, no, it's really quite sweet."
Elena,"Well, it makes as much sense as anything else. So we're the invincible three, huh? Now what?"
Simmons,"Daisy's taking a long shot to find where Hale is keeping Coulson, but we have something concrete that can get us one step ahead of her."
Elena,That sounds good.
Fitz,"Hale may be after a weapon powered by Gravitonium, probably in a location that Malick turned over to S.H.I.E.L.D."
Elena,That sounds bad. I'm in. So we go to these places and knock down doors? I can knock down doors now.
Fitz,I can't go anywhere.
Simmons,"Fitz, I know you feel like you're battling something inside you, but I trust you. Do you trust me?"
Fitz,Yeah. Why?
Simmons,Because I'm going to get you out. And we're going to go after this thing.
Elena,"Wait, wait, wait, wait, wait. Wait. We have a problem. Mack, he's the only one that can open Fitz's cell now. He won't want to, Jemma. He'll stop us."
Simmons,No. He'll try.
Hall,"It's far too powerful for you, for him."
Hale,Mr. Creel. How are you feeling?
Creel,"It won't leave my head. Whatever's in there, I can't control it."
Hale,I think this is more about what's happening inside you.
Creel,What are you talking about?
Hale,"You and I are a creation of the old HYDRA. That was destroyed. When the thing we identify with most falls apart, we lose our footing. We don't know what our next step is."
Creel,I didn't choose to be created by them.
Hale,But you get to choose now.
Creel,That's not what this feels like. That's what you want.
Hale,We're going to conduct another test soon. Whether you take that next step is up to you.
Davis,"Watch your heads. Just try to get comfortable, and we'll take off in a few minutes."
Polly,It's nice to see Mr. Fitz got you all back.
Daisy,"It's good to see you guys, too. I-I'm... I'm sorry to take you out of hiding. I wouldn't have done it if it wasn't really important. Hi, Robin."
Polly,"Let's get you into a seat, honey. She hasn't been doing well for a couple weeks. She isn't speaking to me. She isn't drawing pictures. I don't know what she's seeing. Whatever it is, it's overwhelming her."
Daisy,I understand that feeling. Maybe I can find out what's on her mind.
Von Strucker,"Good. Uh, take these to be translated. I don't speak German. Is something wrong?"
