character,line
Talbot,"Complete the mission, soldier. Eyes on the prize. Be prepared. Nobody has to get hurt. Get in, get out. Complete the mission."
Mack,"Hey, Talbot."
Talbot,Hey.
Mack,You looking for something?
Talbot,"Unh-unh. I'm just like a ticking time bomb over here, huh? Sorry. Just I've been in a cell for six months. I'm just a little pent-up. Can't sit still."
Mack,I can imagine. I wish we got you out sooner.
Talbot,"Me too, son. Me too."
Mack,"Hey, listen, if you ever want to talk about it or anything else..."
Talbot,"I can't. No, I can't do that. But, uh, but thanks. You know, just trying to focus on one task at a time."
Mack,"Right. Mm-hmm. Yeah, well, rest up. Doctor's orders."
Talbot,Yeah. You got it. Happy to comply.
Fitz,Stop!
Ruby,"Aww. But I'm enjoying myself. I don't really get out much, and it does seem to keep you motivated."
Fitz,"Okay. Let her go. You want this machine fixed, I need her help. Please. I'm engineering. She's biotech. We're a team."
Fitz,Hey. You okay?
Simmons,"Yeah, I'm fine."
Fitz,You sure?
Simmons,"I'm all right, Fitz."
Fitz,Okay.
Ruby,Aww. You two are adorable. I ship it. I really do.
Simmons,Do you have any idea of the consequences of what you're trying to do? We've seen where this leads.
Ruby,Your little trip to the future? Coulson filled me in.
Simmons,"Then you'll know that you destroy everything, the entire planet."
Ruby,"See, I thought your pal Daisy did all of that. You people really need to get your stories straight."
Fitz,Everyone that you care about will die.
Ruby,Not a long list.
Von Strucker,"And it's getting shorter. Found Anton, what's left of him. He took a header out a window."
Ruby,Then someone else must be here.
Von Strucker,Not for long. I activated our copter's signal jammer and set the fallen mechs to seek and destroy.
Ruby,You know how to reprogram them?
Von Strucker,I took one apart once. It's a basic protocol but effective. They'll hunt down and kill anyone they find.
Ruby,Show me.
Fitz,You realize that we have a choice to make.
Simmons,"Yeah. Our hypothesis is being proven. We die, we break the loop. We don't fix this, we stop them."
Fitz,"They'll kill us. I can't choose anything over you, not even..."
Simmons,I feel the same way. So...
Fitz,"So we keep working, piece by piece. There's a lot to do."
Simmons,Yeah. Very complicated. It will take a while.
Ruby,"Hey! Pick up the pace, or I start removing body parts. Like I did to your friend."
May,You're late.
Coulson,Hold up. Please. We didn't have a chance to finish our conversation.
May,I said what I had to say.
Coulson,Melinda...
May,"We have a mission, Phil."
Coulson,"Good talk, Phil. Good talk."
Daisy,"Okay. The mechs went into a system reset and sent a distress signal out. We traced it to a location in the Appalachian Mountains, and after some satellite imaging, we can confirm that this is Hale's base."
May,"It's a decommissioned military bunker, which means it's highly secure and way off the grid."
Daisy,"We need to hit them hard and fast, knock out their defenses before they even know we're there."
Deke,"Lighthouse rules. Club ‘em from behind, you don't stop swingin' till they stay down. What?"
Mack,You wearing body spray?
Daisy,"May and I go in, we get the Gravitonium, get the queen off the board."
Coulson,Checkmate. When do we leave?
May,You're not coming.
Coulson,I'm not?
Daisy,"We just got you back, and I need you to stay here and quarterback. Mack, find Fitz's schematics and start building the artificial-gravity system for Zephyr One."
Mack,"Oh, please don't tell me we're going back to space."
Daisy,Not until we have to.
Deke,"And me... ah, uh... you need me to, uh, back you up, or...?"
