character,line
Talbot,Four-three point nine. Four-six-two dash seven-six point one-one-nine-one. Four-three point nine-four-six-two dash seven-six point one-one-nine-one. Four-three point nine-four-six-two dash seven-six point one-one-nine-one. Four-three point nine-four-six-two dash seven-six point one-one-nine-one. Four-three point nine-four-six-two...
Coulson,"Once Zephyr One breaks through the upper atmosphere, we can slingshot the gravitonium at high velocity into the Sun, destroying it for good. As anxious as we are to contain an element that may cause the future destruction of the planet, we have to get Zephyr ready for space travel first."
Kim,“Future destruction?”
Piper,It's complicated. Just go with it.
Coulson,"So, how close are we?"
Fitz,"On the Zephyr, RCS thrusters are operational on the gravitonium."
Simmons,We're nearly finished extracting residual traces from the machine which seems to have refined the element in some way.
Deke,"It should be enough to power the pseudo-gravity engine. So, in other words, we're close. I've kind of been consulting, so..."
May,"Meanwhile, Carl Creel still needs medical help. And I think we should get Robin and Polly somewhere safe, too. After General Talbot..."
Piper,He's not going anywhere.
May,"I know, but I've been talking to Tony Caine."
Mack,"What, my Tony? The Candyman?"
May,"He's arranged for Creel's treatment, and he says he could take care of Robin and Polly for now."
Coulson,Great. Do it. Maybe Davis can...
Daisy,I'll take him. It's the least I can do after dragging them out of hiding. Unless there's some objection.
Fitz,"No. They'll be safer, not here."
Coulson,"Well, make it quick. General Hale's MIA, and I doubt she took an early retirement."
Mack,"Wait, explain to me how she got away. Didn't you have them contained?"
Daisy,"Yeah, we did."
Elena,That girl was a ticking bomb.
Daisy,And she went off when you cut her throat. A gravity surge knocked everyone back and disrupted our equipment.
May,She slipped away.
Elena,I was afraid you'd have to quake Ruby and crack the Earth.
Daisy,"That shouldn't even be an issue, speaking of cutthroat."
Coulson,"All right, let's keep it productive."
Simmons,There would already be a crack in the universe if you hadn't.
Elena,"Look, I did what I did. I'm not proud, but it was the right choice."
Daisy,"It was revenge. You let your emotions get the best of you. Ruby should be locked up, and she's not the only one."
Elena,All I did was kill the person called the Destroyer of Worlds.
Deke,That's what Daisy was called. We're lucky you didn't cut her throat.
Daisy,"Just stop, Deke. The point is, you don't make that decision."
Elena,Then who does? You? We all have blood on our hands. Why am I being singled out?
Mack,That's not what we do here. This is S.H.I.E.L.D. We protect.
Elena,She was a psychopath. Ask Fitz.
Simmons,"Yeah, just look at his cracked rib. If you'd have seen what she was like..."
Mack,I didn't get a chance. I was too busy screaming to be let out of a cell.
Daisy,Fitz shouldn't have even been there.
Simmons,We delayed their plan!
Fitz,"If we hadn't gone, Ruby would be free."
Elena,"But this isn't about the decision, is it? This is about not following your orders."
Daisy,It's about both.
Elena,"Well, we didn't pick you. Coulson made that decision and brought you back when he could have broken that loop right there!"
Coulson,"All right, stop it. Yes, I made that decision, and I'll be making the rest today. It's over. Go do your jobs."
Kim,"So, is this normal?"
Davis,A weird mission? Yeah. The fighting? That's new.
Daisy,Here to ask me if I'm okay?
May,Not if I don't have to.
Daisy,Good. Then tell me what the Candyman's got.
May,"Thinks he found something connected to the Deathlok program. Garrett. Could be a stretch, but..."
Daisy,It could keep Coulson alive.
May,Whether he likes it or not.
Daisy,"So, Creel's been put on board?"
May,"And he's on an IV drip, so he's not a danger to anyone. Once you have him, Robin, and her mum set up. Go dark. I'll cover for you here."
Daisy,Okay. Thank you for being sane.
May,Robin said someday Coulson would put all the pieces together. That has to mean something.
Deke,But not according to the multiverse theory.
Fitz,"Hmm, I'm not sure you actually know what “multiverse” means."
Deke,"That every choice we make spins out a different timeline into the cosmos, and right now, there are infinite parallel universes. But I am proof that you can move between them."
Fitz,"Or you have proof that we are in one timeline, in a loop. An infinite, intractable, unchangeable loop."
Simmons,"But if we succeed in ridding the planet of gravitonium, then we break that loop and prevent the Earth's destruction."
Deke,"Which is great, because that definitely won't affect me at all. Look, it's not like I'm just gonna blink out of existence. I lived in one timeline, but now I live in this new one, and I think I'm gonna stay in the one with the Sun and tacos and all that, ‘cause that's the multiverse. That's science."
Fitz,Or you're a canary in a coal mine.
Deke,I don't know what either of those things are.
Fitz,We won't know if we're successful at changing the future unless you blink out of existence.
Simmons,Fitz.
Fitz,Jemma agrees. She actually wrote a paper on the theory of...
Simmons,"Nobody knows how it works. Now, be careful. This substance is extremely unpredictable."
Fitz,"Just make sure that gets to the Zephyr in one... No, okay. You know what? I think I might take that myself..."
Deke,"Oh, quit it! I carried this stuff around on my belt for years, okay? And didn't you guys make a pledge never to leave each other's side? You have to do that. You have to keep that pledge for the, you know, the good of humanity."
Fitz,"Your humanity, you mean."
Simmons,"I appreciate how invested you are in our future, but for now, let's worry about the future of the planet."
Talbot,Four-three point nine-four-six-two dash seven-six point one-one-nine-one. Coulson! Coulson! Coulson! Coulson! Four-three point nine-four-six-two dash seven-six point one-one-nine-one.
Thomas,He's been yelling for you.
Talbot,I can fix this.
Coulson,Wait by the door.
Talbot,"Four-three... Four-three point nine-four-six-two... Phil. It's like a record that just keeps skipping in my head, the numbers. I was with Robin."
Coulson,Okay. Calm down.
Talbot,But I was at the control box. Why? What was I doing there?
Coulson,Trying to get the doors open?
Talbot,"I'm Air Force, Phil. I know enough about navigational aids to know that every hangar has a landing assist. I had to comply."
