character,line
Enoch,"Apologies, Agent Fitz. We find ourselves in a bit of a conundrum. I was prepared to guard this vessel for the next years, days. But I now must calculate your best chances of survival. ♪♪ An extremely... difficult computation. Considering the circumstance."
Davis,Piper? Talk to me! Are they still on our tail? Piper!
Piper,"Yeah, I hear you, Davis! Give me a second, breathe! I'm trying to cool the drive lines. Look, I ran a multi-spec scan, 360 3-D."
Davis,And? And...
Piper,"Nothing. Nothing, we're clear!"
Davis,"Well, don't put your feet up yet. We've still got to put this thing down in unwelcome territory."
Piper,"Daisy, we're on approach. Be ready."
Davis,Not my best.
Piper,"Not your best, Davis!"
Davis,"Thanks, sidekick!"
Trok,You have violated galactic ordinance and entered D'Rillian atmosphere without clearance. Prepared to be boarded.
Davis,He seems nice.
Daisy,I'm unarmed.
Trok,"Present authorization, Terran."
Daisy,"I don't have any. We're a little desperate for fuel, so we had no choice but to land here."
Trok,"Scan her face. Check for ident on the data-streams. Foolhardy. This small aircraft isn't even worth as much as a unit of fuel. Unless you plan to work in the shafts, how do you expect to make payment?"
Daisy,You're gonna give it to me on the house.
Trok,"Must be the daughter of a monarch, slumming it on the outer brink. Well, that's not how it works here, princess. Who is this girl? We get a name? Quake."
Simmons,Give us what we want and we'll let you live to cry about it.
Trok,"You want fuel, it's yours. Take what you need."
Simmons,"No. I mean, yes, but no. We're looking for someone."
Trok,Someone else to shake down? Or someone you want to eliminate?
Simmons,We just want to bring him home.
Mack,Runco. Quit it.
More,Has Agent Simmons ever explained what these readings meant?
Julian,"It started after she left, and now she's light-years away."
Mack,Quiet.
Fox,That's low-level activity.
Mack,"I know. Strike teams, spread out. 100 miles in each direction."
May,Way ahead of you. Alpha team in position.
Mack,We need someone close enough to get there in time. Bravo team?
Diaz,"Bravo team, in position."
Fox,There it is!
Mack,Where? Where?!
Fox,Dialing it in... Somewhere in Indiana.
Mack,It's in Castleton! Go!
Keller,That'll be us.
Mack,We're sending coordinates now. It looks like a-a park. Move! Move!
Tinker,Jaco!
May,Hands in the air. Now.
Keller,Just say the word.
May,Watch the kids.
May,Surrender now or we will fire.
May,Hold on!
May,Everybody okay?
Agent,Yeah. All good.
May,Safe to say he got away.
Keller,Electronics are fried. I'll try and contact HQ for extract. Director Mackenzie will be worried.
May,Ah. He'll be pissed.
Mack,How could you lose him?! What good is it getting there in time if we don't take this guy down?
Keller,"I had a clear shot, but then May warned me about the kids, which made it feel a lot less like a clear shot."
Mack,You did the right thing. But you were wrong for engaging in the air. We needed feet on the ground.
Fox,Or more bodies in the field? If Yo-Yo was...
Elena,"I was in another jet. And remember, Mack, all you've been talking about for the past three days..."
May,Speed.
Keller,Getting there in time.
Elena,... was speed. Try to catch the person who's creating all these... I don't even know what to call them.
Fox,“Anomalies?”
May,We used that word up last year.
Mack,And this is different.
Elena,Those were hallucinations coming to life.
Mack,And this is reality... distorting.
Fox,"Uh, how about “reality warps?” Uh, “irregularity storms?”"
Mack,"Fox. You're not helping. Look, regardless, the good news is, no innocents were killed."
Elena,Not to mention Agents.
Mack,"Well, that goes without saying. But it's worth saying. You got knocked around, but everyone's okay?"
May,At least we have confirmation that it is a person causing this.
Mack,"Yeah, but we don't know how or... who or what he is. We... We need workable theories, people. Anything, even stupid ideas are welcome."
Elena,Our two brightest minds are MIA. Still no contact with them?
Mack,Not in months.
Fox,Sir. Keller has a theory.
Keller,"Thanks. Well, uh... we both have been looking at these locations, trying to find a connection."
Mack,Good.
Keller,"This park, as well as the city bus with the holes torn through it and the lake that froze solid in the middle of the desert..."
