character,line
Snowflake,Huh.
Jaco,Sweet.
Sarge,Mmm.
Pax,"This rock has it all, Sarge. It's gonna be child's play."
Man,Please. Just take what you want and leave.
Sarge,You can tell a lot about a world by its currency. What have we got?
Pax,Paper. With faces on it.
Sarge,Great. One of those. At least it's lighter than coin.
Sarge,People fantasize about doing something dramatic in times like these. You don't look like a hero to me. They're still using combustion here. Might be child's play after all. Let's vanish.
Mack,"Fox told me he wanted to join S.H.I.E.L.D. because we protect people from their worst nightmares. Or at least we try. We can't bring him back, but we can save other lives, fix something else, and that's what we're gonna do. Jaross. Runko. Keep scanning for any more of these disturbances. Keller, comb through security footage from the museum again and see if we missed anything. Yo-Yo, help him out."
Elena,On it.
Mack,"I want you supervising the search for that truck. Anyone gets a lead, sound the alarm. Go."
May,"So, no mention of the man driving that truck?"
Mack,One thing at a time.
May,Do you not believe me?
Mack,"Look, if you say you saw Coulson, you saw him. But this doesn't go wide until we know what the hell he is."
Pax,"Jaco, come on! Does he really have to do that right now?"
Sarge,Yes.
Pax,We just filled our stomachs for the first time in days.
Sarge,"And he hasn't had his home atmosphere in nine years, so find a way to cope."
Snowflake,Blending in could be hard.
Sarge,"We'll make a stop. Pax, check the battery. Make sure this rig stays invisible."
Pax,"That's not on me. I don't know how it works. That was Tinker's department, and he turned to stone."
Jaco,Cement.
Pax,"Whatever. And could we acknowledge that fact before we cannibalize his gear? I mean, show some respect, Snowflake."
Snowflake,Just confirming something that will make you unhappy. We're out of P-E-Gs.
Pax,What? We had more. Where did they go?
Snowflake,Tinker kept them in his pockets.
Sarge,Why in any world would he do that?
Snowflake,Thought they were good luck.
Sarge,And his pockets didn't make it?
Pax,"No, his bottom half didn't make it. And that's definitely not on me."
Sarge,"You got something to say, Pax?"
Pax,No. Mnh. Yeah. Tinker should have been in the truck. We all should have been in the truck.
Sarge,Then we'd all be part of that museum right now.
Snowflake,We send a trailblazer every time to clear a path.
Pax,It's supposed to be Jaco the Giant... okay? who can survive a hail of war-hammers.
Snowflake,He's an old soul.
Pax,But we have to scramble and torch the place early because she can't keep her knife in her pants?
Sarge,All true so far.
Pax,"You let her get off! We had a talker, Sarge, but she made him spill his guts literally."
Snowflake,To be reincarnated.
Pax,"And it all went to hell, and now we're down a man."
Sarge,You want to do things differently?
Pax,No. But I certainly don't want to go digging for P-E-Gs again.
Sarge,"See? You were right, Pax. This rock has it all. Now, are you good to come with me, secure the exit while these two scout the site? Or should we discuss that, too?"
Pax,No. I'm good. I'm just... I'm sorting through it. Tinker died. He was a friend.
Sarge,That's what friends are for.
Mack,Got a possible lead from a convenience-store robbery in Ohio. I'm having some evidence sent over for you to test.
Benson,Great. Add it to the pile. I love that I traded tenure for a chance to never leave this room.
May,Where are you on this doppelganger?
Benson,"Oh, I have several viable hypotheses. That's what scientists say when they don't know squat. Odds are it's related to one of S.H.I.E.L.D.'s previous mistakes, which I'm working my way through a very long list... um, fear manifestations, nano-masks, Inhumans... Though I'm thinking I should revisit the file on those Life Model Decoys, which really shouldn't be a thing, by the way."
Mack,No argument here.
May,Could this guy be an LMD?
Benson,"Well, if there's already been one of Phil Coulson, it seems like a possible explanation. But I would need to talk to the idiot who designed them."
May,That might be hard.
Fitz,Blah.
Viro,I don't recall letting any Terrans onto my ship. Take him fellas. Give these two a better view of the stars.
Fitz,"All right, all right, all right! Wait. Let's just talk. Your ship won't survive the next re-entry."
Viro,What do you mean?
Fitz,"Your heat shields are misaligned. Your crew hasn't spotted it, and I haven't had a chance to fix it. You throw me out into space, you lose your best engineer. I'm more productive than the rest of your crew combined."
Viro,I doubt that.
Fitz,You do the math. I patched all your fuel lines and rebuilt your entire tank irrigation system.
Enoch,"He also increased the efficiency of the CO2 scrubbers by 30 percent, which has the added benefit of making the Xandarian snails more fertile."
Fitz,Yeah. And Enoch here you'd be hard-pressed to find someone that knows more about snail farming.
Viro,"You're still a filthy Terran liar. When you crewed up on Sivos, you told me this was your first haul. You're obviously running. I'll be doing someone a favor."
Fitz,Wait... We'll work for free.
Viro,"Finally a persuasive argument. Fix the heat shields. And, actually, that airlock's been leaky since we shipped out. No one's been able to pinpoint the problem. If you can get all that done before we arrive at Naro-Atzia, I'll consider not kicking you out that door."
Sarge,Nice to have breathable air again.
Pax,Yeah. It'll be a shame to see it go. Is there any interference?
Sarge,Straight shot. Plenty of leeway. Should be fun.
Pax,"You know, each of us... we have a very different definition of what that word means."
Sarge,Why do I feel like you're about to enlighten me with yours?
Pax,"You know, why not take a breath here? This place has sugar water, blue sky. Maybe kick back before it's reduced to ash."
Sarge,Sounds like powering down.
Pax,"Or charging up, right? I mean, didn't you ever take a load off back in your home turf, your past life or whatever? One day, you're gonna tell us about it."
Sarge,Don't hold your breath.
Man,Hey! You two have some I.D.? This area's restricted.
Pax,"You must not have known we were coming. Uh, we're almost done here, so you can..."
Man,Done with what? Who are you?
Pax,We were hired by the Conglomerated Ministry of Shipping.
Man,The Shipping Department?
Pax,The... The Min... I don't know.
Sarge,It was worth a shot.
Mack,"These guys must need something. And when they go for it, we'll be watching."
May,"Agent Fox was a good kid. You might want to spend some time with Keller, talk him through this. He recommended Fox for this job."
Mack,I think he'll be going to someone else for comfort.
Elena,Don't torture yourself.
Keller,Just going through it. Gotta do something.
Elena,"I'm sorry. He was from your hometown, right?"
Keller,Nearby. He was me 10 years ago.
Elena,"That's giving yourself a lot of credit. You know, I'm here if you need me."
Keller,I'll be okay.
Elena,But you don't have to get there alone.
Keller,"And yesterday, when you said..."
Elena,That was yesterday. There's been a sighting.
Mack,Heard some chatter about a man firing a strange gun outside a shipping yard. Security was able to make a positive I.D.
Elena,Where?
Mack,"Just outside Cincinnati, not far from that convenience store."
May,One of the guys was with him.
Mack,I need you two to canvass the area.
May,And everyone else?
Mack,I'll instruct all agents we have a new target that looks exactly like Phil Coulson.
Benson,"Hey. I only took the job because you promised me full transparency, and you're keeping me in the dark."
Mack,Listen. We've given you everything we have.
Benson,"Yeah, but you forgot to mention the fact that your former boss had died and come back to life before."
Mack,That's not what this is.
Benson,Are you sure? This LMD theory's not panning out... LMDs don't have DNA.
Elena,We didn't bring him back to life... trust me. That was a hot topic.
Benson,"Well, maybe he never died in the first place. You love secrets, Melinda. Anything you want to share?"
Mack,"Hey, take it easy."
May,"I was there... until the very end. He's gone. You have no right to question that. Find me a way to kill that thing out there pretending to be him. And if that's too hard, you know your way back to the bar."
Benson,That sounds nice right about now. And good luck sorting out this evidence alone.
Mack,"Okay, that's enough. Now, is this the DNA you're talking about?"
Benson,"Yeah.  This is a sample from the convenience store. At first, I thought it was alien... radiation markers I've never seen, foreign methyl groups. Strip that all away, and what you have left is a 100-percent match for Phillip J. Coulson."
Sarge,I want you to keep an eye on Pax. He's starting to sound like Tinker.
Jaco,They all crack sooner or later.
Sarge,Might not be a bad idea to start looking for replacements.
Sarge,Are we happy?
Snowflake,"Tinker would know for sure. But I think once we have the P-E-Gs, this will sing its beautiful song."
Sarge,"First, the lock-in. Then we rampage."
