character,line
Davis,She's reckless and dangerous!
Piper,She deliberately disobeyed your orders.
Davis,"She seriously compromised our chances of getting home. We are almost out of food, and we don't even know how many more jumps we can make."
Piper,We need to confine her to the cargo hold. She put our lives and the mission at risk.
Simmons,Fitz is the mission. We didn't come this far to give up. Cowards.
Daisy,"Enough. Everybody stand down and take a breath. Simmons is right. Fitz is the mission. But I'm the mission leader, and that was my call to make, not yours."
Simmons,Whose side are you on?
Daisy,"You know damn well whose side we are all on. We went to a Fire Planet for you. We followed every bread crumb trying to find him, and now we're at the end of a galaxy because of a tiny word we can't even read."
Simmons,I told you what it said!
Daisy,"We need to take a step back, Jemma. We can't save Fitz if we can't save ourselves. We're going home. Hopefully we can make it there."
Simmons,"Go if you want, but I'm staying."
Daisy,"Permission denied. And if you have a problem with that, I'll have you locked up until we get there."
Simmons,I'd like to see you try.
Piper,What was that?
Pryce,"Greetings. Welcome to Naro-Atzia. I am Pretorious Pryce, your duly sanctioned customs officer. Your spacecraft has been docked, and I'm requesting permission to come aboard for your welcoming inspection."
Daisy,That won't be necessary.
Pryce,Not sure I understand.
Daisy,"Change of plans. We won't be visiting your planet, um, but thank you. It looks lovely."
Pryce,"Perhaps I wasn't clear. The forms have been prepared, and you're already in the system."
Daisy,"Okay, well, just take us out of the system, and then we'll be on our way."
Pryce,"Once you are in the system, you are in the system. As I said, there are forms, prepared forms. I don't like the rules, but they must be enforced."
Daisy,Fine. Come aboard.
Simmons,"Maybe he inspected Fitz's ship. We can at least ask, can't we? He could be so close."
Boyle,"These snails should fetch a good price at market, enough to buy fuel and supplies for several cycles. Where you heading?"
Fitz,Naro-Atzia.
Enoch,"And from there, back to our solar system so we can orbit Jupiter for another 72 years, 312 days, after we purchase a Cryo-Chamber."
Boyle,Your business is your business.
Toad,"You know, we heard what you did. You saved this crew, gave the Controller his walking papers. You're real heroes."
Fitz,Anyone would have done the same.
Boyle,Not around here.
Fitz,Those look good.
Toad,They taste even better.
Enoch,"These are not meant for Terran consumption, especially not on an empty stomach. We will find you nourishment after we are paid."
Fitz,"I know, but I'm starving."
Boyle,"Yeah, about that. We're just gonna take the snails and the, uh, ship, too."
