character,line
Deke,We've got company.
Trevor,"Commander, I'm out."
Deke,Then make ‘em count.
Deke,This just got personal.
Deke,I'm getting too old for this.
Deke,Thanks. I had a blast.
Daisy,What took you so long?
Deke,"Sorry, sweetheart. Traffic was a bitch."
Sequoia,Deke. Deke.
Deke,End Framework.
Sequoia,Deke!
Deke,Babe. This is a surprise. What are you doing here?
Sequoia,Boba. We're supposed to get boba.
Deke,"Oh. Boba tea. Yeah, no. I-I got to ask Trevor to check my schedule."
Trevor,"Sweet raid, dude. The rendering on that blue guy is really popping. Your boy's a visionary."
Deke,"Oh, come on. You're just saying that ‘cause she's here. Oh. All right. Walk with me?"
Trevor,Mm-hmm.
Deke,Do I have time for a boba break?
Trvor,"I don't know, man. We got VC coming in for round-two financing."
Deke,"Yeah, but our growth is pure hockey stick."
Deke,"Dude, high-res, zero latency... that's what's up. You're crushing it. But right, no, stay in the zone. I love that, man. See, the thing is, babe, a gaming system like the Framework, it's gonna be a cash cow. That, we know, but the revenue is gonna be a launchpad for all my new initiatives, because Deke Shaw is not just about virtual reality. I want to change the world... In real reality."
Trevor,... in real reality.
Deke,That's my... Don't. That's... For example...
Sequoia,"Hang on, hang on. I want to post this. Okay. Go."
Deke,Imagine a future where no one goes hungry...
Sequoia,Totally...
Deke,A world where everyone's sustained on one simple staple...
Deke,"... organic, biodynamic, sustainable, easily attainable... mushroom pellets."
Sequoia,Um... change the world much?
Trevor,It's all he does.
Deke,Just... Like e-scooters disrupted long walks or rideshare disrupted drunk driving...
Sequoia,You're gonna disrupt actual food.
Deke,"Well, I guess you can consider the universe... dented."
Kaya,"Shaw, hold up. You said you wanted to increase productivity, yeah? Well, you will be the first to try..."
Deke,"No, no. No, no, no. Nothing goes on this wrist ever."
Kaya,"But you can call anyone at their work station from your arm. Like you said, “Productivity is connectivity”."
Deke,"Yeah, I did say that. Uh, how's the rest of R&D going?"
Kaya,"We're having some trouble with gravity-belt technology, but your idea about a prosthetic hand that has its own energy shield, Engineering loves it."
Sequoia,"Babe, you are such a genius. Where do you come up with this stuff?"
Mack,"Agent Diaz, you have something for me?"
Diaz,"We're running CCTV, local law enforcement, satellite imagery, but so far, no eyes on our target since the fireworks."
Mack,"Okay. Agent May's running point on this, so let's make sure she knows."
Diaz,"Believe me, she's on it."
Mack,Okay.
Keller,You got a minute?
Mack,Yeah.
Keller,"I know S.H.I.E.L.D. has certain protocols, so in the spirit of full disclosure..."
Mack,I'm gonna stop you right there.
Keller,Sir?
Mack,"Let's say you're here to disclose an interpersonal relationship, theoretically. Well, that means I have to separate teams. People that work well together. When you're out in the field, you can't second-guess yourself because you're working with someone you care about. It can, uh... compromise your judgment."
Keller,"Of course. I just thought, in... in light of S.H.I.E.L.D.'s policy on that..."
Mack,"I plan to enforce that policy. So, do you believe yourself to be compromised, theoretically?"
Mack,Good.
Elena,"Mack, we got back... Um, is this a bad time?"
Mack,"No, not at all."
Elena,"Um, Benson did a full analysis of the area where Fake Coulson put on the fireworks show."
Mack,"No atmospheric toxicity, didn't disrupt air traffic, but... “trace amounts of statically charged particles?”"
Elena,"Suspended in orbit. Eyewitnesses described a pattern in the sky, a grid. So, I was thinking, maybe they were making a map."
Keller,"But the jewelry store, firing off a cannon... seems like a lot of trouble if they could just check GPS."
Mack,You think they're looking for something.
Elena,I do. But who knows what it is.
Jaco,That's our mark.
Man,Whoa. What's going on? Where's he going?
Sarge,I've been looking all over for you.
Snowflake,I love this part. Definitely not a butterfly.
Sarge,So who's next?
Deke,I'm thinking about calling it the Post-Food Movement.
Trevor,The Post-Food Movement. I love it.
Deke,Could you help me come up with some hashtags for that?
Sequoia,Obviously.
Deke,"Thanks, babe."
Kaya,Mr. Shaw. Our latest taste test.
Deke,"Okay, well, let's, uh... let's give it a shot. Mmm. Closer. It's definitely closer. It's just... I can still taste that taste that I can't ever... forget. Just keep trying."
Lindsay,Mr. Shaw?
Deke,Yes?
Lindsay,I'm so sorry. There's this weird guy who said he had an appointment and couldn't wait. He's in the conference room.
Trevor,What? The meeting isn't for another two hours. I haven't updated the deck.
Deke,"This is what you get for making business connections at Burning Man. All right. Trevor, just load the presentation into the holo-table. Kaya, hold off on the pellets. And, Lindsay, could I just get a charcoal water?"
Lindsay,"Yes, Mr. Shaw."
Deke,Thanks so much.
Sequoia,But Deke... I still need boba.
Deke,"Sequoia, babe, me, too. Is there... any way maybe you could go get the boba and bring it back and we'll have it together, just so I can close this deal? Please?"
Sequoia,Okay.
Sarge,I've been looking all over for you.
Deke,Coulson! Buddy!
Sarge,That's me.
Deke,"Listen... b-before you get all bent out of shape and... and rules-y, this... this stuff is just inspiration for the game. You know, o-o-our actual mission lies in the Corporate Social Responsibility movement. Did you know that one half of 1 percent of all of our profit goes straight to the DSFBFF... the Deke Shaw For a Better Future Foundation?"
Sarge,Can't argue with that.
Deke,See? I knew you'd get it. So... Why didn't you just call ahead like a normal person?
Sarge,Who wants to be normal?
Deke,Right. Totally. #Truth.
Sarge,That's what I always say.
Deke,"You do? W-What am I... I mean, how... how amazing is it that you're even standing here right now? I mean, you... you look good. A little... rocking a dark vibe, but good. So, I got to know... how did they do it? How did they save your life?"
Sarge,I don't even know. What did they tell you?
Deke,"Uh, I, uh, I've had very little contact since... I... I-I don't really... I mean, but... but you should... Oh, for reals? Dang. They gave you the S.H.I.E.L.D. memory wipe, huh? Yeah, well, that makes sense, I guess."
Sarge,"Yeah, I guess. So do me a solid. Fill me in on what you do know."
May,Reno PD's first call was to S.H.I.E.L.D.
Mack,Takes more than a body to get your attention.
May,"Well, the suspects also fit the description."
Mack,"What, do you think it might be him?"
May,I know it's him. CCTV confirmed it.
Mack,It's Coulson.
May,He's not Coulson.
Mack,We got to call him something.
May,Not that.
Keller,Heard a body came in. We know the cause of death?
Elena,"No, but if they called us, it means it's not old age."
Elena,"So... you and Mack, in his office."
Keller,Yeah.
Elena,You told him. I wish you would have talked to me about it.
Keller,"If it makes you feel better, he didn't exactly let me finish."
Elena,He doesn't want to know so he doesn't have to put us on different missions.
Keller,"I'm sure that's part of it, but... It's just, I also got the sense that he isn't over you."
Elena,Why would you tell me that?
Keller,You should know how he feels before... or if we... You should know.
Elena,Okay.
Keller,"But to be clear, I'm in. I will fight for you if I have to. Not fight fight... Mack terrifies me. But more emotionally fight."
Elena,Ugh. Always acting so noble.
Keller,"Yeah, I think you like that act."
Benson,This is another first for me.
Keller,Whoa.
Elena,What happened to him?
May,They did.
Elena,He didn't seem to care if he was seen.
Benson,He only cared about turning this guy into some kind of science experiment.
Mack,"Yeah, we still don't have an I.D., but we should have one soon."
Keller,"Report says this guy bought a ticket to Sioux City. That's a convergence spot for three separate Ley Lines, FYI."
Mack,"At this point, I'm not ruling out anything. Benson, Keller, Rodriguez, we need to find out what happened to this man. May, prep a Quinjet."
May,Already done.
Mack,You and I will head that way to see if we can find this guy who's not Coulson.
Sarge,Sorry. I guess I'm drawing a blank.
Deke,"Man, you... you don't remember all the heroic stuff I did? That's... I guess Fitz didn't go easy on you."
Sarge,Guess not.
Deke,"How are they, anyway? I feel bad I didn't get a proper goodbye with the grandparents."
Sarge,"Slowing down, but still hanging in there."
Deke,"What about Agent May? I mean, she wouldn't leave your side. Is she... Is she nearby somewhere?"
Sarge,Of course.
Deke,"But what I'm... what I'm, like, dying to know is, how is Agent... Doug?"
Sarge,"Well, you know, Doug's Doug."
Deke,"Yeah, that is #Truth. Um, oh, I just forgot something. I'll be back in one minute."
Sarge,"You're a real talker, but you're not from here and you shouldn't be here, so I got to take you and make you sing."
Sarge,Aah! Ahh...
Deke,A real hand. Not Coulson.
Sarge,"You know you're already dead, right?"
Deke,"That is a large, large man. Ray..."
Ray,Stay back!
Deke,"No! No, no, no, no, no! Ray! Ray!"
Deke,"Oh. Oh, okay."
Jaco,"Tracker says he's not from this world, but his signature's different from the others."
Sarge,That's strange.
Jaco,"If you consider the infinite complexity of nature, maybe “strange” is the norm."
Pax,"Strange or not, he's still a target."
Sarge,"Not just a target, a talker. You know what that means."
Pax,"Kill him slow, make him bleed."
Benson,"Well, this is the strangest autopsy I've performed since... the last one. I mean, who finds a body in a wall? Or a wall in a body?"
Keller,"We got our I.D. Meet Harold Simcoe... age 51, reported missing a week ago. Seems he abandoned his family and his job in Sacramento, cut off all contact. Family says he's never been to Reno, much less Sioux City."
Elena,"So, why was he a target?"
Keller,No idea. He was unremarkable.
Benson,"Well, not anymore. I'm gonna need an assist. The kind of stuff you see. Guess this just must be an average day for you two, huh?"
Keller,Can't say I agree with you there.
Sarge,"I've been hunting your kind my entire life. And let me tell you... there's no use hiding in this world or the next. We'll always find you. So, why don't you come on out, make things easier on your old friend, Coulson?"
Deke,"You are not Phil Coulson. And I don't know how you stole his face, but it is not chill, man. It's not chill. And if you're upset that I borrowed a few ideas from S.H.I.E.L.D., it's not like they didn't steal half that stuff from aliens. Productivity is connectivity."
Trevor,"Shh. On my signal, make for the northwest exit. Keep moving forward. Don't look back. I've called for extract. I got your six."
Deke,Who are you?
Trevor,"Trevor Khan, Agent of S.H.I.E.L.D."
Benson,"The, uh, blood panel on our friend Mr. Simcoe yielded some, uh, surprising results. His body is flooded with a neurotoxin, possibly secreted by that alien critter. It's inert, but highly combustible. Nasty stuff."
Elena,"So, like a poison."
Benson,"More like an accelerant, but I've never seen it in a human before, but not dissimilar to the Cordyceps fungus in Amazonian ant populations. I-It turns its host into a self-destructive zombie."
Keller,Zombie?
Benson,"Well, they're not... not dead. More like they're being piloted by a parasite that's taken residency inside."
Elena,"So, Fake Coulson put a parasite in this man."
Benson,And implanted him with this... I guess.
Elena,What the...
Benson,Whoa!
Keller,Everybody down! Stay low.
Elena,Where did it go?
Deke,"Wait, you were S.H.I.E.L.D. this entire time?"
Trevor,Did you really think we were gonna let you rip off all our tech?
Deke,"Even... Even at the Phish concert? Wait, wait. Uh, what about when we went to the escape room and you froze up? Was that all just an act? I bet that you could've solved that word cypher and we could've gotten out of there in record time, but, no, you just had to..."
Trevor,We got to move.
Deke,"Hey, just... just... Hold on. Wait, wait, wait. Just... Just please tell me one thing, okay? Just... Tell me you weren't letting me win in “Remorath Rumble”."
Trevor,Okay. I won't tell you that.
Deke,Wait. You called Mack?! I thought we were best friends!
Mack,All right.
Mack,Agent Khan. We re-routed as soon as we got the call.
Trevor,"Glad you were close by, Director. Agent May."
May,Trouble with your babysitting assignment? Because we got bigger problems.
Trevor,"This isn't just a Code Yellow. I didn't want to put this over the radio, but... one of the guys in there is the spitting image of Phil Coulson."
Mack,"Wait, he's inside that building right now?"
Trevor,Far as I know.
Mack,"All right, people, this is no longer an extraction. It's an assault. Let's go!"
May,"I'm on point with Khan, Gibbs, Wilson."
Deke,"Hang on. First off, a hello would be nice. And second, am I a Code Yellow, and should I be insulted? Because it feels that way. And... And most of all, w-why is Coulson trying to kill me? What... What... What the hell is happening?"
May,What's happening is we got lucky.
Deke,"All right, Deke. You're safe now. Stay here. Well, who's gonna protect me? Is Daisy coming or Fitz or Simmons or..."
Mack,"Okay, let's roll!"
Deke,Yeah. Okay.
May,Congratulations. You didn't get yourself killed.
Diaz,So... it's a bird.
Keller,"Well, more like an alien zombie bird. You'll know it when you see it."
Elena,"And if you do, give me a chance to catch it. I'll be ready this time."
Keller,"It's all in a day's work, right?"
Elena,Always noble.
Elena,Give me a boost.
Elena,Keller!
Elena,It's gonna be okay.
Diaz,I'll ready a medevac.
Elena,Yeah.
Elena,That thing... it flew inside him!
Benson,Inside of him?
Keller,In my mouth. I can feel it moving.
Elena,"Sit down. Sit down, try and relax."
Keller,Really?
Keller,Aah! I can't turn into that. Do whatever you have to do.
Benson,We got you.
May,Can't believe this is what Deke Shaw's been doing the past year.
Mack,We probably shouldn't have let it get this far.
May,Was he informed we lost Fitz?
Mack,"Not my call. Besides, we don't know if we lost him yet. Stay low! Eyes on your team!"
Trevor,I got one on top.
May,"One in back. Wilson, Gibbs, any sign of him?"
Agent on comms,Negative. We do not have eyes on Coulson.
Mack,"We'll split up. Khan, take a team, sweep for civilians. I'll secure the north side. May?"
May,I'm going after the girl.
Mack,"Remember, our objective is to bring them in alive."
Deke,See? That... That was definitely gunfire. We're not safe. We should go.
Julian,My orders are to stay.
Deke,"Okay, I get that. But does HQ know who... who you have on board? I'm Deke Shaw. I'm kind of special. I got to take this. Babe."
Sequoia,"Deke, I brought boba. Where is everybody?"
Deke,"Wait. Sequoia, where are you?"
Sequoia,"I came through the back. You know as an influencer, I always avoid front doors. Where are you? Are we doing a surprise retreat again?"
Deke,"No! No, no, no, no, no. Listen to me."
Sequoia,Or are you testing the game? Because I think I heard gunfire.
Deke,"No, it... It's not the game. The office was attacked."
Sequoia,Stop messing with me.
Deke,I'm not! Y-You have to go and find a place to hide.
Sequoia,"Oh, my God."
Deke,"Do you understand me? Get off the phone, hide, and... and someone is gonna come and get you."
Sequoia,S-Somebody? Who?
Deke,S.H.I.E.L.D.?
Sequoia,Deke!
Deke,"Okay. No, okay? I'm... I'm gonna come and get you. I'll see you soon."
Deke,"Oh, perfect."
Julian,"Mr. Shaw, I just spoke to HQ. You do not have priority status, so it's... Mr. Shaw?"
Benson,It's growing and attaching itself to his vascular system.
Elena,Can you un-attach it?
Benson,"I can try, but I-I've never done anything close to this."
Elena,So we take him to a hospital.
Benson,"No one in the history of the medical profession's ever done anything like this. Besides, he doesn't have that kind of time."
Keller,"It's, uh... probably too fast, but... how would you feel about bringing an alien bird into our relationship? So that's a no."
Elena,You're going to be fine.
Benson,"This is a sedative. In your head, if you could count back from 10."
Elena,What's happening?
Elena,Stop. Stop! Stop. Get back.
Benson,"You just did that. How did you just do that? Just an average day at S.H.I.E.L.D., right?"
Elena,Can you operate?
Benson,"Well, I'm gonna have to cut into him, and... and... and he's conscious."
Elena,Can you operate?!
Benson,Yes.
Deke,Babe? It's me.
Sequoia,Oh my God.
Deke,Babe!
Sequoia,"Oh, my God."
Deke,Are you okay?
Sequoia,What took you so long?
Deke,"Okay, look, just listen to me, all right? There are people out there that are after me, okay, and I don't know why. I think it's because I'm not supposed to be here. Like, I'm not supposed to exist in this reality. Do you remember I explained this to you on the Playa?"
Sequoia,"Once again, this is all about you."
Deke,"No, just... This... But this time it is about me. It... Look. If there's one thing I know how to do, it's run away and survive, so you're gonna follow me, okay? Are you ready?"
Sequoia,"Yeah, I'm ready."
Deke,"Okay. Oh, well, maybe we should just..."
Deke,"Yeah, let's... It's all good. We don't need..."
Sequoia,Right.
Deke,Right?
Sequoia,Let's go.
Deke,Okay.
Sequoia,Oof.
Deke,"Okay, come on."
Sequoia,Okay.
May,I've got the girl in my sights. Any sign of him?
Mack,"Not yet. But if this guy wants to take out Deke Shaw, he's gonna have to wait in line."
Snowflake,You don't like guns either.
May,Never needed them.
Snowflake,Boys with their toys.
May,Aah!
Automated Voice,"If you'd like to make a call, please hang..."
May,Aah!
Snowflake,You know who does like toys?
Sarge,I do.
Deke,Are you posting this right now?
Deke,"Wait, wait, stop."
Pax,"You may be a talker, but you're still a target."
Mack,Here. Take this. Keep her safe.
Mack,I think we're good.
Sequoia,What... is... happening?!
Deke,"Okay, Sequoia, you're probably pretty freaked out right now. So, this is Mack. He's..."
Sequoia,He's large and muscular.
Deke,... an agent of S.H.I.E.L.D.
Trevor,Everything okay? You need a doctor.
Deke,"No, it's not as bad as getting shot."
Sequoia,Who even are you?
Jaco,Get out of the way. I want him.
Deke,"I got this. Okay. Go and protect her. Mack, come with me. I got a plan. Go, go, go, go, go!"
May,Do what you're going to do or go to hell.
Snowflake,I think you might be the prettiest butterfly I've ever made.
Sarge,"Easy, Snow. Not this one."
May,"If you're not gonna kill me, then what do you want?"
Sarge,You're about to find out.
Daisy,What took you so long?
Deke,2 percent. I'll give you 2 percent of this entire company to keep this between us.
Benson,The anesthesia's not working. You're gonna have to hold him still.
Elena,Okay. I'm right here. Just stay with me.
Elena,What happened?
Benson,"He burned me. Oh, his temperature's through the roof. He should be coding."
Elena,What are you doing?
Benson,"We're gonna have to get him into isolation now. If his body's flooding with that accelerant, a-and he reaches a certain temperature..."
Elena,Then what?
Benson,I-I don't know. W-We're underground. H-He could take this whole place out.
Elena,There's a containment unit on the north end of the hallway.
Benson,Works for me.
Elena,"Clear the floor! Get out of the way! Keller, hold on. Hold on."
Benson,Don't touch him!
Elena,Benson.
Benson,"Get away, as far as you can. Run!"
Snowflake,No followers! We're clear!
Sequoia,"You guys, today is gonna be amaze. I'm, uh, visiting my bae at his start-up company. He's, like, seriously a visionary. We're gonna go get boba together. Stay tuned."
Sequoia,"Okay, guys, he's working right now, but I don't know. Does this look like work to you?"
Trevor,"Ugh. Damn it! Oh. Uh, hey, Sequoia."
Sequoia,"Hey, Trevor."
Deke,Like e-scooters disrupted long walks or rideshare disrupted drunk driving...
Sequoia,You're gonna disrupt actual food.
Sequoia,"Okay, guys. So, Deke's supes busy, so I'm just gonna bring the boba to him. Wow! Super authentic mo-cap actors. I'm totally stealing that look for ‘Chella."
Sequoia,"You guys. I'm, like, seriously freaked out right now. It turns out the office is under attack and, like, nobody told me. You know, it's, like, my life is on the line, you know, and I just... it really puts things into perspective. Like... I'm, like, seriously, like, realizing stuff right now."
Sequoia,"You guys, we're getting out. Oh, my God. Thank God you saved me."
Sequoia,Thank you for saving my life.
Trevor,Thank you for introducing me to Frosé.
Sequoia,"It's so good, right?"
Trevor,So good.
Sequoia,So good.
