character,line
May,Mm. What are you doing?
Coulson,I like watching you sleep.
May,This whole island's like a sound machine. Was I snoring?
Coulson,Little bit.
May,Why... am I dizzy?
Sarge,Because you have violent tendencies. A little concoction in the water you drank. But nap time's over.
Snowflake,Aww.
Sarge,We're pretty isolated out here. Shouldn't be any interference. It's a bag and gag. Keep it simple. Check in when you're done.
Snowflake,So serious for such a pretty face.
Sarge,Snow. Pax and Jaco are gone. You're all I've got. I need to know you can handle this.
Snowflake,"Yes, Sarge. I've got it. Unless you'd rather go. I'd be happy to keep our guest company. She has so much potential."
Sarge,You know... you're gonna do great.
Snowflake,"Fine. Later, then."
Sarge,Happy hunting.
Sarge,"Well, look at us. All by our lonesomes at last."
May,What do you want? Why am I here?
Sarge,I'm gonna turn you.
Trevor,"Director. We just got word. Deke Shaw's out of surgery. He's sedated. It's hard to imagine him actually quiet. Small miracles, I guess. It looks like he'll be fine."
Man,Thank you.
Mack,Yo-Yo. Wait up. How are you doing?
Elena,"I've been working the prisoners. Haven't gotten anything useful except they, uh... they call their boss Sarge. The big guy barely talks, and the squirrelly kid won't stop..."
Mack,That's not what I meant. I know you and Keller were...
Elena,You don't have to. May's out there somewhere.
Mack,I have people working on that. Just take a minute. You lost someone. That's never easy.
Elena,I'm getting used to losing people.
Mack,I didn't have a choice. This isn't a job I take lightly. I have to be responsible for everyone.
Elena,I wasn't getting in the way of that.
Mack,"I was afraid... afraid that I couldn't measure up to Coulson. And now his double's out there killing people, and we've lost... We've lost agents. I feel like I'm losing control. You used to be the one I turned to."
Elena,"What do you want, Mack? I take your orders without question. You need more from me... Boss? That's what I thought."
Mack,"Benson's working on that bird creature, so we should have an answer as to what it is soon."
Elena,Are you sure Benson's up for this?
Mack,"I mean, he has his demons, but we all do. Did he make a mistake with Keller?"
Elena,"I don't know, but, um... you might want to keep an eye on him... Director."
Enoch,"There is no hope, only loss. Decommissioned. Hunted. I have become a cautionary tale used to steer children away from a life of crime and excess."
Davis,Would it be rude to turn him off? His constant complaining is giving me a headache.
Piper,"Yeah, well, you are the Puff-Head who got high and shot up our super-threatening fuse box, so..."
Davis,Never mind. Sorry I was wrong. The source of the headache is Piper. Definitely Piper.
Daisy,"Okay, Enoch, we made... a lot of noise on Kitson, and we only have enough fuel for one more jump left, So we can't hang around up here."
Simmons,"Yeah, we need to plot a course. Who was that bounty hunter, and why would he have taken Fitz?"
Enoch,"Poor Fitz. Though now I walk alone, I will never forget my one and only friend."
Simmons,Your only friend? But you have us.
Enoch,"When last we met, I forcibly abducted your team and sent you all into a dystopian future."
Daisy,"Yeah, maybe not the best start, but in the end, you really came through."
Enoch,I did?
Simmons,"In the future, you sacrificed yourself for us. Without you, we never would have been able to get home and save Earth from destruction."
Enoch,The human race has survived its extinction-level event?
Daisy,And it was all because of... you.
Simmons,"Our very, very good friend."
Enoch,"But if I have completed my mission, why are Chronicom hunters after me?"
Daisy,We thought those guys were from the Confederacy.
Enoch,Hmm. That would be much preferred. Hunters are the most feared of the Chronicoms... relentless. They will never release Fitz.
Simmons,And I will never stop fighting. I saw Fitz with my own eyes. I'm not going to quit now.
Daisy,What's happening?
Simmons,Is everyone okay?
Piper,"Davis, you junkie, what did you do?"
Davis,"It wasn't me! Something's hit us. Nav-Systems, thrusters... everything's down."
Daisy,Get us back online. Plot a course to the nearest system.
Enoch,"Oh, dear."
Sarge,"You keep staring like that, my head's bound to catch fire."
May,Fine by me.
Sarge,"No wonder Snow likes you. Between us, that girl might enjoy her job a little too much. But she's loyal, so what can you do? I've been to a lot of worlds, some good, some garbage. But I've never been to one where people recognize my face. But it's not just that. Everyone's acting like they know me. You seem to hate me most of all. So let's get into it."
Simmons,It won't take the Remorath long to get through that door.
Daisy,"Then it's lights out, claws out."
Piper,We need guns.
Davis,On it.
Daisy,And cover. Give me a hand?
Simmons,Yeah.
Enoch,A ship identical to the many that surround us came after Fitz and me. We barely escaped in the ejection pod.
Davis,Piper.
Daisy,"Take aim. As soon as they're inside, open fire."
Piper,Copy that.
Simmons,Ready.
Enoch,"If they wanted us dead, they would cut this ship in two."
Davis,Dropping aliens is what I do.
Piper,What is wrong with you?
Davis,Sorry.
Enoch,Perhaps it is not the Confederacy at all.
Daisy,"Enoch! No, no, stop!"
Enoch,"Hello, Atarah."
Atarah,Enoch. It has been a long time. You look the same.
Enoch,As do you.
Simmons,You know this woman?
Atarah,I have no gender. I am a Chronicom.
Enoch,"A particularly lethal one and no fan of mine. Before I came to Earth, Atarah was my superior and..."
Atarah,"We have pursued you for some time. Enoch, you are to be judged for tampering with the universe."
Enoch,Then I will face my punishment.
Piper,"Come on, man. Not cool."
Davis,Don't lock us in here. We hardly even know that Enoch.
Piper,"Yeah, and my buddy here is nursing a wicked hangover. I mean, can we at least get some water or something? He gets cranky!"
Davis,Cranky?
Piper,I was being nice. You're a whiny bitch.
Daisy,I-I don't understand. We thought this was a Confederacy ship.
Atarah,"It was, and now it's not."
Enoch,"Atarah. Even for you, this is highly aggressive. Why have you taken such action?"
Atarah,In order to survive.
Enoch,You're being purposefully ominous. You're hiding something.
Atarah,Our home world has been destroyed. All that remains of the Chronicom race are aboard this fleet.
Enoch,Chronyca-2 is gone? That cannot be.
Simmons,My God.
Daisy,Tell us what happened.
Atarah,"In recent years, there were whispers of strange phenomena on distant planets, entire worlds mysteriously destroyed. We never imagined it would happen to ours. It began slowly... minor distortions in the fabric of space that released a plague. There was a great debate, but we failed to act. And then it was too late. The effects spread rapidly, consuming our planet."
Simmons,These distortions... what caused them?
Atarah,Unknown.
Daisy,And you were able to seize these ships?
Atarah,"The Confederacy came to us, eager to pick our planet's bones clean. They were not expecting resistance. We fought back."
Daisy,"So, you defeated the Confederacy, but you weren't able to save your planet."
Atarah,"We observe and guide events, occasionally with violence. We do not engage in conflict. We took their warships because we had none of our own, and this threat was something else entirely."
Simmons,"I'm sorry. This is a tragedy, but what does it have to do with us?"
Enoch,I presume Atarah wants to know how you were able to travel through time so that we may go back and save our world.
Simmons,It's not that simple.
Atarah,You deny that you meddled with the course of events?
Daisy,"No, but we don't make a point of helping people play with time that have been trying to kill us."
Simmons,It's complicated. We don't actually know how we did it.
Atarah,Lies. A favorite human pastime.
Simmons,We're telling you the truth.
Atarah,Hard to say. But I was prepared.
Enoch,Bestie.
Simmons,Fitz.
Simmons,What is this?
Malachi,Silence.
