character,line
Simmons,Fitz?
Fitz,Jemma?
Simmons,"Oh, my God, you're here. You're here."
Fitz,Are you okay? Did they hurt you?
Simmons,"No, I'm fine. Fine. Did they hurt you badly?"
Fitz,"No, no, I'm fine. I'm fine, now that you're here. Ohh! I've got so much that I want to say."
Simmons,I searched for you everywhere.
Fitz,"Yeah, I was trying to find you, too. Enoch said he sent you 100 years into the future, if you can believe that."
Simmons,Not until you see it.
Fitz,"Yeah. Wait, what? Really?"
Simmons,Yeah.
Fitz,"Well, then, how..."
Simmons,Um...
Fitz,How are you here?
Atarah,"That, of course, is the question... The question you must answer."
Fitz,"Who the hell are you, and what is this prison?"
Simmons,This is the Chronicom that's been hunting us for the past year. Story is her home planet...
Atarah,"I am Atarah... She likes to tell it herself, I guess. ...a sentient Chronicom from the planet Chronyca-2."
Fitz,"Yeah, you live near a star in the constellation known as Cygnus."
Atarah,"Not anymore. Nothing lives there now. The planet was set ablaze, heated to the melting point, the magma now turned to stone. It is too late to save my planet. Which is why I must now intervene at an earlier date."
Fitz,Using time travel?
Simmons,That's the theory.
Atarah,"If you cooperate, there would be no reason to detain you further."
Fitz,"Sorry, but unfortunately, it's against the laws... Of physics. You're a Chronicom. I don't need to explain causality to you. It's impossible to go backwards in time."
Atarah,Your partner claims otherwise.
Fitz,But that would create all sorts of paradoxes.
Simmons,You have no idea.
Atarah,"You will have at your disposal the most advanced Chronicom technology. Any tool you can imagine will be produced. All your knowledge, all your memories will be instantly accessible, sharable."
Simmons,Every memory? Shared? That's a bit intrusive. And it can't be safe.
Atarah,"Not always. But a problem as difficult as a time shift requires powerful tools, like this prison. Know this... there is no escape. Any attempt would only lead to madness. But your minds are the key to unlock it. The only solution for you is to find a solution for us."
Fitz,"I thought she'd never leave. Listen, uh... I've imagined this since I was in prison and every day since, and I wanted to do it right, but now we're stuck in another prison, and I don't know if we'll ever be able to get out of it..."
Simmons,Fitz.
Fitz,"No, hold on, hold on. Just... Just... Just let me say this. I've realized the universe can't stop us. Because we survived the bomb of the Atlantic, we've crossed the galaxy, more than once... ...just to be together. So, a love like that is stronger than any curse. You and I, we are uns..."
Simmons,We're unstoppable together.
Fitz,"Yeah, which is why I can't live another day without you. So, I'm asking you, heart in hand... Jemma Simmons, will you marry me?"
Simmons,"Absolutely. Ohh! I have to admit, right now, here with you, I don't give a damn if we ever escape."
Simmons,Carthan?
Fitz,Nope.
Simmons,Ohh! I really thought you landed there after the crash.
Fitz,"Saldon, the one with the triple sunsets."
Simmons,Mm! We went to Saldon!
Fitz,"We almost died getting there. Well, we almost died getting everywhere."
Simmons,And at the diamond cliffs. - Mm-hmm. Daisy went full rage monster on the indigenous population when they attacked.
Fitz,They're not pleasant.
Simmons,She was working out some issues.
Fitz,"Huh. New issues? Enoch and I had to stow away on a Sivian duster to get away. Hey, that's another thing. I can speak Sivian now."
Simmons,Wow!
Fit,Yeah. No jokes. Ja givram Sivla.
Simmons,I like that.
Fitz,Mm-hmm.
Simmons,What does it mean?
Fitz,It means... “I speak Sivian.” Did you run into any Kree?
Simmons,Not recently.
Fitz,"In the future, then? You really went to the future. But you're not speaking about it."
Simmons,"Well, I don't know where to start."
Fitz,"The beginning. You've been on so many adventures, and I haven't heard a single exploit. Or start at the end?"
Fitz,"So, how did you get back? ‘Cause if you did, then maybe we can actually solve this thing. I know it started with a monolith. Still haven't got used to that yet. Okay, so... so start at the beginning of the future or the end of the pa... The end of the past... That is enough to twist you up, actually, isn't it?"
Simmons,"Fitz, please. Let's just... Let's not."
Fitz,Does it have the same resonant frequency as the others?
Simmons,"Please, let's not ruin the moment."
Fitz,"I'm not trying to ruin anything. I'm just trying to understand. If everyone made it back, which I assume they did, then that means control, and if we didn't build the control, who did?"
Simmons,Just stop it!
Fitz,I don't know why you won't just tell me!
Young Simmons,I don't want to!
Fitz,Jemma?
Young Simmons,"I don't want to tell you, and you can't make me!"
Fitz,J-J-Jemma? Hey... No... Hey! You've got to be joking me.
FItz,"This... is madness. Jemma... I'm starting to play back what's-her-name's speech, and I don't think our minds are the key to unlocking this prison. I think our minds might be the prison."
Enoch,It could kill them.
Atarah,"You say the human mind is a powerful thing. Well, now we have two of them put together. Let's see what they can do."
Fitz,Okay. Don't... Don't be afraid.
Young Simmons,I'm not afraid. I'm observing. From a distance.
Fitz,"Well, you're just destined for the sciences, aren't you?"
Young Simmons,I'm going to be a biologist and study cuttlefish. They can change their skin colors with chromatophores.
Fitz,"You're gonna do a lot more than that. Do you know who I am? Well, then, you know that I'm a friend, so why did you run away? Why did you come here?"
Young Simmons,"This is where I learn the stars, memorize my chem tables, and work out problems in my head."
Fitz,What kind of problems in your head?
Young Simmons,"All kinds. My dreams float up to the stars, and my troubles are locked up tight in the music box."
Fitz,"Well, that's a nice little system. Is there anything troubling you now?"
Young Simmons,This one! Read me this one.
Fitz,"You... Okay. You want me to read you a bedtime story? You know, I-I think I should probably take you out of here, because this might be the madness that she was talking..."
Young Simmons,Daddy! The strange man in my room wants to abduct me and take me...
Fitz,Shh-shh... Shut your... Shhhhhh. I'll read you the story. For the love of Pete...
Young Simmons,It's about a boy and his imaginary friend that are lost in the stars.
Fitz,"Is it, now? What's it called? That's not a good book. That's a bad book... Bad story, very poorly written. Okay, I don't think it's safe here. We should get you out now. I'm sure your daddy will understand. What is wrong with you?"
Atarah,I am functioning optimally. You're the one who is avoiding the task at hand.
Fitz,"Oh, I'm sorry. I was just... I was just figuring out that you put us in a mind prison and you lied to us about it!"
Young Simmons,I don't like it here.
Atarah,Then figure your way out.
Fitz,She's 7.
Young Simmons,And a half.
Fitz,"Okay, return Simmons back to her adult age, please."
Atarah,"If she has regressed, it is in her search for answers. Perhaps they are the answers I seek."
Fitz,"Hey! No, missy. We do not play with that. Okay. Yeah, no, that's... That's not normal or helpful. You're messing with our minds. It's extremely dangerous."
Atarah,"The most powerful tools always are. So, if you plan on surviving, I suggest focusing your energy in a more productive way."
Fitz,I mean... Cool.
Enoch,"Fitz is not wrong. Using the cerebral fusion machine on humans is high-risk, unethical."
Atarah,Chronicoms have used this technology to great effect. There is no better way to mine the data of separate minds to solve the problem at hand.
Enoch,But humans have emotional problems. Don't you understand?
Malachi,You seem to be developing some of your own.
Atarah,"We've lost our home, Enoch. - We are fighting for our very existence."
Enoch,"And must be at our best. But if Fitz were here, I believe he would say you are being the absolute worst."
Fitz,"You are being, without a doubt, the supreme, absolute worst!"
Young Simmons,You are a butt face!
Fitz,"Oh, that's charming. What is that? What are you hiding? Give it!"
Young Simmons,No! It's our escape plan.
Fitz,Give it now! What is it?
Young Simmons,Mononitrotoluene.
Fitz,"MNT? As in a precursor to TNT? This is a representational space. There's nothing to blow a hole in here, except the side of your brain. You're better off cooking up some cocaine or unicorn tears."
Young Simmons,I don't have a memory of either of those things to pull from. My supplies were limited.
Fitz,How are you with spectral theory or eigenvalues?
Young Simmons,I'm still learning integrals.
Fitz,"Oh, are you? Well, it looks like someone's only gonna have two PhDs by the time they're 17, doesn't it?"
Young Simmons,"Time travel is science fiction, stupid!"
Fitz,"Oh, grow up! You're the one that said it was possible, you littl... Mm. Grow up. Just literally grow up. This is an adult problem. You and I are supposed to be unstoppable. Well, if you won't help me, I could turn to somebody else, couldn't I? I could imagine anything I want in this room. I could boot up an LMD. Maybe AIDA. She could really handle the computations..."
Simmons,Don't you dare.
Fitz,Ha! I knew that would get you back.
Simmons,Reboot the robot that locked us in our last mind prison?
Fitz,You're back. Good. Don't be mad.
Simmons,She was the most destructive force in our life. Why would you think that would be a good idea to bring her in here?
Fitz,"Oh, I'm sorry that I was childish. It's just last time I asked you about the future, you turned into a 7-year-old and you hid under your bed!"
Simmons,Don't need a shrink to tell us that means something.
Fitz,What are you so afraid of?
Mack,Jemma.
Fitz,Mack.
Mack,He's here. They brought him home.
Fitz,It's good to see you.
Simmons,"Please, not this memory."
Mack,"If you're ready to see him... Either way, we understand."
Fitz,"What's going on, Mack?"
Simmons,"No, wait. Don't, um... I don't want you to see... Just let me explain first."
Daisy,We can't... We can't just leave him like this.
May,We're here for him now. Preparations are being made.
Elena,Are they gonna tell his mother?
Mack,Simmons has reservations.
Simmons,No one knew what to say to me. And I didn't know how to tell you.
Fitz,How is that possible?
Simmons,You said there would be paradoxes. This was one of them.
Mack,"Simmons needs to say goodbye. This isn't healthy. She... We need to do something... Um, have a service, something."
May,We will. But what if she's right?
Fitz,"So, I made it to the future, and then I made the journey back?"
Simmons,It was a loop of the end of the world. And you died to help break it. You died a hero.
Fitz,I think I'm gonna pass out. Did... Did they... Did they understand?
