character,line
Gambler,"I appreciate the offer, darlin', but I ain't cut out for a crew. I'm not really a joiner."
Izel,That's too bad.
Gambler,"But don't let it spoil what we got going on here. Because this kind of magic, unh-unh, it is not on the menu at the brothels on Kitson."
Fitz,What the bloody hell does that mean?
Simmons,We're back where we started.
Fitz,On godforsaken Kitson. Enoch... what was the idea here?
Enoch,"Apologies. It was my first attempt at using an Inter-Planetary Conveyance Disc. It seems to have returned us to its last location. But not to worry. I'll make a quick adjustment, and we'll be on our way. Sir. That device is quite sensitive, requiring the utmost..."
Fitz,You cannot be serious.
Enoch,"It appears we are stranded. Again. An unfortunate circumstance, as we are still wanted on this planet."
Fitz,"Well, thanks for that update, Enoch. You know what? You have betrayed us, then you saved us, and now you've stranded us. If I didn't know any better, I would say that you're malfunctioning, you useless, no-good automaton."
Simmons,I want to go home.
Snowflake,"Such a long way down and no one's talking. She head-butted my face, but I still like her."
May,Put the chatterbox down in holding.
Sarge,See you soon. Don't let the fire go out.
Snowflake,Never. Byeeeeee!
Daisy,I guess now would be an awkward time to hug.
May,Yeah.
Sarge,"So, this lady was in love with this dead Coulson guy. Anyone else have a thing for him?"
Daisy,"Yeah, I'm... Uh, this is too much."
Sarge,"Her, too, huh? Daddy issues?"
Deke,See? What did I tell you? This guy's such a tool. There's no way he's the real Coulson.
Mack,"Yeah, thanks Deke."
Sarge,Everyone seems to have a lot of feelings around here.
Mack,"Well, maybe it's time you start to share."
Sarge,Ask this one. She can bring us all up to speed.
May,He says he's over 100 years old. He's hunting creatures called the Shrike. Their creator is coming. Earth will be destroyed. Possibly by Sarge. That cover it?
Sarge,Yeah. Kinda does.
Mack,You forgot the part about stabbing the humans these Shrike go into.
Elena,"We tried to remove one from a host, but it was still alive. Went into Agent Keller. He didn't make it."
Sarge,Sounds like you took my blade out too soon. The Shrike take time to die. That one's on you.
ELena,You don't care about the death you leave behind. Maybe I should teach you.
Mack,Easy.
Sarge,"I guess you're the one in charge. So, here's the thing... You need to let me go or everyone dies."
Mack,Is that a threat?
Sarge,Just a fact.
Mack,"Noted. But you're staying. You and I are gonna get to know each other, just the two of us. Take him away."
Agent,Yes Sir.
Mack,"When you've cooled down, I want you to take another shot at Jaco. Maybe he'll start talking now that we got his boss."
Elena,Yes... sir.
May,I'm sorry to hear about Keller. Looks like a lot happened while I was away. Daisy's come back. Anyone else?
Mack,"Well, Simmons is still out there, but... ...she found Fitz."
Enoch,Well done. We must continue to pose as enthused observers until the way is clear.
Simmons,Come on! Take the prize. Yes. Whoo-hoo.
Fitz,"Cool. Very convincing, Jemma."
Simmons,This place is just not as much fun without the... vapor trails.
Fitz,The what now?
Simmons,It's dingier than I remember. But I don't remember much.
Fitz,"In my experience, this establishment is good for one thing... Trouble."
Simmons,Waves of Euphoria.
Fitz,"Wait, what? Waves of w-what? What does that mean? Is there something you're not telling me?"
Enoch,The exit is clear. Time to go.
Man,Mr. Kitson was hoping you'd return. He'll be so pleased to see you. Lock them up.
Elena,"That doesn't sound good. You weren't breathing like that when they brought you in. This silent routine of yours, if it's to protect your boss, you don't have to keep doing it. He's locked up, too."
Jaco,Sarge is here?
Elena,He finally speaks. You all are gonna be here for a while. Might as well talk.
Jaco,You need to let him out.
Elena,So he can cause more pain?
Jaco,"Look, my planet was like yours once. Beautiful. Smaller moons, bigger sun. A place to live a life."
Elena,Family.
Jaco,"Big one. All boys. Eight of us. My youngest brother, though, we were always together."
Elena,He looked up to you?
Jaco,No. I was the runt of the litter. He towered over me. But I trained him.
Elena,"For what, to be a fighter?"
Jaco,A baker. The family trade. Hard work and good smells.
Elena,What happened to them?
Jaco,All gone. Fertilizer. Except for me. Thanks to Sarge.
Elena,Let us get you some kind of medicine to help you breathe.
Jaco,Depends. Are you gonna release him?
Elena,Definitely not.
Jaco,Then I don't want anything from you.
Elena,Suit yourself.
Sarge,I've been through this routine before. You're not ready to hear the answers.
Mack,Indulge me.
Sarge,You don't have time to spare. It's a nice little planet. Be a shame to lose it.
Mack,Why don't we start by you giving me your real name?
Sarge,You can call me whatever you want.
Mack,Hmm. I'll call you a murderer. You shot one of my Agents point blank. He was just a kid.
Sarge,Who got in my way.
Mack,"And I know that once you're on a planet, it doesn't survive. I've seen the footage."
Sarge,"It doesn't have to come to that, but it will if you don't open that door."
Mack,You're talking about this Shrike creator that's coming. You told May it's a monster.
Sarge,"Yeah. Or to you, a god."
Mack,S.H.I.E.L.D.'s dealt with a lot of folks who thought they were gods. Just had egos. There's only one God.
Sarge,"Oh, I see. This is that kind of planet. One God controlling everything. Benevolent, right? To make you feel all warm inside when times get tough?"
Mack,It's not that simple.
Sarge,"Whatever your fairy tale, I've seen gods up close, and I think you're gonna get that opportunity, too. Believe me. You're not prepared for this."
Mack,I'm prepared to protect my people from whatever's coming.
Sarge,Your people? Hmm. They keep looking at me. You might want to get used to that.
Mack,And why's that? Because by the end of the day... I'll be the one in charge.
Daisy,Check the scoring on the engine housings. We hit some bumps on re-entry.
Agent,Yes Mam.
Daisy,Thanks.
Deke,Hey.
Daisy,Hey.
Deke,"I just wanted to check in, you know. The weirdness with the Coulson... whatever. You good?"
Daisy,"Yeah, I'm good. How are you? How's the stab wound?"
Deke,"Oh, I'm... I'm fine. The guy just nicked me, so..."
Daisy,Hmm.
Daisy,Nice shoes. You picked up some style in the past year. You look good.
Deke,"I mean, they're vintage ‘88 Jordans. Never worn, super rare, so, you know, I guess they're cool, but... And Jordan... I mean... are you kidding me? Like, what a guy."
Daisy,"I mean, you know who Jordan is, right?"
Deke,Do I know... He changed everything. He's a revolutionary. ‘Cause he... invented shoes.
Daisy,Yeah.
Deke,"'Cause the thing about innovators, you know... I don't know if we're born or we become, but it's... It's usually stuff that the Herd just isn't really ready for. It's like I tell VCs, you know, sometimes you just got to surf that Paradigm Shift."
Daisy,What?
Deke,"Oh, no, you... You probably don't know. Uh, I'm... I'm super rich now."
Daisy,"Like, real dollars?"
Deke,"Yeah, I started a company."
Daisy,"What did you do? Like, uh, invent a new body spray or something?"
Deke,Yeah.
Daisy,Cool.
Deke,"No. No, no. I-I-I started a tech company, silly. That's... You know, you were actually... a really big inspiration. You encouraged me to go out there and figure out what the world was all about. Well, it turns out that the world is all about making money. And old Deke is very good at it."
Daisy,You're doing the... The third-person thing? Okay.
Deke,"Listen, forget about me. I-I want to hear more about your space adventure. You and Fitz-Simmons were poking around the galaxy for the last year, and grandma and grandpa are still in space, so that's cool."
Daisy,What have you been told?
Deke,"Well, Mack was pretty cagey with the details... You know, the Director and his secrets, so... Fill me in."
Daisy,"I mean, it's a long story, but the detail that counts is that we found him. We found Fitz, so..."
Deke,Found Fitz? What are you talking about?
May,This is the gear from Sarge's truck.
Mack,"You know, we got to start calling him something else."
May,"Didn't tell you a name, either, huh?"
Mack,"No. We're in the dark on all this, as well. You know, except for the blades and this tracker. If we can get past the encryption on this, then we can find the Shrike and save the hosts."
May,Has Sarge given you anything that might help with that?
Mack,No. Just evasion and mind games.
May,Maybe play some of your own.
Mack,I'm open to ideas.
May,He was curious about Coulson. I don't think he knows any more than we do about why they look alike. Maybe there's something you can use there.
Deke,Why didn't you tell me?
Mack,Might want to give us a minute.
May,Gladly.
Deke,"Fitz died. He died, and no one was gonna bother to, I don't know, send me a text?"
Mack,It was complicated.
Deke,"Yeah, no kidding. Besides the fact that this completely proves my entire multi-verse theory, 'cause I'm still here, there's a second Fitz! And... And you sent a team out to find him, and you didn't tell me that, either?! That's not complicated. That just sucks!"
Mack,It was the call made at the time.
Deke,"Well, maybe you shouldn't be making the calls because that was a bad one."
Mack,It looked like you had other priorities - besides being a part of this team.
Deke,"Oh, this team? You mean the team that I helped bring back from the dystopian future?"
Mack,"Yeah, you did that. Then you left."
Deke,I would've gone on the mission to help you find him.
Mack,"I believe you. And if we can get things settled here on the home front, you'll get your chance. 'Cause I'm gonna pour every resource we have into getting back out there and bringing them home. But... until then, I need someone smart enough to fill their shoes. Maybe you can put that Google-sized brain of yours to work and help crack this tech."
Deke,"What, are you trying to flatter me?"
Mack,Absolutely.
Deke,Well... totally worked.
Snowflake,"Poor Jaco. It burns, but it's worth it."
Trevor,The Director wants to see you.
Mack,Must be strange looking at the real deal... when you're just a knockoff.
Sarge,What did you think this would do to me? You trying to make things personal?
Mack,"Well, I think you have to be a person for that to happen, and I don't know what the hell you are. Do you?"
Sarge,It's going to be satisfying when I take you out of the picture.
Mack,"Now, this man taught me what S.H.I.E.L.D. was about. You do the right thing. We save lives. We don't take them."
Sarge,"Some lives have already been taken, and you can't get them back."
Mack,"See, that's the difference between you two right there. Coulson put a value on life. Especially cared about those who were loyal to him. I don't think you do. 'Cause I know your man Jaco isn't well. He's refusing medical care out of some misguided loyalty to you."
Sarge,What's your point?
Mack,Cooperate with us. Maybe Jaco will do the same. Agree to some treatment. You can help him by helping us.
Sarge,Jaco's seen a lot. Maybe he's had enough.
Mack,"That's what I thought. Just another life, right? Not worth anything to you."
Fitz,"What kind of person looks at himself that much? A bit tacky, this Mr. Kitson. Portrait of himself and everything."
Man,"That is his grandfather, the first Mr. Kitson. He was a great man."
Kitson,"Ah, he was a son of a bitch. But you have to be when you've got ambition. My grandfather came to this planet with 20 Yookalian slaves and a dream."
Fitz,That's inspiring.
Kitson,"He built this planet's original settlement with their bare hands. A few ramshackle modules for his games, a small dome for his brothel, and then he kept building so that I, son and grandson of Kitson, would one day have an empire. And you put all that at risk. Using a synthetic to cheat. Bringing bounty hunters in to wreak havoc at my house of games."
Fitz,We just want to go home.
Simmons,Surely a decent soul like you can understand. Somebody who's so proud of his own home.
Kitson,Decency doesn't put food into the mouths of my wives. No. I'm a gambler. And I'm also a man who will deal out a punishment.
Fitz,"Okay, okay. Just... There's no need for that. We can work. I'm an engineer."
Simmons,"Yeah. We both know alien languages. I'm a botanist, a chemist..."
Fitz,"Yeah, and Enoch, here, is a... super-advanced computer."
Simmons,"Yeah, so..."
Fitz,"So, we can be of use."
Simmons,Yeah.
Fitz,There's no need to kill us.
Kitson,Killing you is the use I have for you.
Fitz,Is it?
Kitson,Killing a synthetic is a wasted sport. He'll be sent to the brothels.
Enoch,I do not know what I am feeling.
Kitson,You know what? I have something very special in mind for you Terrans. Hope you're not too attached to your heads.
Simmons,"After everything, this can't possibly be how we come to an end. No one would believe it."
Fitz,I would.
Gambler,"House always wins, don't it?"
Kitson,"Are you ready for a deadly game... from the early days of Kitson? Three contestants put their lives in the balance. Now, who among them is strong enough to keep their blades from falling? Blades made from Veroovian steel... The densest metal in the galaxy. The player that cannot hold the weight, will decapitate. The bets are in! Let the fun begin!"
Kitson,Who will be the first to die? The scoundrel who tried to steal my most coveted brothel worker?
Gambler,Guilty as charged.
Kitson,Or will it be one of the Terrans? Criminals wanted for nefarious intergalactic deeds.
Gambler,"If I get out of this, I could use the company of a pretty lady."
Fitz,Hey! Hey! Hey! Knock it off!
Simmons,"Fitz, don't!"
Gambler,"Fitz, dooo."
Izel,I want the Terrans.
Kitson,What? Who are you?
Izel,"Your man makes a move, this blade goes in straight, comes out sideways."
Kitson,The wagers have already been made. You can't just stop the game.
Izel,I'm not asking you to stop the game. Just pick the loser. Everyone knows that the games of Kitson are rigged.
Kitson,"That's an outrageous assertion, my grandfather helped build..."
Izel,I know you've got that little button clutched in your hand.
Kitson,"Okay, fair enough. But you can't just expect me to give them to you."
Izel,I didn't ask that. I'll buy them.
Kitson,Why?
Izel,That's my business. I understand yours is to make a profit. I'll compensate you fairly.
Kitson,Okay. Okay.
Gambler,Damn.
Izel,Compliments on the choice.
Kitson,"The Terrans have prevailed in an upset. Another example that in my House of Games, anyone can be lucky."
Izel,You look like you could use a drink.
Mack,I know your head's spinning.
Daisy,I'm fine.
Mack,"It's a lot for everyone, but I... I know what Coulson meant to you..."
Daisy,"Seriously, I'm good. We've seen our share of freaks. I mean, at this point, nothing should surprise us."
Mack,He's a match. Same DNA as Coulson.
Daisy,That's not him.
Mack,I know.
Daisy,"Plus, I-I have other things to worry about. I mean, Fitz-Simmons."
Mack,"Dude, you got to let them fend for themselves for now. Simmons made that choice for us, and truthfully, I need you here with me."
Daisy,"Well, I mean, it seems like you have everything handled, Director. I mean there's a reason all those hands went up when I put it to vote."
Mack,"Yeah, thanks for doing me that favor. But, uh... things change when you're... You're actually running the show."
