character,line
Boyle,"It's not gonna work. I'm telling you, this bucket of bolts will never survive a hyper-jump."
Toad,Y-You'll... You'll turn us all... all into space dust.
Izel,"Fitz, is that true? You served time on this ship."
Fitz,"Yep. There are risks. He's right. But... this ship is solid. Survived two Karbona solar storms. So, if I had to bet, I'd say the odds are even."
Izel,Good enough. Prepare to jump.
Boyle,What?! Those are terrible odds! You're making a big mistake!
Izel,Remove yourself from my bridge.
Simmons,The odds aren't very good.
Fitz,"Yeah, well... they never are, are they? So... we can either roll the dice and hope for the best or... we can spend the rest of our lives on the run, light-years away from home."
Simmons,Well... I'd be happy with you anywhere. But I am sick of space. Get us the hell out of here.
Simmons,Home.
Sarge,"If you don't stop wasting my time, you're gonna lose your planet."
Mack,That's what you'd like us to think.
Sarge,"We had a deal, Mack. My truck and my crew. Now."
Mack,"You'll get them. But first, I need to know what your plan is."
Sarge,My plan is to stop it.
Daisy,"The end of the world? Yeah, been there, done that."
May,How can those Shrike creatures destroy an entire planet?
Elena,They'd have to infect everything.
Sarge,"If there's enough of them, they will. They're paving the way for their Creator. You saw what happened on Chronyca-2. That was because we got there too late. Keys. I'm not asking again."
Mack,I'm sorry. I'm not very fluent in “vague.” You'll get your keys when I get some answers. Now show us.
Sarge,"The Shrike... their hosts are gathering at this location. That's where the Beast will appear. When it does, I need to be there."
May,A beast?
Elena,What happens when it appears?
Sarge,I kill it. Keys. Now my crew.
Mack,Agents May and Johnson will be going with you.
Sarge,I said my crew.
Mack,They're your crew now. You can have one of yours.
Sarge,Forget it. No deal. I'll just stay here and watch your planet die.
Mack,"You're more than welcome, but I don't think you came all this way just to lose again."
Sarge,Give me two.
Mack,You get one. The others stay here.
Sarge,How long are we gonna do this?
Mack,"I need an insurance policy ‘cause I'm pretty sure you'll be willing to leave one behind, but not two."
Sarge,Insurance?
Mack,"Yeah, to guarantee you come back. And when this is done, you and I are gonna have a very un-vague conversation about who you are and where you're from. Now pick one."
Sarge,"Make yourselves useful. I'll take that. No, on second thought, just stay out of our way and don't touch anything. You two... out. We'll handle this. So... we all gonna get along?"
May,You're in charge. We're just here to help.
Sarge,"Okay, well, I know what you do. You just kinda glare all steely-eyed like that and then beat people senseless. What about you?"
Daisy,I'm a hacker.
Snowflake,Like... you hack off limbs? Chop people up?
Daisy,No. I hack computers. It means I-I know how they work.
Sarge,"Oh, well, that'll come in handy exactly zero times on this mission. Can you handle weapons? You good in a fight?"
Daisy,I can... handle myself.
Mack,You ready to go yet? You got everything you requested.
Sarge,Just need one more thing. You off my truck.
Mack,Oh. Well... You're in charge.
Sarge,"I keep hearing that, but am I? I don't want any more surprises. This mission depends on stealth."
Mack,"We'll stay on the base. You got my word. But in the meantime, we'll be standing by, ready to fly if you need us."
Sarge,"I won't, but... Damn it! This is why I need my crew. Pax is the only one who can fix this."
Mack,"Well, you picked Snowflake. Now, what is that?"
Sarge,It was designed to keep the Shrike away. It emits a sonic pulse or something. It disrupts their equilibrium. It... It confuses them.
Daisy,Shrike repellant?
Sarge,"Call it what you want, but without it, they'll be all over us. I need Pax."
