character,line
Elena,Six minutes till impact.
Man,We're evacuating civilians from the blast zone radius.
Diaz,Local law enforcement is on standby.
Mack,Tell me they can slow down that truck.
Diaz,Negative. No units in range.
Mack,"All right, Davis, how close can we get to that rig?"
Davis,Not very. The Zephyr's too big. Our wake could topple them.
Elena,What about the Quinjet?
Mack,You think you can extract them in time?
Elena,Trust me. That's what I do.
Mack,All right. Go ahead. Prepare the Quinjet. You heard the plan. Get in range until Yo-Yo can deploy.
Davis,"All right, copy that."
Mack,"After all this, Sarge is making a sacrifice move. It doesn't add up."
Davis,He doesn't sound like someone who would play the martyr to me.
Mack,"Yeah. So, what are we missing?"
Sarge,"Jaco and I will take the bridge. Pax, you lock down the engine bays. Then we get this ship out of here before the warhead blows."
Pax,Sounds great. Except for the glaring flaw in the plan.
Sarge,Enlighten me.
Pax,That fast lady... how are we supposed to stop her?
Jaco,"The girl with the mechanical arms can achieve abnormally high velocity, which can be an abnormally large pain in the ass."
Sarge,Come on. How long we been doing this?
Pax,Shelter charges. I haven't seen these in a while.
Sarge,"Once the field goes up, nobody gets in or out. Doesn't matter how fast."
Jaco,"Careful, Pax. These things run hot, remember?"
Pax,"Remember? That image scarred me for life. I mean, not as badly as the guy who got his face fried off, ‘cause he's dead, but still."
Jaco,What about Snowflake?
Sarge,"Sorry, Jaco. She couldn't make it out in time. But we owe it to Snow to see this through. so... what do you say we go get ourselves a new spaceship?"
Jaco,She'd like that.
Simmons,We're five minutes out. How's it going with the comms?
Fitz,"Swimmingly. Couldn't be better. Been at this for hours, and I still can't transmit a signal."
Simmons,All right. We'll keep trying. We may have better luck closer to the... Fitz. I found the crew. Gathering silently. Staring into the middle distance.
Fitz,That's not normal. To... state the obvious.
Simmons,Are they infected? Some... alien microorganism?
Fitz,Maybe it's one of your little puff parties.
Simmons,"Nah, I don't think so. They lack joy."
Fitz,"Well, whatever that is, we cannot let that reach Earth."
Simmons,"Pathogen or parasite, before we land, we'll have to try to determine the cause and the... I think I found the cause."
Izel,Ready for arrival?
Simmons,"Can't wait. Izel, d-does the crew seem to be feeling okay?"
Izel,"Well, they're not feeling anything. We agreed that these rogues were all mindless fools, right? So I gave them a higher purpose."
Simmons,How generous of you.
Fitz,"What... What purpose do you mean, exactly?"
Izel,"Are you afraid you're gonna end up like them? Oh. No, I wouldn't dream of it. You underestimate your value."
Simmons,More than you've already paid?
Izel,You have no idea how rare it is to find intelligent beings like you in this galaxy... someone to talk to who sees the possibilities. Which is why I need your Terran expertise.
Fitz,Earth... has possibilities?
Izel,Wait until you see what we've built on your planet.
Deke,"Just because I'm at the top of my game doesn't mean I can defuse alien explosives. I need more time, okay?"
May,Three minutes till collision. How's it looking?
Daisy,Like we have three minutes to live.
Snowflake,"Everything's fine. My consciousness will melt into the cosmos, I'll merge with the infinite..."
Deke,"Babe. Babe! Babe, babe, babe, babe, babe. Let's... Let's not talk about the infinite right now. Let's just talk about this bomb. So, what do you know about that?"
Snowflake,"Nothing. Just that the slightest impact causes it to split the tiniest unit of matter in half, which makes a big noise."
Daisy,That's an atom bomb. You just described an atom bomb!
Snowflake,I hear it's pretty.
Daisy,Do you know what that means?
Deke,It means I'm in over my head.
May,"Okay. Deke, focus. You've reverse-engineered alien garbage your entire life. I need you to not screw up right now."
Deke,But this could vaporize entire cities!
Daisy,"Hey! Look at me, okay? This is very hard, but if there's anyone who can do it, it's you."
Deke,"Deke Shaw. Yeah, you're right. Okay, Deke. Time to dazzle. Time to dazzle."
Davis,"Okay, Rodriguez is clearing the fuel line. Quinjet's set for detach."
Mack,"Agent Diaz, I want you to take the controls. Get there fast. Now, remember, don't attempt to do any..."
Diaz,Unh! Unh-unh.
Sarge,Let me guess. You didn't see this one coming.
Mack,I knew you had an exit strategy.
Sarge,"Be thankful. In a few moments, the threat to your planet will be vaporized and we'll be flying away, sitting pretty. Just a precautionary measure in case your fast friend tries anything stupid."
Sarge,"And this is in case you try anything stupid. So, here's how this is gonna go down. You make sure your crew follows my orders, and if not, I put her out of her misery. Simple, right? Now turn this ship around."
Mack,Agent Davis... get us out of here.
Deke,I can't do it. I can't do it. This is happening.
Daisy,You said it was time to dazzle.
Deke,I'm sorry. I tried.
Snowflake,"Actually, I'm not fine. I am not fine at all."
Daisy,Well... that worked.
Deke,"We did it! We're still alive! Free spa day for everyone, on me!"
May,Hey. We're not out of this yet.
Deke,"Oh, buzzkill. No shiatsu for you."
Daisy,We're still stuck with a live nuke and whatever else is out there.
May,And imagine what happens when Sarge notices it didn't go boom.
Sarge,What just happened? Why the hell didn't the bomb go off?
Jaco,Did you remember to calibrate the firing rod to the new telemetry?
Sarge,This is not my first warhead.
Izel,"It's been destroyed. We're in danger. And now you are, too. Were you aware that my tower would be attacked?"
Fitz,"No. Hey, a-absolutely not. We... We have no idea what's happening on Earth."
Izel,Perhaps I overestimated your intelligence.
Simmons,"Wait. We... We don't know what happened on the ground, but we have friends who will help."
Izel,I don't think you understand the consequences if they cannot.
Simmons,I promise. We just need a few more minutes with the comms.
Fitz,Yeah. Then we'll be able to reach them.
Izel,Make contact. Now. While you can still talk. Take us to the upper atmosphere. Either Earth is more hostile than I thought or he's already here.
Sarge,"No, no, no, no!"
Jaco,"She's getting away. Damn it! Set a course for that spacecraft. I'm in charge, and I can quiet any doubts you have about that real quick. Now follow that ship."
Pax,Yaaah! Nnh! You're too late. We've taken the bridge.
Elena,Then I'll take it back.
Pax,"We've already thought of that, sweetheart."
Mack,"Hang in there. As much as I want to stop that ship, maybe we should regroup with our people on the ground first."
Sarge,Stay out of this.
Mack,"It's not just my team. Snowflake's down there, too."
Sarge,Maybe you don't get how this works. You're the hostage. So shut the hell up until I ask you to talk.
Jaco,Maybe it's not a bad idea. We could use Snow's help.
Sarge,Not when we're this close. What do we always say? No one slows us down.
Jaco,You say that. Snow's not “no one”. She's been with us for years.
Sarge,"And we've been chasing Izel for longer. Snowflake knew the risks, and it won't make a damn differ..."
Sarge,Don't take the bait.
Pax,Don't take the bait?
Sarge,No one slows us down. Go handle her. No one slows us down.
Daisy,What a mess.
May,"Yeah, I know. They should've strapped more of this gear down."
Daisy,"No, I'm talking about them. I don't know which one has worse taste."
May,She's a serial killer. We need to get that nuke away from civilians. Let's get the lay of the land and check for hostiles.
Daisy,Yeah.
Snowflake,I'm sensing a lot of negative energy out there.
May,Insightful. Thank you.
Deke,You can probably guess what this means.
Daisy,That you have one less thing in development?
May,"Snow, without that repeller, how long can this trailer hold them off?"
Snowflake,I don't know. We never stick around long enough to find out.
Fitz,"This is all I can think to do, so if this doesn't work..."
Simmons,Then I suppose we'll find a “higher purpose.”
Fitz,Ever the optimist.
Simmons,Funny what a year of space travel does to you.
Fitz,"In that year, did anybody change the distress code?"
Simmons,Thankfully not.
Izel,How much longer?
Fitz,Yep. One moment.
