character,line
Simmons,My God. Coulson.
Fitz,That is uncanny.
Mack,That's not our guy. Remember that. But do what you can anyway.
Simmons,"We'll keep you updated, Director."
Mack,Is she here?
Diaz,"Yeah. Won't talk to us, though."
May,No need to ask. I did it. I shot him.
Mack,Why?
May,Because it had to be done.
Daisy,"What the hell, May? Really? You're gonna shoot a guy in holding and then just go silent? Silenter."
May,Do you even know what he is?
Daisy,"No. But I do know what he's capable of. He left our team and 100,000 innocents to die. I know that he is definitely not Coulson..."
May,"No, he's not."
Daisy,"That he deserved it. But I also know what you are, and “vigilante” is not on the list. T-The face..."
May,His face has nothing to do with it.
Daisy,"I know it rattles you. It messes with me, too. But this is not what we do. This is extreme."
May,It was time for extreme.
Mack,"May's been out of sorts since he showed up, had him in her sights."
Elena,She said she wanted to kill him.
Mack,"Well, I can't blame her, but I still have to hold her accountable. I mean, this is... Well, did she crack? I don't understand."
Elena,"I understand wanting to prevent future suffering. She's done it before, and she's not the only one."
Mack,"I know. But this man was in custody. May was my right hand these last few months. I thought I was finally getting to know her. I'm gonna look at the security footage. You let me know if anything here changes, okay?"
Piper,I just heard what happened. I don't believe it.
Elena,"No, I don't believe it, either."
Fitz,Got ‘em. Not that it'll make much difference at this point.
Simmons,Thank you. We'll take it from here. Okay.
Fitz,"The resemblance is disturbing. Is it freaking you out, how much he looks like Coulson? ‘Cause it's freaking me out."
Simmons,"Well, that. But also this."
Fitz,Wait. He has a pulse? That is insane. He was shot four times. He lost practically all of his blood. Why is it taking him so long to die?
Simmons,"No, you don't understand. It's getting stronger. He's coming back."
Fitz,What is he?
Elena,Did she give you an explanation?
Daisy,"Yeah... Sarge, not a fan."
Elena,Can't blame her.
Piper,"I mean, he did kidnap her."
Daisy,And locked us in with a nuke.
Elena,Killed agents in cold blood.
Piper,"Well, and he has Coulson's friggin' face. I mean, that can't be easy for her."
Daisy,The world's better off without him.
Elena,But why a gun? May doesn't like guns.
Daisy,She'd beat him to a pulp in a heartbeat.
Elena,And she'd enjoy it.
Piper,It'd be fun to watch.
Elena,But an unarmed man in a cell?
Daisy,"Even if you weren't a fan, you wouldn't..."
Piper,It's a duck in a barrel. I-It's not her thing. We've all trained with her.
Elena,She wouldn't use a gun.
