character,line
Flint,How'd I get here?
Elena,Dios mío.
Mack,Flint. It's gonna be okay.
Flint,Wh-What's going on? This is... This isn't the Lighthouse.
Mack,"No, it's not. It's good to see you, but..."
Flint,You have no idea. I never thought I would.
Mack,But you gotta get outta here.
Flint,Who did this?!
Izel,He's just a boy.
Flint,You lock up my friends?
Izel,Friends. Yet they fear you. Why?
Elena,Stay away from him!
Mack,"Flint, don't let her get close to you."
Flint,Let ‘em go. You have no idea what I can do.
Elena,Flint. Don't.
Mack,"Stop, Flint. Stop. Stop!"
Izel,You're special. Like she is.
Flint,Damn right. So let them go.
Izel,"Hm. I thought your friends would bring me the monoliths. Instead, they brought me you. You can build them."
Flint,There's no way I'm helping you.
Izel,I don't need your help. Just you.
Elena,"Flint, run!"
Flint,Let's begin.
Sarge,Rage.
May,That's all you feel?
Sarge,It's the best way to describe it. And you don't want to be anywhere near it when it comes out.
Daisy,"Once we land in the jungle, we'll secure Z1, use it as a base of operations. We go in stealth."
Piper,"So, how do we get Mack and Yo-Yo out if we can't even get close to her?"
Fitz,Now we can.
May,You think I haven't seen something like this before?
Sarge,Doubtful.
May,"Our friend Robbie Reyes had something inside him, not exactly a Teddy bear. He was able to control it."
Sarge,That's my point. I don't know that I can control it.
Simmons,This sends a sonic frequency through the body that will prevent you from being possessed.
Daisy,How many do we have?
Simmons,We're working on...
Deke,I got this.
Daisy,Wow.
Simmons,When did you...
Deke,"If I had another day or two, I could've had them in rose gold."
Fitz,"No, this is plenty. You're like a wizard."
Deke,"Well, I-I picked up a few tricks in the private sector."
Daisy,This is really great.
Fitz,Yeah.
Piper,"Okay, so, Izel can't jump into us, but we have other problems."
May,You kept it in check when Daisy spoke to you. Whatever she did got you thinking straight.
Sarge,There's no thought. Only the rage. And if I see Izel...
May,You'll defeat her. You let the rage out. Then let the other part of you rein it in.
Sarge,It's not as simple as you make it sound.
May,That's why I'll be there. To remind you.
Simmons,Sarge gave us his stockpile of daggers. And we've melted them down to make bullets.
Fitz,"Yeah, the bullets are designed to fragment, so they stay embedded in the Shrike."
Simmons,It's the only way to kill them.
Piper,And Izel? Will it stop her?
Fitz,"We don't know. Sarge has his sword, so he's our best hope."
Daisy,Do you think he's ready?
May,He thinks he is.
Daisy,And you?
May,"I wish we had more time. That demon inside him, if Sarge can use it to kill Izel..."
Daisy,Then it's a good thing.
May,But... after that...
Daisy,You think he won't be able to rein it in?
May,I'm wondering if we can get it out. Maybe we can separate them.
Daisy,We have no idea if it works that way.
May,That part of him he's scared of it. And he's scared because it's not a part of him.
Daisy,So you want to exorcise it.
May,I'm saying if Izel opens this gateway I'll find a way to send that thing inside Sarge back where it came from.
Daisy,You might kill him.
May,"Maybe. But if I see a chance to get Coulson back, I'm going to take it."
Piper,Preparing for descent.
Elena,Flint!
Mack,He's breathing.
Elena,What did you do to him?
Izel,"He's extraordinary but, like all Terrans, weak. Beautiful. They will open the door, and on the other side, they're gathering. They've never seen anything. Or heard a song or tasted your pain. But that will change. Today."
Izel,Bring me an army!
Daisy,Clear!
Sarge,She's not here.
Piper,Yeah. And the Quinjet's empty.
May,Clear.
Piper,Izel knew exactly the right way to cripple the Zephyr.
Daisy,More like Mack knew and didn't have a choice.
Piper,He didn't have to try so hard.
Daisy,"Yeah, this is bad, but it can't be worse than that one time on that one planet."
Piper,"Mm, the smelly one?"
Daisy,The shiny one.
Piper,Nothing is that bad.
May,How quickly can we get Z1 flying again?
Piper,"Faster if we had Mack. Lighthouse, come in. We have Z1."
Simmons,Excellent news. What do things look like on the ground?
Daisy,"We're a few klicks away from the temple, but our vantage point is not ideal."
Simmons,"We have satellites on the move. When we get a visual, we'll guide you in."
Sarge,I'd rethink that. Izel and her Shrike operate on a subset of sonic frequencies. We always suspected she could hear our communications.
Fitz,He's not wrong. We probably shouldn't even be on the radio now.
Daisy,We are off to a great start.
May,"All right, we'll go in dark. Piper, we'll need Z1 ready for extract."
Piper,I'll get to work on it.
Daisy,We're signing off. We'll see you on the other side.
Piper,"Hey, Sarge. Do me a solid? Make sure you end her."
Simmons,"Even going in dark, how are they going to get the cuffs to Mack and Yo-Yo without confronting Izel?"
Fitz,We need to figure something out. Some Some kind of distraction. Something to lure her out of there.
Simmons,How do we know she'd be lured out as herself?
Fitz,"Yeah, we don't."
Deke,What if we could... you know... get past her?
Fitz,Have you got something in mind?
Deke,"It's just something I was working on at my startup. It's tech. I-It... It might not work. I mean, it probably won't. But... it could."
Fitz,"If you know of a way to get past Izel, then... you really are a wizard."
Deke,"Okay, but you promise you won't be mad?"
Simmons,Why would we be mad?
Deke,"Well, ‘cause it's kinda already here."
Flint,"I made those, didn't I?"
Elena,"No, it was Izel, not you."
Flint,"What's she gonna do with them? Something terrible, I'm guessing."
Mack,She ain't gonna use it to feed the poor or heal the sick.
Flint,"Yeah, when I get my energy back, I'll tear ‘em apart."
Mack,Don't worry about that just yet. You got anything left to help us out?
Flint,Yeah. Is Izel the Destroyer of Worlds?
Elena,"No, she's something else."
Flint,"So, it worked. You saved Earth."
Elena,And you saved the Lighthouse.
Flint,Sweet.
Flint,Did those bring me here? Through space and time?
Elena,"No, we, uh we sorta made you with our minds."
Mack,"Yeah, I know. I know. It sounds crazy, but that's what the third monolith does."
Flint,You made me? What does that mean? Am I even real?
Mack,You look real to me.
Elena,We'll take it from here.
Flint,When did you get those? What happened? I feel like I missed a lot.
