character,line
Fitz,May.
Simmons,Not like this. Not by him.
Daisy,"Fitz-Simmons, do you read? We are pinned down. They've breached Zephyr One. Any word back from the temple? Control, do you read?"
Fitz,May's down.
Daisy,What?
Simmons,"Sarge, he he stabbed May. She's gone, Daisy."
Daisy,That's not possible. That...
Fitz,We saw it with our own eyes.
Simmons,Daisy?
Fitz,Comms are offline. And somehow I've been locked out of the system.
Simmons,That's weird. Let me. So have I.
Fitz,All satellites are off-line.
Simmons,This can't be an accident.
Simmons,Get down!
Malachi,Leave no prisoners.
Agent,Stop!
Daisy,You were right. I should've never trusted him. I should've...
Mack,No. It wasn't right for me to judge...
Daisy,"No, don't don't don't do that. Don't you walk it back. I did this. May. This is on me."
Elena,Then make it mean something.
Deke,"Bobo? Bobo, come in. Talk to me. Are you there, Bobo?"
Mack,"Deke, it's good to hear your voice."
Deke,"Yeah, well, I wish I could say the same to you. I'm kinda stuck in the Quinjet right now under siege by a zombie army. I could really use some rescuing!"
Mack,We landed the Quinjet about 200 yards away. Any chance we can reach him?
Daisy,There's no way I can take out that many.
Elena,We're moments away from having to save ourselves.
Mack,"All right, Deke, listen to me. You're gonna have to fly over to us."
Deke,"Hold up, Star Commander. I've got like zero real-world piloting experience."
Daisy,"Taking off is one thing, but do you really think he can land a Quinjet?"
Deke,Do you guys really think this is a good idea?
Daisy,Piloting is mostly automated.
Elena,I feel very confident that you won't die.
Mack,"Look, get to the cockpit, and I'll walk you through the lift-off procedure."
Deke,This is what I get for always letting stupid Trevor pilot in “Remorath Rumble.”
Mack,"All right, look to your right. You should see two red switches. Pull the one on the left back."
Deke,"10-4, good buddy."
Mack,"All right, now pull back on the throttle. You should hear the engine ramp up."
Deke,Oh! Come on!
Isaiah,We've taken command of their operating systems.
Malachi,And the exits?
Baal-Gad,Locked down. It confounds that Enoch would speak of S.H.I.E.L.D. with such reverence.
Malachi,It was a weakness.
Isaiah,One which proved his undoing.
Malachi,Take your men. Follow S.H.I.E.L.D. protocol to flush out all personnel. The technology here is quite primitive.
Isaiah,The human mind has its limits.
Malachi,"Along with its secrets, and we will soon unlock the rest of them. Now go find us the key."
Fitz,"Okay, all right, we just need to follow S.H.I.E.L.D. emergency protocols."
Simmons,Agent Khan's strike team should be waiting for us down on the Staging Floor. What are you doing?
Fitz,Calling for back-up.
Enoch,You have reached...
Fitz,Aah!
Enoch,... the voice mailbox for Enoch Coltrane. I am currently unable to receive your transmi...
Fitz,What if the Chronicoms got to him first?
Simmons,Malachi ordered his men to leave no prisoners. This isn't just an ambush.
Fitz,It's an extermination.
Izel,"What joy, watching you strike her down. How does it feel to be your true self once more?"
Sarge,Long overdue.
Izel,Agreed. You've been held hostage in this vessel for far too long.
Sarge,For centuries.
Izel,Yet here you are. Ready to claim what we've always longed for.
Sarge,A new home.
Izel,It's only a matter of time now that the sign has been sent.
Mack,What about the Standby Instrument System?
Deke,"I'm telling you, all the wiring is in place. What am I missing?"
Daisy,"Deke, are you okay?"
Deke,"Hey, uh, any chance that the problem's the Electro-hydrostatic Actuator?"
Mack,"Yeah, that would make sense. What made you think of that?"
Deke,Just a gut feeling.
Daisy,"Well, can you fix it?"
Deke,"Hey! Don't make me come out there! Yeah, I don't want to go out there. We're gonna have to find another work-around."
Mack,You should be able to re-route power directly to the main engine. There's a hatch in the floor.
Deke,Copy that.
Elena,They cut the door's hydraulic line.
Daisy,"They're dumb, not stupid."
Mack,"We need to reinforce that door. Go, I'll get Deke in the air."
Elena,Okay. Grab this.
Daisy,That's easier said than done. Everything's bolted down.
Elena,Or that.
Fitz,Where is everybody?
Simmons,Agent Khan and his team should already be here. That's the protocol.
Fitz,"They lined them up, and they executed them."
Simmons,"This floor's only used for emergencies. It's a-a verbal protocol, not in the system. How did the Chronicoms even know that people would be gathering down here?"
Fitz,‘Cause you did. They've been inside our heads. Think about it. They put us in that mind prison. They hacked into our brains.
Simmons,They know everything that we know.
Fitz,"Passwords, base layout, S.H.I.E.L.D. emergency protocols every move that we would make."
Diaz,We need to find a way up to the hangar.
Fitz,No. Chronicoms will know our next move. They'll be waiting.
Simmons,"There has to be somewhere to hide that we wouldn't have thought of then uh, something new."
Fitz,Deke's development lab. That floor was empty until a few days ago.
Simmons,Long after we escaped the Chronicoms. Get everyone to the twentyfirst floor. Avoid all emergency exits.
Diaz,Aren't you coming?
Simmons,We're a liability. Go.
Fitz,Now what?
Simmons,"Well, they may be inside our heads, but we can make sure they don't get into anyone else's."
Izel,That look in your eye I've seen it many times before. Just never upon this face.
Sarge,It still feels foreign.
Izel,Give it time. I must confess to having gained an appreciation for this vessel of yours. There is a strength about it which I find enticing.
Sarge,It's a prison.
Izel,From which I freed you.
Sarge,And I'd be grateful for that if you hadn't been the one responsible for my captivity.
Izel,You're wrong!
Sarge,You left me to rot in our world.
Izel,You could not exist outside it.
Sarge,Which is why I sent you to retrieve the Di'Allas. To make me whole.
Izel,Finding them proved much more difficult than we imagined.
Sarge,Or did the glory prove impossible to resist? I should've struck you down when I had the chance.
Izel,"Your words sound petty, as if spoken by the human I shot in the face. The very action that freed you to stand by my side, ready to deliver our people into this world."
Sarge,Call your Shrike back to the temple. Let's give them new life.
Izel,They will arrive once the last of S.H.I.E.L.D. has been put down.
Deke,"Mack, they called their friends."
Mack,All that's left is to reroute that electric input cable to the flight systems.
Deke,Let go of me!
Mack,Is everything okay?
Deke,"Yeah, just a little zombie flare-up, but I took care of it. Okay. Come on, let's get this bird in the air."
Elena,Where did they go?
Daisy,What would be their next move?
Elena,"They can't make it through the engine room, right?"
Daisy,"No. But even if they did, the only other room that they would be able to access is... The armory."
Daisy,I did not know you could do that.
Elena,I don't have to run fast to make things go slow.
Deke,"Okay, that wasn't so bad. I think I'm pretty good at this."
Mack,"Okay, easy there, cowboy. Take-off's pretty much automated. It's the landing where things get a little tricky. It's gonna require a gentle touch."
Deke,"Well, you rest that pretty, little head of yours, because the D's kinda known for that."
Mack,You're about 30 seconds out. Just try to concentrate on...
Daisy,Mack!
Mack,What happened?
Daisy,One of those Shrike things flew into her mouth.
Mack,"No. No, no, no, no, no."
Elena,I didn't see it in time. I'm sorry.
Mack,"No, don't worry. We're gonna find a way to get this thing out of you."
Elena,Doesn't work like that.
Deke,Gentle's not happening! Everybody hold on!
Daisy,He did it.
Mack,I won't lose you. I can't lose you.
Fitz,Framework.
Simmons,Or everything that's left of it. My fear is that the Chronicoms will want brain scans of anyone who went in.
Fitz,Including Coulson.
Simmons,Right. If they can unlock the secrets of Coulson's mind...
Fitz,"Then they'll have all of S.H.I.E.L.D.'s secrets, too."
Simmons,Which is why we're not going to let that happen.
Fitz,"All that research that went into the Framework have to admit, it's kinda sad to see it go."
Simmons,Is that so?!
Fitz,"N-No. That was a joke. ‘Cause, actually, the Framework's... the Framework's just silly, and Radcliffe definitely definitely had a drinking problem."
Fitz,More Hunters?
Baal-Gad,It is all kept on this floor. Keep searching.
Simmons,They're gathering mind tech.
Fitz,Guess we were right to head here.
Simmons,We need to destroy all of it.
Fitz,Couldn't hurt to take a few Hunters in the process.
Izel,"Soon the others will join us. Once the Three open the Temple of the Forgotten, the flood will come. They will finally be free. Free to take form, to know what it is to feel as we do. Hunger, thirst, pleasure."
Sarge,Pain.
Simmons,This doesn't look good for us.
Fitz,"Yeah, I know. I think I'm thinking what you're thinking. We don't have enough bullets to stop them."
Simmons,They're in the hall. This room only has one entrance. To survive we...
Fitz,We need to trigger the explosives remotely.
Simmons,Or set a timer and get out but there is no way out.
Fitz,And we don't have a timer.
Simmons,We just have a trigger.
Fitz,"Yeah. Okay. What other choice do we have, right?"
Simmons,Right. We'll be saving lives.
Simmons,Fitz...
Fitz,"Yeah, I know. Me too."
Isaiah,"Sorry. This must be confusing, best friend. But I had to take bold action."
Fitz,Enoch?
Isaiah,I found that bluffing was much easier if you kill someone and take their skin. There is a second wave of Hunters coming.
Simmons,We'll never survive it.
Isaiah,"I have a strategy that will save your lives and the lives of your fellow Agents, but unfortunately, time is of the essence. We must act now."
Fitz,"Yeah, of course. What?"
Isaiah,This will be the hardest thing you have ever done.
Simmons,I doubt that.
Fitz,"Nothing's ever easy with you, is it?"
Simmons,What do we have to do?
Isaiah,Change the natural course of your lives forever.
Simmons,"Oh, that again."
Fitz,"Yeah, yeah, yeah, yeah, yeah."
Deke,"Now that we're in the air, I'm good. It's just the ground that scares me."
Mack,Just get us close. Crash the damn thing if you have to.
Elena,I can help in this fight.
Mack,You're damn right. We need you.
Elena,"Agent Keller had maybe, uh, thirty minutes before we lost him."
Mack,"No, no! No, we are not losing anyone else today. I'm not losing you. How close are we?"
Deke,I see it. It's just up ahead.
Mack,"Okay, fly right along the eastside."
Daisy,"I'm with him. You're not going out like this, do you understand? We will crush them. And maybe when the Wicked Witch is gone, her flying army will die off, too."
Elena,I don't want to wait to find out. If I turn...
Daisy,We're not having this conversation.
Elena,"Listen to me. If I turn, I need you to take one of those knives and put it right here."
Daisy,It won't come to that.
