character,line
Captain Dole,"Could be any time. When he gets here, just count the dough and let me do the talking."
Officer,"You got it, boss."
Captain Dole,You're early.
Officer,Who the hell are these guys?
Captain Dole,"You boys lost? Gotta be off your nut, walking around like that."
Chronicom,"Captain William Dole. New York Police Department, Fourth Precinct. I'm a sentient Chronicom from the planet Chronyca-2."
Captain Dole,Good for you. Now beat it... before we make you freaks regret being born.
Officer,"I'm warning you. Last chance, pal."
Captain Dole,"Take ‘em, boys!"
Captain Dole,Aah! What do you want?
Chronicom,Your face.
Chronicom,You're early.
Simmons,"He has Chronicom hardware, which makes him our most advanced LMD. So... what do you think?"
Mack,He would want us to consider the ramifications...
Coulson,"Hey, guys. Why is no one talking? Oh, hey. I'm digging the hair."
Simmons,"Sir, you've missed quite a lot."
Coulson,How did we get here?
Simmons,The last scan of your brain was from the Framework. I've done my best to update it with all that you've missed. But you may feel some disorientation as your mind catches up to the present.
Coulson,My arm feels different. It's fixed. Doesn't feel the same.
Mack,"Coulson, take it easy. Let Simmons explain."
Coulson,I don't feel the same. Why?
Simmons,We had to make a tough decision...
Daisy,Because you're an LMD.
Coulson,No. No. No!
Mack,Was that necessary?
Daisy,There's no easy way to say it.
Simmons,"A state-of-the-art life model, enhanced with advanced..."
Coulson,Chronicom hardware. How do I know that word? Why am I... Oh. I died. I died and I came back. Not me. I died and we said goodbye and I came back. I died again and came back...
Daisy,What do we do?
Mack,Fix this.
Simmons,I don't know how. There's a lot of data flooding his mind.
Daisy,"Coulson, I'm here. Okay, so, j-just take a breath."
Coulson,Do I breathe?
Daisy,You are okay. You are okay.
Coulson,"No, I'm not okay. I'm not him. I look like him. Pachakutiq. May, don't! May."
Daisy,That... That was not your fault.
Coulson,"It really is magical, Talbot, Tahiti, who's like us, goodbye... Fitz, oh, God!"
Mack,"Simmons, do something."
Simmons,It's two years of information all at once.
Coulson,"Dying, lying, lying, Lighthouse... Dearly beloved, we're gathered here today... from processing..."
Daisy,Coulson!
Coulson,"A symbol that must carry on... Ghost Rider, take the deal. Take the deal. I'm dead anyway. I'm dead anyway! I'm dead anyway!"
Daisy,What the hell?! You can't do that! You can't just shut Coulson down.
Simmons,"It may be unpleasant, but he needs to go through this. You can't just..."
