character,line
Freddy,Faster! They're gaining on us!
Mack,This boat won't go any faster.
Freddy,You gotta give ‘em the slip.
Deke,"Yeah, and we got to lose them, too."
Mack,I'm going dark. Hold on.
Freddy,"Haha! So long, Coppers."
Mack,Where do we go now?
Freddy,Gotta deliver the goods. Might want to get out of those fancy duds. You kinda stick out.
Deke,This is Deke. Hello? Is anyone there?
Freddy,What's that?
Mack,"Uh, it's like a... telephone. Deke's an inventor."
Deke,Hello? Is anyone out there? Daisy? Daisy? Daisy? Daisy?
Freddy,"Not a very good one, is he? It's gotta be plugged into somethin'."
Deke,"These things suck. They have, like, zero range."
Freddy,It's gotta be plugged into somethin'.
Deke,"Oh, really, wise guy? I'm sorry. Well, thanks for the advice. I didn't realize I was"
Mack,This is the delivery? More booze? They'd kill you over this?
Freddy,This is the highest-grade giggle juice ever made. A lot of people would kill to get their paws on the formula.
Mack,"If we're gonna protect you, you need to be honest with us."
Freddy,"Look, you pikers want to ankle, now's your chance."
Deke,"Hey. We're not ankle pikers. We're bootleggers, just like you. We'll take you anywhere you want to go."
Mack,Let's get this show on the road.
Freddy,The future's gonna be mine.
Koenig,"You guys aren't in the import/export business, are you?"
Coulson,All you need to know right now is that we're here to help.
Koenig,"Oh, help, my ass. It's been nothing but trouble ever since you two showed up. If anything happens to Freddy..."
Daisy,We should be so lucky.
Koenig,What'd he ever do to you?
Koenig,Buzz off. We're closed.
Simmons,Swordfish. Now let us in. We came as fast as we could. We had to change.
Elena,And run... in high heels. Which isn't easy. I don't know how you people
Simmons,How is she?
Coulson,Not good. We need to get her fixed up enough to get her to a hospital.
Daisy,Not until we get some answers.
Koenig,"Whoa, whoa, whoa. Whoa? You're just gonna operate here?"
Simmons,I need to remove the bullet.
Koenig,Just what I need... a dead body in here because some dame...
Simmons,"I'm a doctor, not a dame."
Koenig,"Just clean up afterward. I'm gonna get on the horn, see if I can get the lowdown."
Elena,What's going on?
Coulson,We found out why Freddy's the target. Last name... Malick.
Elena,Malick? As in...
Daisy,Hail Hydra. Yeah.
Coulson,Ain't that the cat's pajamas.
Elena,Where is he?
Daisy,With Mack and Deke.
Elena,Do they know? We couldn't reach them.
Daisy,I don't know. We can't reach them either.
Coulson,"They do know the mission is to protect him at all costs, or there will be consequences."
Daisy,But what are the consequences? We... We don't... know.
Coulson,"If Hydra doesn't form, then S.H.I.E.L.D. doesn't form in response."
Daisy,"Well, because it doesn't have to. I mean, think about all the future lives we'll save if there's no Freddy Malick."
Coulson,"We can't disrupt the timeline. If we take out Malick, something even worse could rise up in his place."
Daisy,"But then we'll just deal with it when we get back, right?"
Simmons,To a future we won't recognize. She's going to be okay. Killing Malick was the Chronicoms' intent. They do know the consequences.
Daisy,And we'll only know what happens if he lives. None of this is pretty.
Elena,"But why does it have to be a live-or-die situation? Can't we stay here awhile, uh, be a good influence for him, change his heart?"
Simmons,"Technically, that would still be killing the historic Malick, who..."
Daisy,Has no heart.
Koenig,"You need to disappear. Word is out. Coppers are swarming every gin joint, looking for Freddy."
Coulson,Can we move her?
Simmons,"Um, she's unconscious, but she's stable now."
Coulson,"Zephyr One, come in. Are you there, Enoch?"
Enoch,This is Zephyr One. I am here.
Coulson,We're coming back. We need to find a way to reach Mack. They may be out of range.
Enoch,Perhaps I can find a way to boost the signal on the radio transmitter.
Coulson,See what you can do. He needs to know what he's dealing with.
Enoch,There's something else we may need to deal with. Agent May is awake.
Simmons,What do you mean she's awake?
Enoch,She is up and quite active.
Simmons,It's too soon. We have no idea what kind of side effects or complications she'll have. You need to sedate her and put her back in the healing pod.
Enoch,"I will do my best, but she does not seem to be in the mood to take orders."
Enoch,Agent May. Perhaps you should be getting some rest.
May,I'll rest when I'm dead.
Enoch,That's what we were hoping.
May,I know you.
Enoch,"I am Enoch, a sentient Chronicom and the best friend of Agent Leopold Fitz. You and I have not met in this timeline, but I am told we were quite helpful to each other in a previous one. As I hope we will be here. Dr. Simmons has prescribed a sedative that..."
Enoch,Ouch.
May,Where is she? Where is everyone?
Enoch,They are on a mission.
May,Why am I still here?
Enoch,"What, exactly, do you remember?"
May,"I fought my way through the spirit world, killed Izel, and then woke up in that thing."
Enoch,That is correct. But you also died... momentarily. Dr. Simmons was able to save you using technology she had a considerable amount of time to develop.
May,How much time?
Enoch,A considerable amount.
Enoch,"You are far from home, Agent May."
May,How far? Another galaxy?
Enoch,1-9-3-1. You are in the year 1-9-3-1.
May,I'm hungry.
Mack,Who's the buyer for all this?
Freddy,Some guy. I dunno.
Mack,What's he look like?
Freddy,No idea.
Deke,When does he get here?
Freddy,He's not. The meet-up is 500 miles away.
Deke,That's a lot of miles. We don't have time for that.
Mack,"Yeah, why'd you have us unload this, then?"
Freddy,"So you can take the car and get outta here. This is where we go our separate ways, fellas. That's my ride. I appreciate you saving my life. I owe you one."
Mack,We're not leaving you.
Freddy,I don't need no bodyguards.
Deke,"The cops that are after you, they're not the type to give up. They're gonna keep coming until they finish you off."
Mack,"You got a job to do, and so do we. They don't want you to make this delivery, but we're gonna make damn sure you do. Now let's go."
Koenig,Coppers! They're here!
Coulson,Is there a back exit?
Koenig,You're looking at it.
Elena,Front exit?
Koenig,This is the only way in or out.
Koenig,"Howdy, fellas. What can I do for you? Inspection time already? Ask around. I run a very legitimate illegitimate business. And I'm all caught up with my, uh, donations to the boys in blue."
Captain Dole,When is the last time you saw Mr. Malick?
Koenig,"A couple days ago. You know, he started hanging around with a bunch of..."
Captain Dole,Canadian Mounties.
Koenig,That would explain a lot.
Captain Dole,You have seen them?
Koenig,"They came in a couple days ago. Gave me the heebie-jeebies, so I, uh... gave ‘em the bum's rush back to Mooseland."
Koenig,"Mmm. Nothing like a, uh... a shot to hit the spot. Um, would you boys, uh, like a drink? On the house. That... um, That's just my office. Unless you like a... a big mess and the smell of my old socks, I wouldn't go in there."
Koenig,"Hell of a kick there. Uh, really packs a wallop. I hope you find him. That kid was nothing but trouble. Always looking for an easy way out. Everybody has to believe in something, so I believe... I'll have another drink. Do you, uh, gentlemen care to join me?"
Freddy's contact,Aah!
Koenig,Specialty of the house. Fire in the hole. Ohh. That'll put some fuzz on your peaches.
Captain Dole,"If you should see Wilfred Malick again, please let us know."
Koenig,"Oh, I will. And if you find that no-good bum, you tell him not to show his sourpuss around here again."
Koenig,Rats. This big... big rat problem. They live in the walls. They like the hooch.
Officer,I found the getaway car.
Koenig,"Ohh. I guess you weren't glad to see me. Uh, great work you're doing, gentlemen. Much appreciated. Thank you for your service, gentlemen."
Freddy's contact,Let me go.
Koenig,Ohh. I can't believe I took a bullet for you people.
Daisy,"Hey. Hey, look at me. We're gonna get you to a hospital, but we need some answers first."
Freddy's contact,Who are you? Wh... Where's Freddy?
Koenig,That's what I've been asking.
Coulson,"He's safe, no thanks to you."
Daisy,Why were you meeting him there?
Freddy's contact,I'm a friend of his father's. Just trying to help him get a leg up.
Coulson,Any friend of the Malick's is no friend of ours.
Daisy,What were you really giving him? Was it some sort of exchange? Why is he so important?
Freddy's contact,He's just a kid. Whole life ahead of him.
Daisy,Simmons?
Simmons,I need a knife. Germany six times in the last year. It's now 1931.
Coulson,"What is it, Jemma?"
Simmons,I need some alcohol. 90 proof or better.
Koenig,I like the way this bird sings.
Simmons,"I'm a biochemist, not a bird. I also need some salt, some cork, something made with silver. Let's hope it's not what I fear."
