character,line
Barb,I'm cold.
Biff,Here.
Barb,Isn't this a little boring?
Biff,"I told you, this is where I saw it."
Barb,A flying saucer?
Biff,Yeah.
Barb,I thought that was just a line to get me up here.
Biff,You did?
Barb,"Yes. And I'm here, aren't I?"
Mack,Autopilot pulled us out of the dive.
Coulson,We should probably be flying when we jump. Live and learn.
Daisy,Cloaking engaged.
Deke,I'll run a systems check.
Mack,Everyone okay?
Coulson,Not everyone made the flight.
Simmons,Enoch... we left him.
Coulson,At least he has time to spare.
Elena,Where did we jump to?
Mack,The desert?
Elena,Which desert? Where are we?
Daisy,Why aren't we home?
Deke,GPS isn't working. I'm gonna try and find a topographical match.
Radio,There it is. And we hear you want more Perry Como. We've got him up next.
Elena,Please tell me that's an oldies station.
Radio,"But first, a word from our sponsors at Conway Auto. They've got the brand new ‘55 Thunderbird. Stop by and take the road by storm..."
Daisy,‘55? As in our giant spaceship just appeared in the sky in 1955?
Mack,Let's hope we didn't attract too much attention.
Coulson,"Well, about that... I may actually have some good news. We're just north of Groom Lake, Nevada. Home of Area 51. Probably happens all the time."
Luke,"It appears our adversaries are following our time-trails, clinging to us like parasites."
Sibyl,I did say this was a possibility.
Luke,"Even if S.H.I.E.L.D. can travel in our wake, they have yet to discover our ship. It is an advantage."
Sibyl,Clarify.
Sibyl,Advanced technology would be scattered across the past. Which would only hasten the formation of S.H.I.E.L.D.
Luke,You see? This is why you are a Hunter and Sibyl is our Predictor.
Luke,There are no other Predictors.
Sibyl,We must be delicate with Time.
Luke,"Others have been sent in, have taken faces. Is Helius still a viable plan?"
Sibyl,"I've calculated every possible outcome. If done correctly, it will be brutal and exacting."
Simmons,It means we haven't completed our mission yet.
Mack,"Well, some of us still don't have a grasp of what the mission is."
Daisy,I had a tough call to make. You were off radio and we were out of time and had the father of Hydra right in front of us.
Mack,"I get the temptation, but shooting Freddy would have given the Chronicoms exactly what they wanted. Our mission is to stop them. Is that clear?"
Daisy,"Clear, Director. And Deke..."
Deke,What?
Mack,"You may be a CEO in our time, but here, you are an Agent of S.H.I.E.L.D. And you will follow my orders until the mission is done."
Deke,Copy. Understood.
Elena,"And will we know when the mission is done? Or are we just guessing, jumping through time?"
Simmons,We're moving forward in time. To move backward takes a piece of the time monolith and more energy than we'll ever acquire again. A jump forward takes... less.
Mack,"What do you mean, less?"
Simmons,We're kind of drafting through time in the Chronicoms' wake.
Elena,Drafting?
Deke,"You ever see “Days of Thunder”? Uh, it's okay. I'll explain it to you later."
Mack,How many jumps?
Simmons,I don't know. We could stop after this or keep going. We jump until we end it. Or end them.
Elena,But we go where they go.
Simmons,"And when, yeah."
Mack,"All right, so we'll always be a step behind. We need to find the Chronicom ship. Go on the offensive."
Deke,Z1 can scan for it on the ground and in the air. We could get lucky.
Mack,Good. We know they're here. We just need to figure out why.
Coulson,We know Area 51 is a S.H.I.E.L.D. base.
Daisy,We do?
Coulson,All the Areas are.
Daisy,Wow. Conspiracy Me was so right.
Simmons,"Groom Lake was an incubator for early space tech, experimenting in electromagnetics, liquid oxygen."
Coulson,"According to the archives, in 1955, there was a classified project at Area 51 called Helius. It could be what they're after."
Simmons,"Helius. Yeah, that was an early attempt at an Ion Fusion Reactor. But it... it was never fully realized, and the tech was mothballed."
Deke,"Not forever. In the future that I'm from, Ion Fusion was used to power the big weapons. Ship-to-ship killers."
Dasiy,"Well, they did just find out that we have a spaceship that follows them through time, so there's no better way to stop us than ship killers."
Mack,Not if we get there first.
Man,Order's up.
Woman,"Be right there, Eddie."
Mack,"I know you had doubts, but... these are nice."
Elena,"They do have their advantages. There's something else I need you to know. At the speakeasy, I tried to go fast and I... I couldn't."
Mack,"Well, you're probably still recovering. After all, you were infected by an alien... An alien parasite."
Elena,I just... I feel a little vulnerable being...
Mack,Slow like me? It's time to learn patience. You're still a good agent.
Elena,"I guess so. It's just gonna take a while to bounce back, I guess."
Mack,You're not the only one.
Coulson,I'm saying May isn't herself. She was completely emotionless. She went full ninja assassin on Enoch...
Daisy,That sounds like classic May to me. It's the reaction to you that didn't jive.
Coulson,"Yeah, even if she isn't happy to see my face, you'd think she'd be confused or mad or give me something."
Daisy,"She would be happy. It's odd. But odd is the new normal. I mean, you are a highly sophisticated robot version of yourself, and we're in a diner in the ‘50s."
Coulson,"See, that part's cool. I mean, look around. We're at the precipice of the space race. It's a golden age of innovation..."
Daisy,Is it?
Coulson,"Well, we still have a ways to go. And there's our mark. Gerald Sharpe. Department of Defense."
Sharpe,"All right, who do I have to sue to get a cup of coffee around here? Hey, you got any cream or sugar in this dust bowl?"
Daisy,"Oh, creamer? You can... You can borrow mine."
Sharpe,"The service in this place, right?"
Daisy,I know.
Sharpe,"Oh, I guess I'm not the only one around here who needs a little pick-me-up."
Deke,I think that's all the files.
Mack,Hey.
Daisy,Hey.
Deke,I think this guy is just some pencil pusher that deals with budgets and risk management.
Mack,"All right, so when he wakes up, he should crack wide open."
Elena,May?
Mack,May. Your orders were to rest.
May,What year are we in now?
Mack,"It's 1955. We're in Area 51, and we're trying to stop the Chronicoms from stealing a space weapon."
May,When do we go in?
Deke,Did you need a second to process any of that or...?
Mack,We're up and running. Coulson and Simmons are headed there now.
Daisy,"Coulson took the ID of the guy we have in that tent, and for Simmons, we had to get a little creative."
Man,"Stop it right there. May I see some I.D., please? Alright, go right ahead."
Coulson,Gerald Sharpe. Sorry I'm late. Roads all look the same out here.
Coulson,Oh. She's not my secretary. She's my boss.
Simmons,I think you'll agree I don't need to be on the list.
Coulson,"You're enjoying this way too much, Peggy."
Simmons,I always dreamed of seeing this place.
Simmons,Is that a...
Coulson,Imagine that.
Simmons,"Give me an hour, I'll save them decades."
Coulson,I thought it would be bigger.
Simmons,The MPs. How do they get to base?
Coulson,Did anyone enter the base this morning?
Coulson,We'll need to speak to each of them. Just routine. Couple of questions.
Simmons,"Yes, the test, definitely."
Coulson,Infinitely more.
Deke,We got eyes inside.
Daisy,Great. Let's hope our guy starts singing.
Sharpe,You got the wrong guy.
Elena,"We know exactly who you are. Now tell us, who determines security access?"
Mack,"I'd answer her. Who can get to Helius? Look. We know you're not the bad guy. But you may have given access to one, so help us out."
Sharpe,"Okay! Okay. Okay, I'll tell you. When hell freezes over. I'm a loyal American. Did you really think that I would break for bush league commie scum like you?"
Mack,We're trying to prevent something terrible from happening.
Sharpe,"And by “terrible”, do you mean America's continued dominance and unparalleled excellence?"
Elena,That arrogance is putting lives at risk.
Sharpe,"Oh, is that so, Mamacita? Ooh. Caliente. Good thing your boy's here to keep you in line."
Mack,Did he just call me boy?
Sharpe,"Allow me to introduce myself. Gerald Sharpe. Department of Defense. Ex-military. I didn't just teach interrogation and resistance, I wrote the field manual. So... do your worst."
Simmons,"Getting to the bottom of this may be difficult. If the Chronicoms have infiltrated, they would all look and act exactly like this."
Coulson,"Okay, but now you're just trafficking in stereotypes."
Simmons,"Well, I mean, perhaps. But until a more diverse population goes into STEM fields, I'm afraid... any one of them could easily be mistaken for a Chronicom."
