character,line
Coulson,"Fate. I don't believe in it. But I know history. I know how the story goes. And when it's playing out right in front of you, it feels like you can't escape it. That fate's gonna catch up to you, tap you on the shoulder, whisper in your ear that your time's up."
Sousa,I thought I shook you.
Coulson,"And then your story ends. Sometimes the hero has to die, and there's nothing you can do about it. That day started in a fog. My circuits were crossed up. Color had bled from the world, and I could hear my thoughts pinging around my head. I could break those cuffs easy... but something told me to hold off."
Sousa,"Right after everyone arrived, everything went haywire. The base was infiltrated, my test was sabotaged. And my contact... the scientist... he's dead. Niles Lindmore turned out to be a hostile."
Coulson,"July 22, 1955. My head was ringing like a bell, but that date rang a louder one. That was the day that made Daniel Sousa a legend. Every recruit learned about it. His final mission. He delivered a groundbreaking S.H.I.E.L.D. device to Howard Stark, kept it from falling into Russian hands. And then he was killed. This was the day Daniel Sousa became the first fallen Agent of S.H.I.E.L.D."
Sousa,He lives.
Coulson,I heard enough to know that this day had been knocked off course.
Sousa,Time for some answers. Start with your name.
Coulson,"I had to cook up a story to get things on track. Fortunately, I'd already read this one in the history books. Name's not important. What's important is I'm your contact. Remember I kept telling you what a fan I was? That was me waving a hand in your face."
Sousa,"First, you're a big shot from the DOD, now you're a brilliant scientist? Pardon me if I don't believe a word you say."
Coulson,"Then why don't you ask the dead guy? He and I helped develop the gadget you're supposed to deliver, but then he turned traitor, sold it to the Russkies. I came to the base to track him down. You saw the moment he found out I was onto him."
Sousa,Those weren't your everyday fisticuffs. That typical for a couple of scientists?
Coulson,These aren't typical times.
Sousa,"Lindmore would agree, seeing as he melted like the Wicked Witch of the East."
Coulson,"You mean West. And I can't answer for Lindmore. I didn't see it. Now, you want to play Twenty Questions, or should we get this package to Howard Stark?"
Coulson,"Maybe the mention of Stark sold him, or maybe he heard the clock ticking."
Sousa,Where is it?
Coulson,The package? I didn't bring it to the base. Too many variables in play.
Sousa,"Well, time is one of them. I got to get it on a train."
Coulson,To Los Angeles. I know. Tell me what train and let me make a call. My contact will bring it to us.
Sousa,"Us? The plan was for me to chaperone the gadget, not a scientist."
Coulson,It seems like you got a new plan now.
Coulson,I couldn't use a s phone to dial a st-century airplane. There was only one number I knew to dial.
Woman,Thank you.
Tom,"These recruits today, they don't know what it means to be stuck with a bad S.O. I mean, mine... He was a real, real son of a bitch. Hey, I hope I'm not boring you, buddy."
Enoch,You are a paying customer. I am a bartender. It is your right to share and have me listen to your personal tale of misery.
Tom,Hmm.
Enoch,The Krazy Kanoe.
Coulson,Enoch?
Enoch,Agent Coulson. Such a pleasure to hear your voice after two decades.
Coulson,Glad you found a spot to hide out.
Enoch,As am I. But it will be a longed-for privilege to leave behind the S.H.I.E.L.D. safe house and rejoin you.
Coulson,"Sorry, Enoch, we'll have to link up with you later. Right now, I'm hoping you have a way to get a message to the Zephyr. It's urgent."
Enoch,I can do better than that. I can transfer you directly now that I know the Zephyr is here in 1955. 24 years is plenty of time for a lonely Chronicom to build the hardware to...
Coulson,Fantastic. Put me through.
Enoch,Certainly. Stand by.
Enoch,Your may proceed with your saga of struggle.
Tom,"Right, so this hard-ass, he thought I was gonna be his whipping boy, and he also said something about how my face made him angry."
Coulson,"I got through to the team, filled them in."
Coulson,"Even if it wasn't the way they intended, the Chronicoms may have altered history."
Simmons,"When they took the body of Dr. Lindmore, who happened to be working on technology vital to the future of S.H.I.E.L.D."
Daisy,"Okay, so, just to clarify, the history books say that tonight, Sousa delivers that thing and then he... he dies?"
Mack,"Unfortunately, yes. So... Lindmore's body is somewhere with his face erased."
Simmons,And that's where the device would be.
Mack,"We need to find his address. Coulson, as soon as we do, I'll send a team to retrieve this gadget and bring it to you on the train."
Coulson,You'll find me in the lounge car on the 5:10 to Los Angeles.
Coulson,Yo-Yo and Deke hit the road to retrieve the S.H.I.E.L.D. gadget from Dr. Lindmore's home.
Elena,You're quiet.
Deke,"Still don't have very much driving experience. I'm great on a scooter, though. In the ‘50s, were women allowed to drive?"
Elena,"Yes, of course. Why would you..."
Deke,"I'm sorry! I don't know. I mean, we were just in the ‘30s and they were really stylish, but it was... so sexist and racist. But the ‘50s, though... ... are still pretty sexist and racist."
Elena,"It always gets better, just never fast enough."
Deke,And some things never change.
Elena,"Can't hurt to try, though."
Deke,"Well, it could... if we lose control of the timeline and it goes skidding off the road. So, that's not the mission now, right?"
Elena,Yep. We're the Agents of Status Quo.
Deke,Sounds like you don't agree with it.
Elena,Sounds like you do.
Deke,I don't know.
Elena,Doesn't look so special.
Coulson,The good news was the package was now in S.H.I.E.L.D.'s possession. The bad news... Deke wasn't.
Man,"Final boarding for the 5:10 to Los Angeles, departing track three."
Coulson,Sousa was getting jumpy. I just hoped I'd see a familiar face on the train.
Sousa,Where's your contact?
Coulson,"They'll be here. Have a seat. Or... go get yourself a drink in the bar car, calm your nerves."
Sousa,I don't need a drink.
Coulson,Nothing to worry about.
Coulson,"I was worried. The team was a no-show. I felt trapped in an hourglass, sand up to my neck. Turns out the person I was looking for was looking for Deke. She wasn't gonna find him. And I wasn't gonna get the package any time soon."
Tom,"So, it's day two of training and I tell this guy, “Hey, I know you're the S.O., but I do things my way”."
Enoch,How interesting. The Krazy Kanoe.
Elena,"Enoch, it's Yo-Yo."
Enoch,Agent Rodriguez. I am pleased word of my presence has gotten out. Perhaps your call indicates it's time for me to join the team and...
Elena,"No, sorry. I need you to connect me to the Zephyr right now."
Enoch,"Happy to connect you. My attention is, alas... all yours."
Tom,"So, he thinks he's gonna make an example of me?"
Elena,I didn't see who took him.
Mack,We have to assume Russians.
Elena,"I'm so sorry, Mack. If I had my powers, I would've..."
Mack,"It's not your fault. At least you got the package. Just give me your location, and I'll send the Quinjet."
