character,line
Coulson,"Now, this is the New York City I remember. The honking, the smell of hot dog water. And these are the clothes the grown-ups wore when we were kids, am I right? Still not gonna give me anything, huh? Even copping attitude would be a warm relief."
May,"Hard to care about where we stand when the only emotions I have are the ones other people pass to me. Oh! Like this guy here, who's feeling ticked off and impatient!"
Coulson,"Well, that's good that you're learning to label and communicate them. That's good. Very healthy."
May,Now that feeling's extended to you.
Coulson,"Hey, looking sharp."
Daisy,Thanks.
Coulson,Where's Agent Sousa?
Daisy,"He's still inside, picking out his threads."
May,How's he handling the transition?
Daisy,"Honestly, the fact that he's not projectile vomiting from the shock is a miracle. What happened to blending in?"
Sousa,I just don't understand the functional appeal of those... elephant... pants.
Daisy,You mean the bell-bottoms?
Sousa,Sure. How do people in your time function with all the extra fabric around their feet?
Coulson,I got news for you. This isn't actually our time period.
Daisy,"Well, fortunately, there's unfashionable squares in every decade, so you are... set."
Sousa,And nobody seems to look you in the eye now.
May,Hmm. Wait ‘til they all get cellphones.
Sousa,"So, I was thinking, how do you guys know I was supposed to die in 1955?"
Coulson,It's in the history books.
Sousa,"Yeah, but... but what if you always plucked me out of time? Does that mean I always survive? And if we end up in your present, will we even be in the same timeline?"
Daisy,I'd stop thinking about it. Your brains will spill out.
Coulson,Simmons can explain... sort of... but maybe you'd feel more comfortable staying back on Zephyr One.
Sousa,"No. No, no, no. I'm here. No going back. Might as well dive in and embrace the 1970s... Starting now. I can't believe this old hideout is still running."
Sousa,Did you ever stop by back in the day? Once or twice. Only the top brass knew about it. Good place to lie low.
Coulson,"Oh, yeah? I wish I could've seen it back then. I heard Dooley had a reserved booth with one of those plaque things next to it..."
Daisy,"Okay, Dad, let's not keep Enoch waiting any longer. He's been chilling for like four decades."
Sousa,So much for lying low.
Coulson,I wonder what all this is about. Maybe Enoch will know what's going on.
Deke,"Sometimes you punch the bag, sometimes the bag punches you, am I right? I get that Mack wants me to do combat training before I return to the field, but seriously, I got kidnapped by a Hydra boss one time."
Simmons,"I don't think Freddy will be bothering you anymore, considering his funeral was three years ago."
Deke,"Good riddance. Not that I was... rooting for his death, but kinda. Did you hear anything from Bobo? Bobo... or grandpappy, whatever you want to call him."
Simmons,"Oh, Fitz. No, I haven't heard. But, um, even if I had, I couldn't disclose."
Deke,"Right, because the Chronicoms will probe our brains and blah, blah, blah, and it's very dangerous, no one can know... I get it."
Simmons,We'll be reunited soon.
Deke,"Well, I hope so. Because if you and Fitz don't... bump lemons... so to speak... You know, my mom is never going to exist, and then I won't be born... again. I think. But, honestly, I've made so many mistakes in my life, I wouldn't mind a chance at a little do-over."
Simmons,"Wouldn't it be easier to prevent the mistakes through, say, preparation?"
Deke,"Taking the hint. Letting you get back to work. Bye, Nana."
Elena,"Looks like it always did. A good place to hole up. Any year, right? Happy now?"
Mack,"Not yet. History says S.H.I.E.L.D. abandoned this place in ‘72, but..."
Elena,You had to see it for yourself.
Mack,"Yeah. I like the simple pleasures in life... a preserved timeline, an empty base, and good company. Recon isn't the only reason why we're here."
Elena,You're for real?
Mack,"Yeah. I'm for real. We left the plane alone. In, uh... In my book, that constitutes as a date night."
Elena,"I was wondering why you brought me here. I'm hardly even fit for recon. What if we run into complications, Mack?"
Mack,"You're damn fine at what you do, with or without your powers. They don't define you."
Elena,Then why do you call me Yo-Yo?
Mack,‘Cause you always bounce back.
Mack,Something's different.
Daisy,Ohh. Okay. Glad you're enjoying yourself. Any word on Enoch
May,"Oh, uh, negative. Um, you know, I'm worried that it's more serious than we think. Also, I might be drunk."
Daisy,Yeah. I think you might have discovered a new form of Contact High.
May,Hmm.
Daisy,They're all three sheets to the wind.
May,"I'm at least one sheet to the wind. Give me a moment. I talked to the staff, and, uh, they haven't seen Enoch in at least... over a year. I'm better now."
Sousa,Good to know S.H.I.E.L.D. is going strong. Just wish I knew what they were celebrating.
Coulson,"Whatever it is, it seems to be centered on him."
Sousa,No. Is that... Little Ricky?
Coulson,"If by Little Ricky you mean General Rick Stoner, then yes. He's top brass at S.H.I.E.L.D. You knew him?"
Sousa,Yeah. I remember when he was an enlistee. Poor kid couldn't tell a mag from a clip.
Stoner,"Alright, thank you. Thank you for coming. Ladies and gentlemen, I would like to thank all of you for being here today. I know that you are all excited to, uh, kick off S.H.I.E.L.D.'s next phase in global security. So please welcome the man responsible, my boss and our friend, Wilfred Malick."
May,Freddy's still alive.
Freddy,"Thanks, General. So good to be here. I got my start working in this gin joint, long before it was a S.H.I.E.L.D. asset. Look how far we've come. From hiding underground, keeping vigilant watch, to having eyes in the sky, ensuring the Earth's safety. Using targeting satellites and pinpoint laser telemetry, S.H.I.E.L.D. will now be able to neutralize hostiles anywhere in the world before they pose a threat."
Sousa,This sound familiar to you?
Coulson,Yeah. Sounds like Hydra's years ahead of schedule
Freddy,I present to you... Project Insight.
Sousa,"So, these folks are secretly squids."
Coulson,"No, just a few at the top are Hydra. Most are loyal S.H.I.E.L.D., like Stoner."
Sousa,Seems to me the joint is still pretty jazzed about Insight.
Coulson,They think it'll keep the world safe. Nobody figures it's a Hydra plot. Same happened in my time.
Sousa,So the past is doomed to repeat the present. Any idea how Hydra got Insight so early?
Coulson,I got a feeling it's the Chronicoms.
Sousa,"You sure, or is that just a trout in the milk? Trout in the milk. Is that... Must be old-timey speak."
Coulson,"We call it circumstantial evidence, so yes, but I like it. The Chronicoms told me if I didn't take their deal, they'd alter the timeline. Keeping Malick alive past 1970 must be the first thread."
Sousa,You're saying the timeline is already broken. So I died for nothing.
Coulson,You look alive to me.
Sousa,But maybe you should've left me. I could've stopped Hydra back then.
Coulson,"No telling how that would've played out, especially with the Chronicoms involved."
Sousa,Looks like we have some work to do.
Coulson,"Let's make the rounds, get some intel on Project Insight. Keep an eye out for Enoch. Oh, and one more thing. Keep a low profile. You're kind of famous among S.H.I.E.L.D. agents. You get made, the jig is up."
Sousa,Got it. I'll stay off the radar. Is that a thing? Off the radar?
Coulson,We still have that.
May,Want to buy a girl a drink?
Stoner,"Well, pardon me, miss, but as a commanding officer, purchasing you an alcoholic beverage would be a violation of HR guidelines. However, uh, if you need assistance, I would be happy to use my privilege to flag down a server."
May,Agent Chastity McBride. Deputy HR Liaison. And I find your professional decorum refreshing.
Stoner,"Oh, thank you, Agent McBride. I've... attended a number of seminars."
May,You're a good man. I can tell. That's why I was thinking about transferring to your division.
Stoner,"Oh, you should. I would very much enjoy working with you. From a professional standpoint."
May,Professional. Of course. Tell me... how close is Insight to completion?
Stoner,"Well, not close enough. I wish we could launch today."
May,I bet.
Stoner,"Uh, we're still three years away, but rest assured, 1976 won't just be the bicentennial. It will also be a new birth for freedom."
May,Hmm.
Gideon,"My brother's so miserable at these things. If Nathaniel had his way, he'd be at home listening to The Carpenters on his hi-fi."
Daisy,Nathaniel. So that must make you Gideon Malick.
Gideon,Guilty as charged. You've heard of me. That can't be a bad thing.
Daisy,"Uh, yeah, well, everyone knows you're in line to be the next big thing."
Gideon,"Well, to be clear, it's not nepotism. Definitely earned my spot."
Daisy,Definitely. Yeah. Self-made. But you must hear all the secrets about S.H.I.E.L.D. - from your dad.
Gideon,"Mm, some. Lately, he's been locked up in his windowless office all day, but, uh, I'm in the loop. But enough about my dad. Let's talk about us. Maybe you start by telling me your name."
Daisy,"I actually have to get going, so..."
Gideon,How about you stick around? Maybe we could share some secrets of our own.
Sousa,"Hi, sweetheart. Who's your new friend?"
Daisy,"This is Gideon Malick. Gideon, this is..."
Sousa,"Her fiancé. Honey, I think we need to go."
Daisy,Oh. Excuse us.
Gideon,You're welcome for the drink.
Daisy,Don't worry. I'll pay you back later.
Sousa,What was that about?
Daisy,"Long story, but apparently, Freddy's son Nathaniel is still alive, and he was also supposed to die in 1970."
Sousa,Another change in the timeline. Get any intel?
Daisy,No. But I did get a clue on where we could find some
Simmons,Project Insight? And Freddy Malick is responsible?
Coulson,"We suspect the Chronicoms kept him alive, but we can't be sure ‘til we get ahold of Enoch."
Simmons,And you still haven't found him yet?
Coulson,"We're looking. I'm sure he'll turn up, and he knows how to contact us."
Simmons,"You know, if you have his last whereabouts, I can take point on the search."
Coulson,"I appreciate your concern for a 30,000-year-old robot, but Project Insight is our priority."
Simmons,Copy that. I'll see what I can pull from radio chatter. Good luck.
Coulson,"You, too."
Deke,Malick's still alive? So Daisy was right. I should've taken him out.
Simmons,It's not your fault. You made the right call to preserve the timeline.
Deke,"No, to hell with the status quo. Thousands of lives are at risk."
Simmons,There's still time. Insight hasn't even launched yet.
Deke,But Insight is just the part that we know about. The guy's had three extra years. Who knows what else he's gotten into.
Mack,All of this looks different. These guys have been busy. It looks like they're rerouting power to something big.
Elena,Probably nothing good. Let's take the Quinjet and get back.
Mack,"What, are you worried? It's still S.H.I.E.L.D., just an active base."
Elena,You saw the man in blue.
Mack,"The Agent in the throwback uni? Well, hell, I thought he looked pretty tight."
Elena,"You ever see a James Bond movie, Mack? An underground base full of men in jumpsuits...always a bad deal."
Elena,See? Called it.
Daisy,He mentioned a windowless office. Malick must be using this space.
Sousa,"What, have you been here before?"
Daisy,A few days ago. 1931. He redecorated.
Sousa,Whoa. High-tech.
Daisy,It must be his new base of operations.
Sousa,"Hydra won't be needing this, will they?"
Daisy,Good thing about computers in 1973... no firewalls.
Sousa,I have no idea what that means. What are you looking for?
Daisy,It's a list of targets for Insight. These are mostly S.H.I.E.L.D. assets. Wait. Bruce Banner?
Sousa,Never heard of him.
Daisy,"That's 'cause he's just a kid now, but in a few decades, he becomes an Avenger."
Sousa,Is that a good thing or a bad thing?
Daisy,It's a good thing.
Sousa,S-So they'll do a bad thing...pick him off while he's still young.
Daisy,Exactly.
Sousa,I'm starting to think you guys made the timeline worse than it was before.
Daisy,We have no time to speculate.
Sousa,Speculate? This is more than just a trout in the milk. There's only one way Hydra could have gotten names from the future.
May,They're here. Time to go.
Freddy,Hey. Just wanted to thank you for coming in tonight
Coulson,Pleasure. It's an honor to serve S.H.I.E.L.D.
Freddy,"I bet it is. Uh... sorry, what's your name again?"
Coulson,Patrick. Patrick Kutik.
Freddy,"Right. And remind me, where did you come from?"
Coulson,"Uh, processing. Systems Analysis. It's a little bit of quantitative. Some days, a lot of qualitative."
Freddy,Have you ever been up to River's End? I just bought a house in town.
Coulson,I can't say that I have.
Freddy,Yeah? My friends told me differently. Did you really think I wouldn't remember you?
Sousa,Those are Chronicoms? They look...
Daisy,"Subtle, I know."
Sousa,"So, what's our play?"
Freddy,"We first met years ago, in this very room. I've lived an entire lifetime since then. What have you been doing?"
Luke,"You should've taken our offer when you had the chance, Mr. Coulson. Surrender now, and we'll go easy on the rest of you."
Coulson,"Counter offer. Let us go, and the kid walks."
Freddy,You wouldn't. Nathaniel's got nothing to do with this.
May,He's a ripple. Doesn't belong here.
Coulson,I'd hate to do something we'd all regret. So what's it gonna be?
Luke,Enough. This ends now.
Freddy,Stand down. Stand down!
Daisy,"Sorry, kid. It's nothing personal."
Luke,This is strange behavior.
Freddy,I had no choice. They have my son.
Luke,Get them.
Sousa,So S.H.I.E.L.D. takes hostages now? Anything else you aren't telling me?
Daisy,I'll explain later. Let's go.
Coulson,We got to find some wheels and get out of here.
Enoch,Come with me if you want to continue to exist!
Daisy,"Enoch, you're here."
Enoch,Yes. As I have been for the last years. Now buckle up.
Coulson,"Sorry we left you behind, thanks for the lift, and sweet ride."
Enoch,"Thank you. Consumer Reports gave this vehicle a five-star safety rating, and its fuel economy is best in class."
Luke,It's time we change the rules.
Mack,"So, Hydra's attempting Insight in 1973."
Elena,With no Helicarriers.
Coulson,"According to Malick, S.H.I.E.L.D. has a system of satellites and lasers, which, as I say it, sounds really cool, but it's definitely not cool."
Mack,And it explains the launch pad at the Lighthouse. Must be where they're planning to send up the satellite.
Elena,Any idea who the targets are?
Daisy,"Well, we found a dossier of mostly S.H.I.E.L.D. assets... Bruce Banner, Nick Fury."
Sousa,Peggy Carter.
May,"Picking us off, one by one."
Mack,"Not yet. If we move now, we can disable Insight before it's launch capable."
Sousa,"Guys, I think something's wrong."
Mack,"They know we're coming, so we have to assume the Lighthouse is fortified with a battalion..."
Sousa,Guys! Is it supposed to do that?
Coulson,"Simmons, what's happening?"
Simmons,We're about to jump.
Mack,Tell me you can override it.
Simmons,"I'm trying, but something's messed with the algorithm."
Daisy,How is that possible?
Simmons,The Chronicoms have changed plans. They're jumping early.
Sousa,To when? Where are we going?
Simmons,I don't know! I can't control it!
Mack,This is our only chance to stop Insight. We can't be on this ship.
Coulson,You tried. There's nothing else you could've done.
Elena,How far did we jump?
Stoner,Happy 200. Happy Bicentennial. God bless America.
Man,Sir. We have the official green light. Project Insight is ready for launch.
Stoner,"Well, then let's give them the biggest darn fireworks they've ever seen."
Sousa,Three years. How the hell did we just jump three more years?
Daisy,"I told you, I don't know. We can't control it."
Sousa,"Well, who does?!"
Simmons,Enoch. Where have you been?
Enoch,Here. Where you abandoned me. For 40 years.
