character,line
Sibyl,"All life follows these patterns. Eroded coastlines, seashells, leaves. A new world blooms beneath your feet. Can you feel it?"
Luke,I feel the weight of Malick's death. Of Insight being destroyed. Is that the world you envisioned?
Sibyl,"As one branch dies, a new one bears fruit."
Luke,"Do not speak in metaphor, Sibyl. Your path has led to disaster."
Sibyl,Has it? S.H.I.E.L.D. revealed their ship to destroy Insight. We have their location. Malick's son captured Daisy Johnson. They are divided. And Alphonso Mackenzie's parents will force them into the Lighthouse. They are reckless.
Luke,They have begun to bend under stress. You wish to overwhelm them.
Sibyl,I do. Begin the next phase.
Luke,I will wake the Hunters one by one.
Sibyl,We must continue to adapt.
Ford,We have zero booster reading.
King,Radar is picking up a debris field.
Ford,Copy. Confirm air-to-air missile strike. Insight is down.
Stoner,We know the rocket is dead. Find me the ship that killed it.
Guard,Sir.
Stoner,"So, sucker punching me wasn't enough. You're saboteurs. Your friends blew up my rocket. On the Fourth of July."
Coulson,"You didn't want that thing to reach orbit, General. You would have found that out the hard way."
Stoner,Because time-traveling robots would have turned their deadly lasers upon the earth?
Coulson,More or less.
Stoner,"Yeah. And you. This was destined for a celebratory barbecue, Chastity. That's not your real name, is it?"
May,Melinda May. I'm not an HR Liaison.
Coulson,I think he got that from the bag of explosives.
Ford,Sir. We have the hostile bogey.
Stoner,"All right, now we're talking."
Ford,It's a faint signal. We're working on it.
May,They shouldn't be able to track Z1.
Stoner,"Advanced Integrated Tracking System. Little gift from our friend, Mr. Malick."
Coulson,They'll be blown out of the sky.
Simmons,They had to see us. We launched a missile in broad daylight.
Enoch,"All signals are quiet, even with the Quinjet docking."
Simmons,"Well, keep scanning, and re-engage cloaking. Glad to see you. Where's Malick?"
Elena,It's complicated. We went there. He was waiting for us...
Deke,He's dead. I shot him.
Mack,"That wasn't the order, Agent Shaw."
Deke,"Yeah, but he kept making waves. I thought it was best to..."
Mack,"Damn it, that wasn't the order! I don't have time to deal with you right now. We need to get moving. You got a 20 on Daisy and Sousa?"
Simmons,I checked every camera feed in the Lighthouse. No sign of them.
Mack,"I can't be out my strongest fighter. Deke, stay put. I want every scanner on this ship searching..."
Deke,But I know the Lighthouse. Your parents could be...
Mack,Running out of time. There's no debate on this. I blew up the one reason those Chronicoms had to keep them alive. I need to get in there now.
Elena,There's another reason... It's a trap.
Mack,I don't have a choice.
Elena,Which is why I'm coming with you. And there's no debate on that. I'll start pre-flight.
Mack,"Simmons, scan for Daisy and Sousa, and while you're at it, scan for the enemy ship. We gave up our position. That may cause them to give up theirs."
Simmons,"Yes, Director."
Mack,Let's bring the pain to them for once.
Mack,"The launch silo's our only chance of getting in before they lock down the base. It's bad enough we don't have a plan, now there's probably no way out."
Elena,We're good under pressure.
Mack,Today's the Bicentennial. My parents threw a picnic at the lake. Whole family. Rocket pops and raising hell with my cousins. It's not supposed to be like this.
Elena,"The Chronicoms are trying to get into your head, Mack."
Mack,This isn't exactly how I'd imagined you'd meet my parents.
Elena,"But what a first impression, huh?"
Stoner,Welcome to the Lighthouse. We have enacted Lockdown Protocol. All movement is prohibited.
Stoner,"Who initiated Lockdown? It wasn't my order. And today of all days, all orders come from me."
Coulson,They're using the lockdown to divide and conquer the base.
Stoner,I didn't bring you here to speak.
Ford,"Lighthouse anti-aircraft batteries have locked onto the bogey, sir."
Stoner,I haven't ordered that yet.
Ford,The missiles have begun their arming sequence. The system is running on its own.
Coulson,Anything computerized has been hijacked.
Stoner,"Agent, do not fire on that ship until I tell you to! Go downstairs and rip out the mainframe if you have to."
May,You're too late.
King,Sir... missiles are away.
Enoch,Incoming!
Simmons,Three missiles inbound!
Enoch,Prepare yourselves for extreme G's!
Sousa,Good to see you move.
Daisy,"My head. Ohh, I can barely... Feels like there's cement running through my veins."
Sousa,Drugs. Haven't been this messed up since the field hospital.
Daisy,I want to hea... hear that story when I... I can remember it. I can't quake. Malick's little psycho...
Nathaniel,"Psycho? That's unfair... and very well-timed. Wow. Right as I'm walking in. Hi. Nathaniel. Uh, the two of you took me hostage... changed my life."
Daisy,"Yeah. Uh, will you unchain us, and we can hug it out? And Hydra and S.H.I.E.L.D. can be together at last."
Nathaniel,"Hydra? I-I look like Hydra to you? Take a look at Ron's suit. Guy's here ‘cause he's got mouths to feed, not ‘cause he worships a space octopus. No. Religion's not really my thing."
Sousa,"I don't want to know what your thing is, kid."
