character,line
May,"Agent Shaw, I want a full report. What happened? Start from the beginning."
Deke,You wouldn't believe me if I told you.
May,"Try me, and we'll find out."
Deke,Well...
Womack,"Boy, am I glad you guys are open. This thing has been on the fritz ever since last night's power surge."
Feldman,You're Chip Womack.
Womack,"Let me guess, you read the piece in River's End Daily."
Feldman,"Actually, we went to River's End High together. Class of ‘68? I'm Russell."
Womack,"Ah, did you use to run around with Fat Sack and Petey?"
Feldman,I never really ran around with anyone.
Womack,"Well, uh, imagine that. Listen, compadre, I got some big orders coming in, and I'm gonna need this puppy back, ASAP. Capiche?"
Feldman,Capiche.
Feldman,Who are you?
Deke,"Mack! Mack! Mack, it's the Zephyr... it's gone. It jumped away. We're stranded."
Mack,I just needed a minute.
Deke,"Yeah, well, you got a whole lot of 1982 instead."
Mack,1982. I was 10 years old.
Deke,They left us behind. Something must have gone wrong.
Mack,"Or the mission's over. Coulson's explosion should've taken out the Chronicoms. So, I guess we won."
Deke,Then why would we pit stop in ‘82 for all of five minutes? That doesn't make any sense.
Mack,"None of this makes any damn sense! We can't understand it. That's why no one should ever mess with time, no matter how bad things get. The past... is sacred."
Deke,"Listen, I'm sorry that you've lost your parents. If there's anything else we could have done differently..."
Mack,"You could have followed orders. Who are you to take a life into your own hands, even if you think it's right? Ripples, not waves, remember?"
Deke,"I lost my parents early, too. Okay? And I still think about it every day. If you want to talk, I'm here."
Mack,I'm good.
Deke,"Wait. Wait, wait, wait, wait, wait, wait. Wait, wait, wait. We... We need a game plan here. W-What if the Chronicoms are still out there? Maybe that's why we're here."
Mack,You figure it out.
Deke,M-Mack! You don't have to go through this alone!
Marcus,"Alphie, Reuben, don't forget your bags."
Womack,"Where the hell have you been? Your store has been closed all week. I want my computer back, nerd."
Feldman,"Uh, that should do it. Can you say something for me?"
Sibyl,"Hello, Russell."
Feldman,Close. Okay. Try again.
Sibyl,"Hello, Russell."
Feldman,"Hello, Sibyl."
Sibyl,Thank you for returning my voice.
Feldman,You sound like an actual woman.
Sibyl,As I have always been and will be once more.
Feldman,Your b-blueprints...they're light years ahead of anything I've ever seen.
Sibyl,They are simply instructions. Only after you've made me flesh will you grasp my true capabilities.
Feldman,Of course. I won't sleep until you're standing here.
Sibyl,I am confident we'll make a perfect pair.
Deke,"Hey-o. Aren't you a sight for beautiful eyes. It's been too long. Figured I had to just... bring the hang to you, you know... where it seems you've gone full cabin fever. But that's okay. Maybe you'll write the next great American novel or... build a tiny, little toy car. Each its own achievement. You know, I gotta say, not the easiest thing trying to find you without the Internet. I had to hire the shadiest dude. He was some guy named Cricket. It's like, come on. Oh. Yeah. Thought maybe you'd want to kick the ball around, go down to the park, get some fresh air or something. Oh. Think you accidentally threw it out into the front yard, but I'll get it. Meet me out here! We can play a quick..."
Deke,"Hey, Mack! It's New Year's Eve! I thought you might want to celebrate! Well, I left some goodies by the door for you. Happy 1983, bud! I'll see you soon!"
Feldman,"Brought you some flowers. You know, to mark the occasion."
Sibyl,"A truly human gesture, which I appreciate."
Feldman,"It's nothing. Just, uh, thought... the color matched your eyes."
Mack,"E-Excuse me. I'm looking for a friend of mine. Uh, his name is Deke Shaw. Sometimes calls himself... The D."
Woman,"Are you trying to be funny? Every person here came to see him. Lucky for you, the band just came out for the encore."
Deke,"Thank you all for coming out tonight. My name is Deke Shaw, and I wrote this song."
Deke,"♪ Hey, hey, hey, hey ♪ ♪ Ooh, ooh, ooh ♪ ♪ Whoa ♪"
Mack,I'm gonna need a drink.
May,O-Okay. Stop right there. A band?
Deke,I said you wouldn't believe me. Do you want me to finish or not?
May,Can't wait to hear the rest.
Deke,"♪ Won't you come see about me? ♪ ♪ I'll be alone dancing to disco, baby ♪ ♪ Tell me your troubles and doubts ♪ ♪ Giving me everything inside and also out and ♪ ♪ Love's strange, so ready or not ♪ ♪ Here I come, like a buzz ♪ ♪ Running with thunder, blood, and ♪ ♪ Slow change may pull us apart ♪ ♪ Or if the knife stabs into your heart, Daisy ♪ ♪ Don't you ♪ ♪ Forget about me ♪ ♪ Don't, don't, don't, don't ♪ ♪ Don't you ♪ ♪ Forget about me ♪ ♪♪ ♪ Will you recognize me? ♪ ♪ Will you call my name and say it nicely? ♪ ♪ Rain keeps falling, rain keeps falling ♪ ♪ Down, down, down, down ♪ ♪ Hey, hey, hey, hey ♪ ♪ Ooh, ooh, ooh ♪ ♪ Yeah ♪ ♪ As you walk on by ♪ ♪ Will you call my name? ♪ ♪ As you walk on by ♪ ♪ Will you call my name? ♪ Come on. Sing it with me. ♪ La, la-la-la-la ♪ ♪ La-la-la-la ♪ ♪ Fa-la, la-la ♪ ♪ Whoa, whoa, whoa, don't ♪ ♪ Don't you ♪ ♪ Forget about me ♪ ♪ Don't, don't, don't, do not ♪"
Deke,"You made it! Ah! Gosh! Bring it on home. Complete the journey. So, what did you think? Feels like the crowd really responded to my new material."
Mack,I'm pretty sure that last song was from “The Breakfast Club”.
Deke,Not until 1985 it's not. Right now it's a Deke Shaw original.
Mack,This is just like you. You steal something from the future and you pretend you created it.
Deke,"Oh, let's not bicker over whether or not those are actually my songs."
Mack,They're not.
Woman,"Righteous set tonight, Deke."
Deke,"Thank you, Genesis. Merch sales have been killing it, too. I can get you whatever you want... T-shirt, koozie. We even have our own cologne. It's called Tattletale."
Mack,"I came by because your note said it was important, but it's really because you wanted me to see your stupid cover band. Good."
Deke,"Then it worked. This isn't a cover band. The band is a cover... Director. I want to introduce you to The Deke Squad. That's Roxy Glass. She runs covert ops and tactical. Kind of the brains of the operation. Tommy and Ronnie Chang, AKA The Chang Gang. Both masters of disguises, not to mention total honeypots. Olga Pachinko... resistance from the Balkans. Only speaks limited English, though she is fluent in the international language... demolitions. And finally, there's Cricket. Cricket's... well, I mean, mostly, we just really needed a drummer."
Mack,"Wait, wait, wait. Didn't... Didn't you tell me that dude was shady?"
Deke,"Yeah, but that was before I found out he had a steady job."
Mack,Doing what?
Deke,"Selling coke. Although, I've never seen him drink any."
Mack,"Look, I-I appreciate the effort you put in. I really do. B-But this is terrible spy-craft to be this high-profile."
Deke,"Exactly. That's the whole point. Think about the practical applications. We move freely from town-to-town. Big cases of hightech “equipment” are part of the gig. And any strange behavior, they just chalk it up to drugs."
Mack,Like coke?
Deke,The soda? I'm not following.
Mack,"Deke, your friends are a long way from being S.H.I.E.L.D. agents."
