character,line
Sousa,Hey. What are you doing up?
Daisy,How long have you been here?
Sousa,"Well, I guess, uh... when did you go to sleep? Since then."
Daisy,Did we jump again?
Sousa,"I'm not sure. Hey, w-where you going?"
Mack,I've got damage to nearly all systems.
May,Trying to get a read on our location.
Daisy,What's happening?
May,Time Drive overloaded.
Sousa,Any chance that's 21st-century slang for “worked normally?”
Mack,Where are we?
Daisy,Guys? Anyone want to fill me in on... that?
Sousa,I was so much happier asleep.
Daisy,Where's Coulson?
May,Charging.
Elena,Looks like something just fried the Quinjet's flight system.
Mack,We can't afford to lose that. You anywhere nearby?
Elena,"Hey, it's me. Everywhere's nearby. I'm already here. I'll check it out."
May,Simmons? Are you seeing this?
Simmons,"Yes, radiation levels are off the charts. We need to get out of this."
Deke,I don't want to alarm anyone...
Mack,"Yeah, wouldn't want to spoil our feeling of Zen."
Deke,...but we're trapped in a time storm.
Sousa,Are you just taking unrelated words and putting them together?
Deke,"No, Bugsy, this is real. It's just like Simmons said. We jumped within a jump, and it tore a hole in space-time, and now we're being pulled in towards the vortex like we're circling a drain."
Mack,And if we go down that drain?
May,We'll cease to exist.
Deke,"No, we'll cease to have ever existed or be reduced to the size of an atom. Honestly, I have no idea how the science works here."
Daisy,So it's pulling us in.
Deke,Yes. We're 94 kilometers away.
Mack,Aah!
May,Mack!
Mack,I can't see! I can't see!
Elena,"Hey, any idea what just hit us?"
May,Radiation.
Elena,It shorted out the doors to the Quinjet. I'm trapped inside. Mack? Are you okay?
Mack,I'm fine. Just deal with the Quinjet.
Deke,I'll help her.
Daisy,I'll get Mack to Simmons. Can you... Find a way out of here?
May,Yeah. Let's hope so.
Daisy,Simmons!
Simmons,What happened?
Mack,I'm sure it looks worse than it is.
Daisy,You're literally blind. It's a radiation flare.
Simmons,I have something for the burns.
Daisy,What?
Mack,What?
Simmons,Just some... tools Deke left lying around. He's been doing a lot since he got back from his time away.
Enoch,"Agent Simmons, would you like some help examining the Time Drive?"
Simmons,"I would, yes. But Mack first."
Mack,"No, fixing the Time Drive is the most..."
Daisy,Shut it. We can do both.
May,"Just got hit with another flare. I'm showing a fire, starboard side hallway."
Daisy,I got it.
Daisy,Fire's out!
May,"Great, but it won't be the last."
Daisy,How are we supposed to prevent... Is that supposed to...
Sousa,Hey. What are you doing up?
Daisy,Wait. How... How long have you...
Sousa,"Well, when did you go to sleep? Since then. Making sure you keep... resting."
Mack,I've got damage to nearly all systems.
May,Trying to get a read on our location.
Sousa,What's happening?
May,Time Drive overloaded.
Sousa,Any chance that's 21st-century slang for “worked normally?”
Mack,Where are we?
Daisy,No way.
Sousa,I was so much happier asleep.
Elena,Looks like something just fried the Quinjet's flight system.
Mack,We can't afford to lose that.
Daisy,"Oh, no."
Mack,You anywhere nearby?
Elena,"Hey, it's me. Everywhere's nearby. I'm already here. I'll check it out."
May,Simmons?
Daisy,There is a major brain fart happening.
May,Are you seeing this?
Simmons,Yes...
Daisy,"You guys, something is happening to me."
Simmons,We need to get out of this.
Deke,"I don't want to alarm anyone, but..."
Daisy,We're trapped in a time storm.
Deke,"Yeah, you took the words right out of my mouth."
Daisy,"Being pulled into a vortex, circling the drain."
Deke,"W... Yeah, we're 91 kilometers away. How did you..."
Daisy,Crap.
Elena,"Hey, any idea what just hit us?"
Daisy,She's trapped on the Quinjet. That flare just shorted the doors.
Elena,She's right.
Deke,I'll help her get out.
Mack,What's going on with you?
Daisy,"I don't know. But I do know that Simmons is working on the Time Drive schematics right now, and that's obviously connected."
Mack,"Alright, good. Go talk to her. We'll do what we can from here."
Daisy,Okay.
Daisy,Simmons?
Simmons,You guys okay?
Daisy,I think I'm time-looping. I-I've done this already. I've done this already.
Simmons,"Oh, well, that's fun."
Sousa,It's actually creepy.
Simmons,I'll check you.
Daisy,Is that Deke's gross ‘80s cologne? Cue Enoch.
Enoch,"Agent Simmons, would you like some help examining the Time Drive?"
Simmons,Definitely. If you...
Mack,The flares keep coming.
Daisy,There's a fire on the starboard side. I got it.
Sousa,Okay... See?
Daisy,"Mack, the fire's out again, but I think I need my head checked, ‘cause..."
Mack,I've got damage to nearly all systems.
May,Trying to get a read on...
Daisy,Shut the cockpit door. Watch the control panel.
May,... our location.
Daisy,"Hey. Listen, okay, I need your help. You won't believe this, but I keep..."
Coulson,Repeating the same events over and over again? Yeah. How long did it take you to figure it out this time?
Coulson,"I was really hoping not to have this conversation again, but if you forgot everything we went through, I guess that means you died again."
Daisy,"I died?! ""Again?”"
Coulson,"And always say it just like that. We're the only two who remember, so each time you die in one of these loops, you don't remember anything in the next reset, so then you have to learn everything all over again."
Daisy,That's awful.
Coulson,It's annoying. 'Cause who has to teach you every time? This guy. I've done it 14 times so far.
Daisy,We've done this 14 times?
Coulson,"Oh, no. No, no, no. You've died 14 times. We've been through this loop 87 times... or I should say that I know about."
Daisy,That you know about?
Coulson,"'Cause you don't come power me up every time! It's okay. Not your fault. P.S., not a big fan of starting each loop powered down. Disconcerting."
Daisy,Why are we the only ones that are remembering these loops?
Coulson,Really not sure. You've had theories. The latest was that we're the only two who start each loop in a futuristic sleeping pod. Speaking of which...
Daisy,"No, I'm not ready yet. Th..."
Coulson,"Nothing we can do. You'll get used to it. Please come wake me up this time, 'kay?"
Mack,I've got damage to nearly all systems.
Daisy,Shut the door! Sparks!
Coulson,Okay. Where were we? The Time Drive is stuck. It keeps looping back on itself over and over again.
Daisy,Like feedback?
Coulson,"I've been thinking about it like a record skipping. Every time I say that, you give me the same look. Vinyl's back. You're supposed to know records again."
Daisy,What about flying out?
Coulson,"We tried it. No navigation, radiation fried the controls, and technically, space is irrelevant here. So we narrowed it down to fixing the drive."
Daisy,And we can't get far enough before everything resets. How many loops now?
Coulson,90. But who knows? Maybe 90th time's the charm.
Daisy,Is that you trying to be optimistic? 'Cause it didn't work.
Coulson,"Yeah, that... wasn't great. I'm sorry."
Coulson,And we're running out of time.
Daisy,Another zinger. You're serious. We can't just keep looping until we get everything exactly right? Practice making perfect?
Coulson,Oh. You haven't noticed the numbers. You really are behind.
Elena,It's me. Everywhere's nearby. I'm already here. I'll check it out.
May,Simmons? Are you seeing this?
Simmons,Yes...
Daisy,Time storm.
Deke,"I don't want to alarm anyone, but... Yep, time storm. Yeah, that's right."
Daisy,"Approaching the vortex, circling the drain. How far away are we?"
Deke,79 kilometers. Thanks for asking.
Daisy,"He's saying 79, but it was 94."
Coulson,"Used to be a lot more than that. Each loop resets us, but it also brings the Zephyr a little closer to the vortex and destruction."
Daisy,We're gonna run out of loops.
Coulson,"See above re: ""Let's do this fast.”"
Daisy,"Okay, so, if the problem is that we never solve the riddle before time runs out, that means we have two options... we increase the time we have..."
Coulson,We tried that during loops 23 through 42-ish. Dead end.
Daisy,...or we solve faster.
Coulson,Yes. Got any thoughts on how to do that?
Mack,I've got damage to nearly all systems.
May,Trying to get a read on our location.
Daisy,"Guys... stop! Listen to me. We are repeating time. Sparks, Yo-Yo, Simmons, Deke."
Elena,Looks like something just fried the Quinjet's flight system.
Mack,Okay. You nearby?
Daisy,Radiation levels are off the charts.
Simmons,Radiation levels are off the charts. We need to get out of this.
Daisy,"And Deke, who doesn't want to alarm anyone."
Deke,"I don't want to alarm anyone, but we're trapped in a time storm."
Daisy,See? I know the future. Let's talk.
Deke,We're 65 kilometers away from the vortex already. I don't know how many more loops that means we have.
Daisy,I'm guessing not many.
Mack,"Deke, is there any other information on the Drive we can find? Anything Fitz might have left behind?"
Deke,"Let me check. I'll be right back. It's... It's, uh, hard to access."
Simmons,A loop?
Deke,"You're the one with the Time Drive knowledge to fix it. Without that implant in place, we could solve this."
Simmons,We don't know that.
Deke,We can make a fairly educated guess.
Simmons,Did you tell them?
Deke,"No. No. Never. Of course not. I promised that I would keep your secret, and I did. But what if we could just take it out temporarily? They wouldn't need to know, and without that implant blocking your memory, maybe we could..."
Coulson,Blocking your memory? That sounds like something you should tell us about.
Deke,You guys followed me?
Daisy,We don't have time for secrets. An... An implant?
Simmons,"I told you, we can never know where Fitz is. This ensures I don't."
Daisy,We would never betray Fitz.
Simmons,"Nor would I, but the Chronicoms can get the information from us whether we want them to or not."
Coulson,"And if the stakes weren't so high, we wouldn't need to take that risk, but we have to know what you know."
Deke,Fitz wouldn't want us to sacrifice ourselves for him.
Simmons,I know that.
Daisy,"Okay, think about this... once we get the answer, the loop will reset, and the implant will be back in place."
Simmons,Do you have any proof this loop thing is actually happening?
Daisy,Think of a fake word and just say it out loud. Anything.
Daisy,"Yeah, this isn't the first time we did that."
Simmons,"Okay. Let's go, before I change my mind."
Simmons,Only I can enter authorization to remove it. Okay. Here we go. Let's try that again.
Daisy,Are you okay?
Simmons,I can't bre... I...
Daisy,S-Simmons. Simmons!
Deke,I'm going in there! How did these doors become locked?
Daisy,"Simmons, open the door! Simmons, open the door!"
Deke,Open the door!
Daisy,Simmons...
Simmons,"Okay. Let's go, before I change my mind."
Daisy,"But this time, I'll be going in there with you."
Simmons,This time?
Coulson,"So if whatever went wrong with that thing last time happens again, she can get you away from it."
Daisy,"Okay, talk me through this."
Simmons,Um... never actually done this before.
Daisy,"Cool. Cool, cool, cool. It's gas. It's gas."
Deke,I'm going in there! Open the door!
Coulson,Open it!
Enoch,How did these doors become locked?
Deke,Open the door!
Coulson,Open it!
Enoch,They're dead.
Coulson,What a pain in the ass.
Enoch,"This does not appear to be a naturally occurring leak. The cut is too neat and precise, as though it was made with a knife. This was no accident. It was deliberate. Almost as if it was..."
Coulson,Murder. Yeah. We get it.
Sousa,Hey. What are you doing up?
