character,line
Nathaniel,You care for a challenge?
Garrett,Sure. A good challenge makes life worth living.
Nathaniel,Sounds like someone's a philosopher. That's pretty rare for a S.H.I.E.L.D. hangout.
Garrett,"I don't know about all that, but I am a damn good dart thrower. Fair warning. How about we add a little wager? Make it fun?"
Nathaniel,"Oh, I'm not sure I want to lose all my money to the hottest recruit."
Garrett,Hmm?
Nathaniel,"Well, top test scores and an ace pilot. You know, I need a pilot on my team."
Garrett,"I appreciate you blowing smoke up my ass, but I don't think we've met."
Nathaniel,"We haven't. But I know a lot about you. Like how your relationship with S.H.I.E.L.D. is headed for a very, very sad breakup."
Garrett,What the hell are you talking about?
Nathaniel,"Seven years from now, in the Balkans, you get wounded real ugly, lying there with your guts out. You call for an extract, but they refuse. You survive, but you and S.H.I.E.L.D. are over with, and you fall right into the loving arms of Hydra."
Garrett,Wow. The future. Why don't I call the psych ward and tell them you wandered off?
Garrett,Damn. That's a neat trick.
Nathaniel,"Yeah, that's called a superpower. Would you like one?"
Garrett,Sweetheart. Two more beers on my tab.
Woman,Okay.
Garrett,Under the name John Garrett.
Mack,Stuck in the 1980s. Used to have nostalgia for them. That is very gone. Roxy. It's good to see you.
Roxy,"Likewise, sir. Didn't expect you again so soon."
Mack,"Yeah, well, couldn't be helped."
Roxy,I know you guys are up to some top-secret stuff. The Lighthouse is all yours. Control is up and running. Wish I could hang with you.
Coulson,Congrats on getting into the Academy.
Roxy,"Thanks. Yeah. I thought I was in S.H.I.E.L.D., but it turns out Deke wasn't authorized to make me an agent. MACK: Mm-hmm. Rest of the gang signed up, too. Maybe we'll be reunited at the Triskelion after we graduate. Hey. You're not in a TV anymore, Coulson. That's cool."
Coulson,Just don't ask me to explain it.
Roxy,"Well, duty calls."
Mack,"Good luck, Agent Glass."
Coulson,"She mentioned the Triskelion, but it's 1983. Wasn't in use yet."
Elena,It's ahead of schedule.
May,Just like Project Insight.
Mack,What are you thinking?
Coulson,"Well, you're the Director..."
Mack,"No, enough with the formalities. We're dead in the water here. I need you to be you. So if you have a mission for us, let us know."
Coulson,Timeline's coming apart. We have to put it back. Nathaniel Malick's out there with quake powers and a new base. You made a promise to Daisy's mom that she wouldn't have to fight him alone. I think it's time to keep that promise.
Sousa,"Wow. Well, consider me impressed. A multi-story base under a lighthouse?"
Daisy,"Yeah, we've just spent a lot of time down here, so maybe we're over it. Any idea why the new countdown didn't start after we fixed the Drive?"
Simmons,"Uh, the electrochron displacement mechanism did stabilize it, but it is possible the cumulative damage severed our operative transmission receiver's ability to penetrate space-time."
Sousa,Did you understand that?
Daisy,"Actually, yes. I did."
Sousa,I'm gonna grab some rest.
Daisy,"Uh, the bunks are down that way."
Sousa,Can I take that off your hands?
Daisy,"Um, I got it. Thanks."
Sousa,"Just thought I'd put some weight on the new leg, is all."
