character,line
Daisy,What the hell just happened?
May,They disappeared. Dropped off satellite.
Sousa,Did they jump? I thought the Time Drive wasn't working.
Daisy,They didn't jump.
Sousa,How do you know?
Daisy,They didn't jump.
Sousa,"Okay, how do you drop off satellite? Don't they surround the planet?"
May,"You move above them. Daisy, I can feel your guilt. This isn't your fault."
Daisy,I should've quaked that psychopath's bones apart when I had the chance.
Elena,616 requesting permission to land.
May,"You're clear, 616."
Daisy,They have Kora.
May,Maybe she'll have answers.
May,We can't tell her about Jiaying's death.
Daisy,She should know what her boyfriend did.
May,Kora's not stable. Hearing that her mother died might set her off.
Sousa,"If she's a bomb, then what's the plan if she explodes?"
Daisy,Leave that to me. I won't make the same mistake I made with Nathaniel.
Coulson,"The potential Inhumans are safe. We dropped them at a hospital, made sure they're being taken care of."
Kora,You must be Daisy...
Daisy,Where did they take Simmons?
Mack,"Daisy, that's enough!"
Daisy,Not until she talks!
Mack,"Put her down, Agent Johnson! That's an order."
Kora,"Look, there's no reason to hurt each other. I'm here to help."
Mack,"How, exactly?"
Kora,"Save lives, of course. I want to be an Agent of S.H.I.E.L.D."
Shepard,"50,000 miles above Earth and rising, sir."
Nathaniel,Should be a killer view. And lay off the “sir.” We're trying to make it so no one has to call anyone “sir” ever again. Send the signal.
Kimball,S.H.I.E.L.D. can't follow us?
Nathaniel,Not at this range. We're all alone up here.
Deke,Just like Nakatomi Plaza. Yipee-ki-yay?
Elena,I'm staying posted right here. Who knows what other powers they stole. And with Garrett being able to teleport...
Mack,"When we confronted the older Gordon, Fitz designed a device to trap him in a room. Now, if we can find Fitz's specs on this hard drive, we should be able to rig something up."
Elena,"Until then, I'm your new babysitter."
Mack,We know that there's some strategy at play here because Sibyl's been predicting our every move.
Elena,"Exactly. These guys put up a fight, but Kora..."
Mack,"That was too easy, I know. But now she's selling us this story of compliance. We may be predictable, but so is the enemy, because they're always planning to ruin our day."
Coulson,S.H.I.E.L.D.?
Kora,"I'm a perfect candidate, with the perfect instrument to save lives."
May,Didn't seem like it was your priority when you were attacking Li.
Kora,I killed him... to be clear. During his last-ditch effort to do the same to me.
Daisy,How do we know that's not Malick's plan with Simmons? Where are they?
Kora,"Out of reach. But our goal is to reduce suffering, believe me."
Daisy,I've suffered plenty at his hands. What do you mean “instrument”?
Kora,Knowledge of history yet to be written. Lives have already been spared with it. My own. Agent Daniel Sousa. Those two soldiers you just locked in a cell.
Mack,Not all lives were saved. Some were taken.
Kora,I'm sorry about your parents. They didn't deserve to die. But it's also the proof you needed.
Daisy,Proof?
Kora,You must realize it by now.
Coulson,Proof that this is a new timeline.
Kora,"He gets it. That old one that you were fighting to preserve is long gone. Director, you still remember growing up with your parents. Daisy grew up without a sister because I died alone weeks ago. Yet here we are."
Daisy,We have much more definitive proof than that.
Kora,It's a brand-new day. Why not let S.H.I.E.L.D. make this universe the best it can be?
May,And how do you plan on doing that?
Kora,Killing.
Mack,"Yeah, I'm not sure you understand the S.H.I.E.L.D. motto here, lady."
Kora,"It's not your motto, it's your method. Do you want me to list the people you've chosen to kill to protect others?"
Coulson,There's no need. We've all made hard choices.
Kora,"Then another list, of easy choices. 30 names we can kill right now to save thousands of innocent lives."
Coulson,It sounds like Project Insight with a fancy new bow on it.
Kora,These are names you know... history knows... committed unspeakable acts.
Mack,We're not a death squad.
Kora,"Well, Sibyl predicted you'd say that. And that Daisy would say..."
Daisy,Let me talk to my sister alone.
Kora,I'd like nothing more.
Daisy,Why are you really here?
Kora,I thought I just explained...
Daisy,We're not morons. Despite whatever Nathaniel has told you.
Kora,"Nathaniel thinks S.H.I.E.L.D. is another institution hell-bent on control. And maybe in an old timeline it was, but... I believe there's a chance we could work together."
Daisy,What makes you think that we would ever...
Kora,"You. I've always wanted a sibling, and we have the same blood. You believe in S.H.I.E.L.D. There must be a reason."
Daisy,You grew up in Afterlife.
Kora,I wasn't aware I was confined. I thought I had a happy childhood.
Daisy,Didn't you?
Kora,Every child loves her mother.
Daisy,Not every mother loves her back.
Kora,I'm sorry you didn't get that.
Daisy,I'm sorry you threw it away.
Kora,"I just want to spend time together, to talk. With you and me on the same page, we can do anything."
Daisy,"What, like a... like a sister superhero squad?"
Kora,Sibyl said there is no future where Daisy Johnson lets her sister fight alone.
Daisy,She was right.
Simmons,I like to think about the first law of thermodynamics... That no energy in the universe is created...
Simmons,"That means that every bit of energy inside us, every particle, will go on to be a part of something else..."
Nathaniel,"As much as I would love to watch you leave Fitz catatonic, I need you to show me where he is now."
Simmons,I miss you.
Fitz,I'm here. Together. We're...
Simmons,"Professional, and matter of fact, and there's this chasm in the middle of the room of all these things of..."
Nathaniel,I'm supposed to be able to see whatever memory I want. You are blocking me. How?
Simmons,I'm not doing anything. Maybe it's you. Maybe you're not equipped to...
Nathaniel,Tell me how.
Nathaniel,"John, bring in the grandson."
Simmons,Deke? He's here?
Nathaniel,And trying to play hero.
Simmons,"He doesn't know anything, please, you can't..."
