character,line
Sousa,Are those space lasers?
Daisy,Just lasers that happen to be in space.
Sousa,"But they're weapons, right?"
Daisy,"100%. But they don't seem to be aimed at us, which means they probably don't see us yet."
Mack,"Hope that's still true after I do this. Alright, we got less than a minute before we dock with the Zephyr... or the other thing's gonna happen."
Sousa,Let's say we manage to dock with the Zephyr and somehow rescue Simmons and Deke. Then what?
Mack,One problem at a time.
Daisy,Here we go. Three... two... one.
Mack,"Nice flying, Tremors."
Sousa,I thought it was “Quake.”
Mack,What was that? Are we hit?
Daisy,No. I think they've locked on to the Zephyr.
Sousa,So... I guess this is the next problem.
Sousa,"Is it possible they're on the other side, doing the exact same thing?"
Mack,"Let's scan their ship, see if we can find our team."
Nathaniel,This is your last chance to give up Fitz's location. The Chronicoms won't be so...
Deke,Amateurish? Pedestrian? Ham-fisted?
Sibyl,We have a more precise method of retrieving information.
Simmons,Aah!
Deke,Hey!
Nathaniel,"Well, look at you. I was gonna say “in the flesh”, but I suspect it's more like a space-age polymer... or something. Either way, it's super-impressive. Everything is. And what a triumph. All S.H.I.E.L.D. targets destroyed."
Sibyl,Except for the Lighthouse.
Nathaniel,Straight to the point. I like that. You've been inside. You know that the Lighthouse was built to withstand any external attack. Which is why we're taking a different approach.
Sibyl,"None of it matters if Leopold Fitz is alive. As long as he lives, our future isn't secure."
Nathaniel,"Jemma Simmons has effectively erased him from her memory. In fact, based on what I saw, there's a good chance he isn't even alive."
Sibyl,I'm not leaving it to chance. The injection I gave her will dissolve her implant. We'll learn whether she's truly forgotten Leopold Fitz... or whether it's simply masking the truth.
Coulson,It looks like every S.H.I.E.L.D. base is gone. Even the Triskelion.
Elena,Are you okay?
May,I will be. It's just... a lot.
Elena,You can feel all those lives lost? Why weren't we attacked? Sibyl knows where we are.
Coulson,She's smart. She knows the Lighthouse would survive a conventional assault. She must have other plans.
Elena,Where's that coming from?
May,What are the Chronicoms doing now?
Coulson,I can't stop it. Why don't you two implement lockdown protocols while I figure this out.
Kora,Why didn't you tell me you were working with the Chronicoms?
Nathaniel,I'm not working with the Chronicoms. They're working for me... for us. It's part of my plan.
Kora,"Was killing my mom a part of your plan, as well? I saw her body. I know it was you."
Nathaniel,I did that for you. To protect you.
Kora,I didn't ask for that.
Nathaniel,"Because you're a good person. You don't see the evil in others. If you'd only heard some of the things she said... that you were a mistake, that she was sad you were even born, how you needed to be put down. Jiaying was never interested in being your mother. She only wanted to control you. She resented you. But I'm here to set you free. To show you how powerful you can be."
Kora,"It was terrible, seeing her on a table like that."
Nathaniel,I know. I'm making sure her body is buried and that everyone who tried to hurt you will be buried with her.
Garrett,"Breaker, breaker one-nine. This is the Big Bad Wolf. I'm in the henhouse. Time to fry some chicken."
Simmons,I have a tingle right here.
Deke,It's probably the implant. The bio-implant that blocks your memories... of you-know-who. Of Fitz.
Simmons,I know that name.
Deke,Yes. You do.
Simmons,"Um, I..."
Deke,"Maybe this will help, okay?"
Simmons,"Uh... Um, uh..."
Deke,I'm the man you love.
Simmons,"Uh, uh..."
Deke,"We're a team. You're bio, I'm tech. My name is..."
Simmons,James Bond.
Deke,‘Kay. No. But that's not entirely... surprising. Never mind. Um... I don't know. Maybe... Maybe the thing that they injected you with is doing something. Maybe it's destroying the implant or it's scrambling your thoughts and your memories and your synapses all together.
Simmons,Why would they do that?
Deke,Because they think that you have a secret.
Simmons,"I do have a secret. I can feel it. It's in there, and everything's... swirling."
Deke,Maybe that's their plan. They're gonna pour everything out until they find what they need. It's okay. I got you. Just rest.
Mack,That's a lot of Chronicoms.
Daisy,"We just have to find... There. Now, you see how those two are warmer? I'm pretty sure that's Simmons and Deke."
Sousa,What about that one... there?
Daisy,Kora.
Mack,How'd she get up here?
Daisy,I don't care. She's not gonna stop me from getting back Simmons.
Mack,And Deke.
Daisy,Sure.
Sousa,"So, how are we gonna do this?"
Daisy,"Well, they don't know we're here, so I'll infiltrate the ship and I'll bring them back."
Mack,Okay. I'll figure out a way to get the hangar doors open. Seems they're our only way out.
Sousa,I can help with that.
Daisy,Great. I'll be back.
Sousa,Daisy.
Daisy,Yeah?
Sousa,Didn't know I was gonna do that.
Daisy,I'm glad you did. Um... I'll see you when I get back.
Sousa,Yeah.
Daisy,Okay.
Mack,Impressive.
Sousa,Thank you.
