character,line
Fitz,I'm just glad to see you all in one piece.
Daisy,One piece?
Deke,Aren't you worried?
Daisy,Simmons' mind is in shambles.
Fitz,Give her time. Hopefully no serious damage has been done.
May,"What do you mean, “no damage?”"
Coulson,The Chronicom fleet destroyed S.H.I.E.L.D.
Fitz,That won't matter. We can still get back to our original timeline and save it.
Mack,We can go back?
Fitz,"Yes. That's where I just came from. Look, I... I kn... I know that it hasn't been easy. You made sacrifices. Clearly, so did we. But there was no other way."
Mack,What the hell is that supposed to mean?
Elena,Not easy?
Deke,No other way? Are you kidding?
May,And where the hell have you been?
Fitz,Listen! The only way we can save the original timeline was for you to survive through this one.
Coulson,You saw how this would play out?
Fitz,I saw countless versions of how it could unfold. But we had no choice.
Daisy,Just threw us into the deep end and hope we don't drown?
Fitz,We hope that you survive this far to give us the key to save our world.
May,Key? W-What key?
Fitz,Kora. Did Kora survive?
Daisy,Yes.
Fitz,"Oh, thank God. Where is she?"
Daisy,She's with the enemy... Nathaniel Malick.
Fitz,What? What happened? She's your sister. Didn't you connect? Jiaying...
Daisy,Jiaying is dead.
Fitz,"But she is pivotal. Okay. All right. Uh... We'll need to find a way to work around that. Here. Um, right now, we need to get this Quantum Bridge onto the Zephyr."
Coulson,Hold on.
Fitz,We need to hook it up so we can all fly home together.
Coulson,We can't leave.
Fitz,"Yes, we can."
Coulson,We can't...
Fitz,"Okay, look, I'm sorry, I know there's a lot to explain... the multiple dimensions... Okay, look, you went back in time, and then you branched off. But we can travel through something called the Quantum Realm. So, we... we... we... we can go in between timelines."
Coulson,I mean we can't abandon these people. We can't leave this timeline with the Chronicoms about to launch an all-out invasion.
Mack,"And if we do, we have to take the enemy back with us."
Fitz,"No, I understand that. I do. But that decreases the chances of success a fair amount... something like 85%."
Mack,Don't talk to me about percentages.
May,This is not math.
Elena,You sound like a robot.
Simmons,Can everyone please stop yelling?
Coulson,"This isn't some abstract or virtual world, like the Framework. These people, they've suffered enough."
Deke,This reduces you? Subatomic? Does it create an energy field to do it?
Fitz,"Yes, a bubble, for... for want of a better word."
Deke,"No, no. No, “bubble” is a great word. Because you can make it bigger. I-If we use enough energy, we can bring all the Chronicom ships back with us."
Mack,I don't know if the Zephyr can generate enough power to...
Deke,"No, but 1983 New York City can, right?"
Fitz,"Uh... y-yeah. I... We'd need something like 10,000 megawatts, but s-someone would have to..."
Deke,Stay behind and set it up and turn it on... yeah. We have to break up the band.
Daisy,"I don't know if that matters. ‘Cause this... this is the last mission together, isn't it?"
Fitz,How could you know that?
Simmons,Enoch told us. Before he died.
Fitz,"Yeah, that's true. In fact, no matter what the outcome, this will be the last time we're all in the same room together. Ever."
Sousa,"I'll stay. I belong here. I've already been given the privilege of a second chance, of meeting all you... fine people. It's only right. If the Army taught me anything, it's that... it's that you can't..."
Deke,Pbbbbbht! I'll stay.
Deke,"First of all, I'm the one with the scientific knowledge to be able to repatch the power. Dannyboy over here is still impressed by a light bulb."
Mack,That's not accurate or nice.
Deke,"And second, seems like you and Daisy have a real thing going, and I... I just want you to be happy."
Daisy,Deke...
Deke,"And third, as long as you reconnect with Nana and then, you know... connect... then maybe you'll see me again someday."
Daisy,"Deke, that's..."
Deke,"And honestly... I'm kind of a rock god here, anyway."
Deke,"All right, people! No time to argue. I've already made up my mind. Now let's get to it!"
Deke,"Come on, people. Let's go, let's go. Keep it snappy. We're running out of time."
May,Seconds away.
Deke,"All set on this end, Director."
Mack,"Watch over little Alphie, will you? Hell, watch over all of us."
Deke,You know I will. I don't...
Mack,"You don't give up on friends. I know better than anyone. Thank you for everything, Agent Shaw."
May,Get ready!
Mack,"Here we go. One, two..."
Deke,"Wait, wait. Like, on three or, like, “One, two, three, go?”"
Mack,"On three, damn it. One, two, three."
Gamble,So... you the new guy in charge now?
Deke,Yes.
Fitz,"Okay. Okay, I need to... I need to take it slow with her, or her mind might collapse."
Mack,Just get her to remember you. That's the most important thing.
Fitz,"No, it's not. I need to take something small that she does remember, and I'm gonna draw a line from that to all of the rest. Okay. Jemma. I-I was gonna tell your friends a story, and I was wondering if you could help me fill in some of the blanks."
Daisy,It's okay. We know him.
FItz,"Yeah. And I... I know some things about you, too. Like, when you were younger, you had scoliosis. Yeah? And y-you would spend your nights lying on your back with your father..."
Simmons,Looking up at the stars.
Fitz,Yeah. And do you remember what your favorite star was?
Simmons,"Theta Serpentis. Though, technically, it was a... a triple star system in the constellation, uh, Serpens."
Fitz,"No, no, that's right. That's right. What was the traditional name of it? The biggest star in that system?"
Simmons,Alya.
Fitz,"Yeah. Okay. I want you to lock on to that name, because that's where we went."
Fitz,"Enoch saved us, wearing another skin."
Simmons,What do we have to do?
Enoch,Change the natural course of your lives forever.
Fitz,And he got us out of there.
Flint,Hey.
Enoch,Turn this Quinjet around.
Piper,What the hell are you?
Fitz,"Enoch, put your face on. You're freaking everybody out."
Simmons,"Listen, Piper. We need to head back into the jungle, to Zephyr One."
Piper,"What, to help take out Izel?"
Simmons,"Uh, Izel... right. No, we have bigger problems than that."
Flint,"Uh, is that a normal thing around here?"
Piper,Yeah.
Simmons,How did you know the jet would be here? How are you predicting these things?
Enoch,"It's called the Time Stream. I stole a copy of it. My time with Fitz taught me how to be an outlaw, and I've gotten quite good at it."
Fitz,Flint made us a piece of the Time Monolith to help us do what had to be done.
Enoch,"Thank you. Now, wait here a moment. We'll be right back."
Enoch,We need to get away from here and head to space. So pick a star system.
Simmons,I know just the one.
Fitz,"We arrived safely in that distant solar system, and I began to study the Time Stream. Jemma, you were afraid it would drive me mad or give me radiation poisoning to interact with it. But we had no choice. We needed solutions. And there was only one path that gave us a chance to succeed. We knew it would take a while to complete our designs."
Enoch,"It's a good thing we are building a time machine, as it does not matter how long it takes."
Fitz,Could just take some time to... live.
Simmons,And we did.
Fitz,"Yeah. We did. For years. We had our happily ever after. We knew our friends needed us, not to mention mankind. But we didn't want to say goodbye. So we put it off. But we couldn't stay forever."
